RAA20131212201312114715021160000初雪特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          初雪特別（中央交流）初雪特別（中初雪特0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000410000001030000004100000025000000170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,9,6,7,2,1,4,10,8,3                                                  205,9,6,7,2,1,4,10,8,3                                                  305,9,6,2,1,4,10,7,8,3                                                  405,9,2,(1,6),(4,10),8,3,7                                              0
RAA20131231201312304716041040000年末特別　Ｃ１４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          年末特別　Ｃ１４　　年末特別　Ｃ年末特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000170000000340000001700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,7,4,8,6,2,1,10,5,9                                                  203,7,4,6,8,2,1,10,5,9                                                  307,(3,4),(1,2,8,10),6,5,9                                              40(4,7),(1,10),2,8,5,(3,6),9                                            0
RAA20131213201312124715030670000サラ系Ｃ２０組　Ｃ２０　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ２０組　Ｃ２サラ系Ｃ２０サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,2,6,4,8,7,3,5,9,10                                                  201,2,6,4,8,7,5,3,9,10                                                  301,2,6,7,4,8,5,3,9,10                                                  401,(2,7),6,4,5,8,3,10,9                                                0
RAA20131214201312134715041180000師走特別　Ａ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          師走特別　Ａ２　　　師走特別　Ａ師走特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000370000000740000003700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,6,8,3,5,7,1,9,2                                                     204,6,8,3,1,5,7,2,9                                                     304,6,8,1,3,7,5,9,2                                                     404,6,8,1,7,3,(5,9),2                                                   0
RAA20131213201312124715031170000新穂高特別　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          新穂高特別　Ｃ１　　新穂高特別　新穂高0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000190000000380000001900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,6,3,8,5,10,1,7,2,4                                                  209,6,3,8,5,10,1,7,4,2                                                  309,6,5,10,8,3,7,2,4,1                                                  409,6,5,10,8,7,3,2,4,1                                                  0
RAA20131229201312284716020410000サラ系Ｃ９組　Ｃ９　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ９組　Ｃ９　サラ系Ｃ９組サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,5,9,2,7,8,1,6,4                                                     203,5,2,9,7,8,1,6,4                                                     30(3,5),(2,7,8,9),6,4,1                                                 40(3,7),5,8,2,1,6,4,9                                                   0
RAA20140101201312314716050950000東海ゴールドＣ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKAI GOLD CUP                                                                                                                                                                                                                                                                                                                                                          東海ゴールドＣ　　　東海ゴールド東海ゴ0000D 000001000000000000000サラ系一般　ＯＰ　　　　　　　　　　　　　　　　　　　　　　190000002400    0002500000006250000027500000150000000750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,5,2,3,7,6,1,8                                                       204,5,2,3,7,6,1,8                                                       304,5,2,3,7,6,1,8                                                       40(4,5),2,3,7,6,8,1                                                     0
RAA20131213201312124715030770000サラ系Ｃ４組　Ｃ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ４組　Ｃ４　サラ系Ｃ４組サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,5,8,1,6,7,3,9,10,4                                                  202,5,8,1,6,7,3,9,10,4                                                  30(2,7,8),5,6,1,3,9,10,4                                                408,7,(1,2),(5,6),(3,10),4,9                                            0
RAA20131212201312114715020460000サラ系Ｃ２５組牝馬　Ｃ２５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ２５組牝馬　サラ系Ｃ２５サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,9,5,6,8,4,1,3,2                                                     207,9,5,6,4,8,1,3,2                                                     307,9,5,6,4,8,1,2,3                                                     407,5,9,6,4,8,1,2,3                                                     0
RAA20140101201312314716050150000サラ系Ｃ２６組　Ｃ２６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ２６組　Ｃ２サラ系Ｃ２６サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,6,7,9,8,5,1,4                                                     202,6,3,7,9,8,5,1,4                                                     302,6,3,7,9,8,5,1,4                                                     402,6,3,9,7,5,8,1,4                                                     0
RAA20140101201312314716050650000サラ系Ｃ２１組　Ｃ２１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ２１組　Ｃ２サラ系Ｃ２１サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,7,5,9,1,3,8,2,4                                                     206,7,5,9,1,8,3,2,4                                                     306,7,5,9,(1,8),3,4,2                                                   40(6,7),5,9,8,3,1,2,4                                                   0
RAA20131213201312124715031270000春待月賞　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     春待月賞　Ｃ２　　　春待月賞　Ｃ春待月0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000140000000280000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,4,7,3,10,5,8,1,6,9                                                  202,4,3,7,5,10,1,9,8,6                                                  30(2,4,7),10,3,5,8,1,6,9                                                404,7,2,(3,10),1,8,6,5,9                                                0
RAA20131230201312294716030820000「めざまし天然水」新発売記念杯　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     「めざまし天然水」新「めざまし天「めざ0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000140000000280000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,10,7,8,9,5,1,3,4,2                                                  206,10,7,8,1,5,9,3,4,2                                                  306,10,5,7,8,1,4,9,3,2                                                  406,10,5,7,8,1,4,9,3,2                                                  0
RAA20131231201312304716040840000サラ系Ｃ１５組特選　Ｃ１５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ１５組特選　サラ系Ｃ１５サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000140000000280000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,8,6,7,1,2,4,5,3                                                     209,8,6,7,4,1,2,5,3                                                     309,8,6,7,4,2,1,5,3                                                     409,7,8,6,4,2,1,5,3                                                     0
RAA20131212201312114715020760000サラ系Ｂ４組　Ｂ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｂ４組　Ｂ４　サラ系Ｂ４組サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    00001400000002800000014000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010090920200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,8,9,2,5,1,7,6,4                                                    2010,8,9,2,5,1,7,6,4                                                    3010,8,9,2,5,1,7,6,4                                                    4010,8,2,5,9,1,7,6,4                                                    0
RAA20131228201312274716010780000来年は午年・笠松競馬飛躍祈念　Ｃ６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     来年は午年・笠松競馬来年は午年・来年は0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,6,2,7,1,3,8,9,10,5                                                  204,6,2,7,1,3,8,9,10,5                                                  306,2,7,3,1,4,10,8,9,5                                                  40(2,6),7,3,1,10,8,9,4,5                                                0
