RAA20130909201309084612020820000近東北騎手交流正院キリコ祭り特別３Ａ－１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               近東北騎手交流正院キ近東北騎手交近東北0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000500000002200000017000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,(6,10),8,12,7,4,9,3,(2,5,11)                                        201,(6,10),8,4,12,7,3,11,9,5,2                                          301,10,(6,8),7,4,12,11,3,2,5,9                                          401,10,6,8,7,11,4,3,2,12,5,9                                            0
RAA20130916201309154613010720000蔵コンサート特別３Ａ－１　Ａ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               蔵コンサート特別３Ａ蔵コンサート蔵コン0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000500000002200000017000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,7,1,6,4,(2,3),5                                                     208,7,1,6,(2,4),3,5                                                     308,7,6,1,(3,4),2,5                                                     407,6,3,4,1,8,(2,5)                                                     0
RAA20130930201309294614010820000穴水・牛まつり特別　Ａ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               穴水・牛まつり特別　穴水・牛まつ穴水・0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000250000000500000002200000017000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001009091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,8,9,5,3,1,4,10,2                                                    207,8,9,5,1,3,4,10,2                                                    30(8,9),1,7,5,3,4,10,2                                                  409,8,1,5,3,7,4,10,2                                                    0
RAA20130904201309034612010950000夏休みは終わらない金沢記念Ｂ１－２　Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     夏休みは終わらない金夏休みは終わ夏休み0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000240000000480000002100000016000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111113040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,7,(2,10),11,8,1,3,6,9,4                                             205,7,10,2,1,8,11,3,6,9,4                                               305,7,10,2,3,(1,8),11,6,9,4                                             405,7,10,2,1,3,8,6,9,11,4                                               0
RAA20130909201309084612020620000３Ａ－２　Ａ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          ３Ａ－２　Ａ２　　　３Ａ－２　Ａ３Ａ－0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    000022000000044000000190000001500000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101010204000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(7,8),6,3,1,5,(2,10),9,4                                              207,8,6,3,1,5,2,10,9,4                                                  30(6,7,8),(3,5),1,10,2,(4,9)                                            407,6,5,8,3,10,1,2,9,4                                                  0
RAA20130916201309154613010220000３Ａ－３　Ａ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          ３Ａ－３　Ａ３　　　３Ａ－３　Ａ３Ａ－0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000190000000380000001700000013000000070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,9,10,11,3,(5,6),8,7,2,1                                             20(4,9),10,(3,11),5,6,8,7,2,1                                           304,10,3,9,11,7,6,8,5,2,1                                               404,10,3,7,11,9,6,8,2,5,1                                               0
RAA20130916201309154613011120000哀愁のしらべ特別Ｂ１－１　Ｂ１１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          哀愁のしらべ特別Ｂ１哀愁のしらべ哀愁の0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000240000000480000002100000016000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909093030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,6,7,3,(2,4,9),8,5                                                   201,6,3,7,(2,4),9,8,5                                                   306,3,1,7,4,2,8,9,5                                                     403,6,7,4,1,2,(8,9),5                                                   0
RAA20130930201309294614010520000サラ系３歳　Ａ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　Ａ３　　サラ系３歳　サラ系0000  120004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000190000000380000001700000013000000070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,3,5,10,11,(2,6),(1,4,7),8                                           209,3,5,10,2,11,6,1,(4,7),8                                             30(3,5,9),10,11,2,8,(6,7),(1,4)                                         405,3,9,11,10,2,7,6,8,(1,4)                                             0
RAA20130930201309294614011020000金箔まつり特別　Ｂ１１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          金箔まつり特別　Ｂ１金箔まつり特金箔ま0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000240000000480000002100000016000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,6,7,8,10,9,(1,5),3,2                                                204,6,7,8,10,5,9,1,3,2                                                  304,(6,7),8,5,10,(1,2,9),3                                              40(4,7),8,5,6,1,10,9,2,3                                                0
RAA20130916201309154613010520000３Ａ－２　Ａ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          ３Ａ－２　Ａ２　　　３Ａ－２　Ａ３Ａ－0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000220000000440000001900000015000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,5,2,7,4,6,1,3                                                       208,(2,5),7,4,6,1,3                                                     308,5,2,4,1,7,3,6                                                       405,8,2,1,4,7,3,6                                                       0
RAA20130911201309104612030950000イヌワシ賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　INUWASHI SHO                                                                                                                                                                                                                                                                                                                                                            イヌワシ賞　　　　　イヌワシ賞　イヌワ0000D 130002000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　200000002400    0002000000004000000018000000140000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,4,(3,9),10,5,1,2,(6,8)                                              207,4,3,9,10,5,1,(2,6),8                                                307,9,3,4,10,5,1,6,8,2                                                  407,9,(3,10),4,5,1,8,6,2                                                0
