RAA20130311201303105521020620000Ｃ２－１９組　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      Ｃ２－１９組　Ｃ２　Ｃ２－１９組Ｃ２－0000  140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000100000000230000000900000005000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,7,8,5,6,4,2,3                                                       201,7,5,8,6,4,2,3                                                       301,7,5,8,6,2,4,3                                                       401,5,7,6,2,8,4,3                                                       0
RAA20130318201303175521040620000Ｃ２－１２組　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      Ｃ２－１２組　Ｃ２　Ｃ２－１２組Ｃ２－0000  140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000100000000230000000900000005000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707072010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,5,3,1,7,6,2                                                         204,5,3,6,1,7,2                                                         304,5,3,6,1,2,7                                                         404,3,5,1,6,2,7                                                         0
RAA20130317201303165521030610000Ｃ２－１３組　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      Ｃ２－１３組　Ｃ２　Ｃ２－１３組Ｃ２－0000  140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000100000000230000000900000005000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,8,1,2,7,6,5,3                                                       204,8,1,2,6,7,5,3                                                       304,8,1,2,5,6,3,7                                                       404,1,2,5,8,6,3,7                                                       0
RAA20130325201303245521060420000Ｃ２－４１組　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      Ｃ２－４１組　Ｃ２　Ｃ２－４１組Ｃ２－0000  140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000100000000230000000900000005000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,6,3,7,4,9,1,8,5                                                     202,6,3,4,7,1,9,8,5                                                     302,6,3,9,4,1,7,8,5                                                     402,6,3,9,4,1,8,7,5                                                     0
RAA20130304201303035520061020000春望特別　Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          春望特別　Ｂ２　　　春望特別　Ｂ春望特0000E 130002000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　180000002400    0000400000000920000003600000020000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,7,5,11,6,4,9,2,3,8,10                                               201,7,11,5,4,6,2,3,9,8,10                                               301,7,11,2,5,6,4,8,10,3,9                                               401,4,5,6,11,3,8,7,10,2,9                                               0
RAA20130311201303095521011010000大観峰賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　DAIKANBOU SHO                                                                                                                                                                                                                                                                                                                                                           大観峰賞　　　　　　大観峰賞　　大観峰0000D 120004000000000000000サラ系３歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　180000002400    0000300000000690000002700000015000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,11,4,2,1,8,5,3,10,7,9                                               206,11,4,2,1,8,5,3,10,7,9                                               302,11,1,4,6,5,8,3,10,7,9                                               402,1,11,5,3,4,7,10,8,9,6                                               0
RAA20130311201303105521020220000Ｃ２－２７組　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      Ｃ２－２７組　Ｃ２　Ｃ２－２７組Ｃ２－0000  140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000100000000230000000900000005000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,8,5,2,4,7,3,1                                                       206,8,5,2,1,7,4,3                                                       306,8,2,5,3,1,7,4                                                       406,2,5,8,3,1,7,4                                                       0
RAA20130303201303025520050610000Ｃ２－８組　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      Ｃ２－８組　Ｃ２　　Ｃ２－８組　Ｃ２－0000  140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000100000000230000000900000005000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,5,2,7,4,6,1,8                                                       203,5,2,7,4,6,1,8                                                       303,5,7,4,6,2,1,8                                                       403,5,4,7,8,1,6,2                                                       0
RAA20130304201303035520060520000Ｃ２－９組　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      Ｃ２－９組　Ｃ２　　Ｃ２－９組　Ｃ２－0000  140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000100000000230000000900000005000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,6,5,7,8,2,3,1                                                       204,6,5,7,2,8,3,1                                                       304,6,5,2,7,8,3,1                                                       404,6,5,2,8,3,7,1                                                       0
RAA20130325201303245521060720000Ｃ２－９組　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      Ｃ２－９組　Ｃ２　　Ｃ２－９組　Ｃ２－0000  140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000100000000230000000900000005000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,8,2,6,1,4,7,5                                                       203,8,2,6,1,7,4,5                                                       303,8,2,7,1,6,5,4                                                       403,7,8,2,1,6,5,4                                                       0
