SEB2002122019860329A40000000001981107017シンボリルドルフ　　　　　　　　　　00110306100274野平祐二431800シンボリ牧場　　　　　　　　　　　　　　　　　　　　　　　　　　緑，白襷，袖赤一本輪　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　572000000014000000岡部幸雄　　　　00       00006000000         0000000000000000000000000000000000000000000000000000　　　　　　　　　　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000000000000000
SEB2002122019860420A80000000001982103448シリウスシンボリ　　　　　　　　　　00110305100271二本柳俊717003和田　共弘　　　　　　　　　　　　　　　　　　　　　　　　　　　緑，白襷　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　580000000000000000モス　　　　　　00       00005000000         0000000000000000000000000000000000000000000000000000　　　　　　　　　　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000000000000000
SEB2002122019860506A80000000001982103448シリウスシンボリ　　　　　　　　　　00110305100271二本柳俊717003和田　共弘　　　　　　　　　　　　　　　　　　　　　　　　　　　緑，白襷　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　550000000000000000ルグリ　　　　　00       00003000000212      0000000000000000000000000000000000000000000000000000　　　　　　　　　　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000000000000000
SEB2002122019860608C00000000001982103448シリウスシンボリ　　　　　　　　　　00110305100271二本柳俊717003和田　共弘　　　　　　　　　　　　　　　　　　　　　　　　　　　緑，白襷　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　600000000000000000モス　　　　　　00       00005000000         0000000000000000000000000000000000000000000000000000　　　　　　　　　　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000000000000000
SEB2002122019860816A80000000001982103448シリウスシンボリ　　　　　　　　　　00110305100271二本柳俊717003和田　共弘　　　　　　　　　　　　　　　　　　　　　　　　　　　緑，白襷　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　545000000000000000ルグリ　　　　　00       00004000000         0000000000000000000000000000000000000000000000000000　　　　　　　　　　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000000000000000
SEB2002122019860817A80000000001980101941ギャロップダイナ　　　　　　　　　　00110307100325矢野進　415800吉田　晴哉　　　　　　　　　　　　　　　　　　　　　　　　　　　黄，黒縦縞，袖青一本輪　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　580000000000000000フィリッ　　　　00       00012000000         0000000000000000000000000000000000000000000000000000　　　　　　　　　　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000000000000000
SEB2002122019860907A80000000001980101941ギャロップダイナ　　　　　　　　　　00110307100325矢野進　415800吉田　晴哉　　　　　　　　　　　　　　　　　　　　　　　　　　　黄，黒縦縞，袖青一本輪　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　580000000018600000柴崎勇　　　　　00       00010000000         0000000000000000000000000000000000000000000000000000　　　　　　　　　　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000000000000000
SEB2002122019860914A80000000001982103448シリウスシンボリ　　　　　　　　　　00110305100271二本柳俊717003和田　共弘　　　　　　　　　　　　　　　　　　　　　　　　　　　緑，白襷　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　560000000000000000フィリッ　　　　00       00002000000K        0000000000000000000000000000000000000000000000000000　　　　　　　　　　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000000000000000
SEB2002122019861006A80000000001982103448シリウスシンボリ　　　　　　　　　　00110305100271二本柳俊717003和田　共弘　　　　　　　　　　　　　　　　　　　　　　　　　　　緑，白襷　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　590000000000000000フィリッ　　　　00       00014000000         0000000000000000000000000000000000000000000000000000　　　　　　　　　　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000000000000000
SEB2002122019861019A80000000001982103448シリウスシンボリ　　　　　　　　　　00110305100271二本柳俊717003和田　共弘　　　　　　　　　　　　　　　　　　　　　　　　　　　緑，白襷　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　570000000000000000フィリッ　　　　00       00004000000         0000000000000000000000000000000000000000000000000000　　　　　　　　　　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000000000000000
