RAA20170702201707013604040910000水沢の雄・メイセイオペラ賞　Ｃ１三組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          水沢の雄・メイセイオ水沢の雄・メ水沢の0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000300000000600000003000000021000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,8,9,4,1,7,5,6                                                     202,3,8,9,1,4,7,(5,6)                                                   302,8,9,3,(1,4),7,5,6                                                   40(8,9),2,1,4,3,7,5,6                                                   0
RAA20170703201707023604051020000折爪岳ヒメボタル賞　Ｃ１四組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     折爪岳ヒメボタル賞　折爪岳ヒメボ折爪岳0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000260000000520000002600000019000000070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,8,10,6,11,3,9,4,2,7,1                                               205,8,10,6,3,4,11,9,1,2,7                                               30(5,8),10,11,6,1,3,4,9,2,7                                             408,5,11,6,10,3,4,1,9,2,7                                               0
RAA20170704201707033604060340000３歳Ｃ２二組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          ３歳Ｃ２二組　　　　３歳Ｃ２二組３歳Ｃ0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000260000000520000002600000019000000070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808083020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,7,8,5,4,1,2,3                                                       206,7,8,5,(1,4),2,3                                                     306,7,8,5,1,4,2,3                                                       406,7,8,5,1,2,4,3                                                       0
RAA20170703201707023604051220000栗駒賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　KURIKOMA SHO                                                                                                                                                                                                                                                                                                                                                            栗駒賞　　　　　　　栗駒賞　　　栗駒賞0000D 000002000000000000000サラ系一般　ＯＰ　　　　　　　　　　　　　　　　　　　　　　140000002400    0001500000003000000015000000105000000450000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,9,1,10,5,2,4,8,3,6                                                  207,9,1,2,10,4,5,3,8,6                                                  307,1,9,4,10,2,5,3,8,6                                                  407,1,2,4,9,(3,10),5,8,6                                                0
