RAA20170208201702074311021050000フレンドリーレイン特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          フレンドリーレイン特フレンドリーフレン0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002300    0004000000012000000080000000480000003200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,7,11,5,12,3,2,8,6,1,13,14,10,9                                      204,7,11,5,12,3,2,8,6,13,1,14,10,9                                      304,(7,11),(5,12),8,2,3,6,(1,13,14),9,10                                404,11,7,12,5,8,6,3,2,13,14,1,9,10                                      0
RAA20170210201702094311040870000ベストレイン特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               ベストレイン特別（中ベストレインベスト0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0002000000006000000040000000240000001600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414143020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,14,7,10,1,13,8,5,9,3,11,4,6,12                                      202,14,10,1,7,13,8,5,9,3,11,4,6,12                                      30(2,9,14),13,10,1,7,8,(3,11),6,5,12,4                                  4014,2,13,9,10,1,7,8,3,11,6,12,5,4                                      0
RAA20170209201702084311030960000早春スプリント　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     早春スプリント　Ｃ１早春スプリン早春ス0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　100000002300    000130000000390000002340000015600000130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(4,6,11),(3,7),2,1,(8,9),5,10                                         4011,4,6,3,2,1,7,8,5,9,10                                               00                                                                      00                                                                      0
RAA20170208201702074311020850000違法薬物は「ダメ・ゼッタイ・」杯　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     違法薬物は「ダメ・ゼ違法薬物は「違法薬0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000204,11,12,10,2,5,8,9,3,6,1,7                                            304,12,11,5,9,2,10,(3,8),6,1,7                                          404,12,5,11,10,9,2,3,8,6,1,7                                            00                                                                      0
RAA20170208201702074311020450000３階優売店季節限定！お雑煮発売記念　四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          ３階優売店季節限定！３階優売店季３階優0000  120000000000000000000サラ系３歳　１０６万上１６３万未満　　　　　　　　　　　　　120000002300    0001300000003900000023400000156000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000209,4,11,8,12,10,5,3,1,7,2,6                                            309,11,12,4,10,1,7,8,5,2,3,6                                            409,12,11,4,10,1,7,5,2,8,3,6                                            00                                                                      0
RAA20170209201702084311031160000報知ＧＰＣ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　HOCHI GRAND PRIX CUP                                                                                                                                                                                                                                                                                                                                                    報知ＧＰＣ　　　　　報知ＧＰＣ　報知Ｇ0000D 140002000000000000000サラ系４歳上　ＯＰ　　　　　　　　　　　　　　　　　　　　　180000002300    00100000000350000002000000010000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012111110100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011,9,12,10,8,4,2,7,6,3,5                                              2011,9,12,10,4,2,7,3,8,6,5                                              3011,9,12,2,(4,10),5,7,6,3,8                                            4011,9,12,2,10,4,5,6,7,8,3                                              0
RAA20170209201702084311030860000寒明け賞　Ｃ１Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     寒明け賞　Ｃ１Ｃ２　寒明け賞　Ｃ寒明け0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002300    00013000000039000000234000001560000013000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014141410100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001013,14,12,3,10,2,4,5,7,6,11,1,9,8                                      2013,14,12,3,10,2,4,5,7,11,6,1,9,8                                      3013,14,(3,12),10,2,4,5,7,11,8,1,9,6                                    4014,2,5,12,13,3,10,4,7,11,1,9,8,6                                      0
RAA20170209201702084311030560000菜の花賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          菜の花賞　　　　　　菜の花賞　　菜の花0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    0001500000004500000027000000180000001500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000206,7,10,1,3,5,4,2,8,9                                                  306,7,10,4,(1,5),8,(3,9),2                                              406,7,10,5,8,4,9,1,2,3                                                  00                                                                      0
RAA20170207201702064311010740000サラ系一般　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２　　サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　100000002300    00011000000033000000198000001320000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014141420100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003010,12,6,1,(3,14),8,(5,11),7,2,(4,13),9                                4010,12,1,6,14,11,3,5,8,7,2,4,13,9                                      00                                                                      00                                                                      0
