RAA20170202201702014513030960000アメジストフラワー賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               アメジストフラワー賞アメジストフアメジ0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0002500000007500000050000000300000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,6,2,10,(5,11),9,3,8,(4,12),7                                        201,6,2,10,5,11,(3,9),8,(4,12),7                                        301,6,10,(2,9,11),5,8,3,12,7,4                                          401,6,10,(2,9),(5,11),(8,12),3,4,7                                      0
RAA20170202201702014513031160000川崎記念（中央交流）　Ｊｐｎ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　KAWASAKI KINEN                                                                                                                                                                                                                                                                                                                                                          川崎記念（中央交流）川崎記念（中川崎記0000A 140004000000000000000サラ系４歳上　ＯＰ　　　　　　　　　　　　　　　　　　　　　210000002300    0060000000210000001200000006000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,7,8,11,2,4,10,6,12,5,1,3                                            209,(2,7,8),11,4,10,12,6,5,1,3                                          309,(7,8),11,4,(2,12),10,5,6,1,3                                        409,(7,8),4,12,10,11,2,5,6,1,3                                          0
RAA20170203201702024513041070000アメジストスター賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          アメジストスター賞（アメジストスアメジ0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    00040000000120000000800000004800000032000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013131310100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,4,5,9,3,6,1,7,2,(11,13),8,12                                       2010,4,5,9,3,1,6,7,2,(11,13),8,12                                       3010,5,9,(3,7),(6,11),4,1,2,8,12,13                                     4010,(5,7),(3,9),(1,6),2,11,8,12,4,13                                   0
RAA20170204201702034513050780000サラ系一般　Ｃ２１１１２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２１１サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,3,6,1,7,9,4,8,10,2,11,12                                            205,3,1,6,7,9,4,8,2,10,(11,12)                                          308,(3,9),(6,7),4,12,10,2,1,11                                          408,9,7,3,2,6,12,10,1,4,11                                              0
RAA20170203201702024513040770000サラ系一般　Ｃ１五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１五　サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001200000003600000021600000144000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,4,12,1,(8,11),5,7,2,6,9,10                                          203,4,1,12,5,8,(2,7,11),6,(9,10)                                        30(3,4),12,(1,8,11),7,5,2,6,9,10                                        404,3,(1,8),(2,5,7),12,11,6,10,9                                        0
RAA20170228201702274514010640000サラ系一般　Ｃ２三四五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２三四サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    00010000000030000000180000001200000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121220100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001012,11,(3,6,10),4,1,9,2,5,(7,8)                                        2012,11,10,3,6,4,9,1,5,2,(7,8)                                          3012,11,10,3,6,4,9,1,5,2,8,7                                            4012,11,(3,6),10,4,1,9,2,7,5,8                                          0
RAA20170203201702024513040870000若竹特別　１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               若竹特別　１　　　　若竹特別　１若竹特0000E 120000000000000000000サラ系３歳　２５４万上　　　　　　　　　　　　　　　　　　　160000002300    0002200000006600000044000000264000001760000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,3,2,8,7,1,6,5,4                                                     209,3,2,8,7,1,6,5,4                                                     309,3,8,2,7,1,6,5,4                                                     403,(1,2,8,9),7,6,5,4                                                   0
RAA20170301201702284514020850000サラ系一般　Ｃ１六七　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１六七サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001200000003600000021600000144000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001211111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,4,11,7,2,9,6,12,1,10,5                                              203,4,11,2,7,9,6,10,12,5,1                                              30(3,4),11,(2,7),9,10,5,6,12,1                                          40(3,4),2,11,9,7,(6,10),5,12,1                                          0
RAA20170203201702024513041170000多摩川オープン【地方交流】　Ａ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(FOUR-YEAR-OLD & UP OP)                                                                                                                                                                                                                                                                                                                                        多摩川オープン【地方多摩川オープ多摩川0000E 140002000000000000000サラ系４歳上　ＯＰ　　　　　　　　　　　　　　　　　　　　　160000002300    0005000000015000000100000000600000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,6,12,(2,11),9,1,8,(3,10),(5,7)                                      204,6,12,2,11,9,1,8,10,3,5,7                                            30(9,12),6,11,2,(3,8),4,1,10,7,5                                        40(6,9,12),2,(1,11),8,3,10,7,5,4                                        0
RAA20170202201702014513030460000サラ系一般　Ｃ２六七八　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２六七サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,5,7,2,9,13,3,6,14,(4,12),10,8,11                                    201,5,7,2,9,13,3,6,(4,14),12,10,8,11                                    301,7,2,5,9,10,(3,6,13),14,4,12,11,8                                    401,10,7,9,2,13,3,6,12,4,5,14,8,11                                      0
