RAA20170701201706304706040480000サラ系Ｃ７組　Ｃ７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ７組　Ｃ７　サラ系Ｃ７組サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000180000000420000001800000013000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808083040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,8,6,5,3,4,1,7                                                       202,8,6,5,3,4,(1,7)                                                     302,8,3,6,4,5,7,1                                                       40(2,8),3,4,6,5,7,1                                                     0
RAA20170613201706124705010640000サラ系Ｂ５組　Ｂ５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｂ５組　Ｂ５　サラ系Ｂ５組サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000190000000440000001900000014000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,6,7,5,9,4,3,1,8                                                     202,6,7,5,(4,9),3,1,8                                                   302,6,9,7,3,5,4,1,8                                                     406,7,9,3,2,5,1,4,8                                                     0
RAA20170629201706284706020660000私飲んでます逃げない水素水３６　Ｂ５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     私飲んでます逃げない私飲んでます私飲ん0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    000019000000044000000190000001400000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000090909202000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(5,9),8,(2,6),7,4,1,3                                                 205,9,8,6,2,7,1,4,3                                                     309,5,7,2,1,6,4,8,3                                                     409,7,2,5,1,4,6,3,8                                                     0
RAA20170630201706294706030970000霧ヶ峰賞　Ｃ１６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     霧ヶ峰賞　Ｃ１６　　霧ヶ峰賞　Ｃ霧ヶ峰0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000190000000440000001900000014000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000807072010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,8,3,4,6,5,2                                                         207,8,3,4,5,6,2                                                         30(7,8),3,4,5,2,6                                                       408,3,7,4,2,5,6                                                         0
RAA20170615201706144705020260000サラ系Ｃ９組　Ｃ９　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ９組　Ｃ９　サラ系Ｃ９組サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000180000000420000001800000013000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,7,8,2,4,6,5,3                                                       201,7,8,2,4,6,3,5                                                       301,8,6,7,2,4,3,5                                                       401,6,8,2,7,3,4,5                                                       0
RAA20170617201706164705040980000付知峡特別　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          付知峡特別　Ｃ１　　付知峡特別　付知峡0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000240000000560000002400000017000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,8,6,2,4,5,1,9,3                                                     207,8,2,6,4,5,1,9,3                                                     307,8,6,2,5,4,1,3,9                                                     407,8,6,2,(1,5),4,3,9                                                   0
RAA20170629201706284706020460000好きです！笠松競馬　Ｃ８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     好きです！笠松競馬　好きです！笠好きで0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000180000000420000001800000013000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,4,8,3,6,1,7,5                                                       202,4,(3,8),6,1,7,5                                                     302,4,3,8,6,1,7,5                                                       40(2,4),3,8,1,6,7,5                                                     0
RAA20170701201706304706040780000サラ系Ｃ５組　Ｃ５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ５組　Ｃ５　サラ系Ｃ５組サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000180000000420000001800000013000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,6,7,4,5,8,2,1                                                       203,6,4,7,5,2,8,1                                                       303,6,7,4,5,8,1,2                                                       406,3,5,(4,7),8,1,2                                                     0
RAA20170629201706284706020160000サラ系３歳３組　３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳３組　３　サラ系３歳３サラ系0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000580000002500000018000000130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,4,3,8,2,6,5,1,7                                                     209,4,8,3,2,5,6,(1,7)                                                   309,4,8,5,(3,7),6,2,1                                                   409,4,5,8,7,6,3,2,1                                                     0
RAA20170603201706024704040880000木曽三川公園賞　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     木曽三川公園賞　Ｃ２木曽三川公園木曽三0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000190000000440000001900000014000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,7,5,8,3,2,4,6,1                                                     209,7,8,5,3,2,4,6,1                                                     309,7,2,5,8,3,4,6,1                                                     40(2,7),9,5,4,8,3,6,1                                                   0
