RAA20170413201704124801021060000名古屋ＣＣチェリー賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               名古屋ＣＣチェリー賞名古屋ＣＣチ名古屋0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00004000000010000000040000000240000001600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101010300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,7,8,1,3,4,(2,6),9,5                                                207,10,8,1,3,(2,4),6,9,5                                                307,10,8,3,(2,9),1,6,4,5                                                407,9,10,8,2,6,5,4,1,3                                                  0
RAA20170420201704194802021060000名古屋ＣＣジュピター賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          名古屋ＣＣジュピター名古屋ＣＣジ名古屋0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　190000002400    0000500000001250000005000000030000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,6,(7,8),4,3,1,5                                                     202,6,7,8,4,3,1,5                                                       302,6,8,7,3,4,1,5                                                       402,8,6,7,3,1,4,5                                                       0
RAA20170415201704144801041180000東海桜花賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKAI OKA SHO                                                                                                                                                                                                                                                                                                                                                           東海桜花賞　　　　　東海桜花賞　東海桜0000D 140004000000000000000サラ系４歳上　ＯＰ　　　　　　　　　　　　　　　　　　　　　140000002400    0004000000010000000040000000240000001600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001009091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,5,2,10,1,8,4,6,3                                                    209,5,2,10,1,8,4,6,3                                                    309,5,10,2,8,1,4,6,3                                                    409,8,5,2,1,10,(4,6),3                                                  0
RAA20170414201704134801030470000サラＣ９組　Ｃ９　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ９組　Ｃ９　　サラＣ９組　サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000500000002000000012000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,6,8,1,4,5,7,2,3                                                     209,6,8,1,4,5,7,2,3                                                     309,6,4,1,8,5,7,3,2                                                     40(6,9),4,1,7,5,8,(2,3)                                                 0
RAA20170415201704144801040680000サラＣ２組　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ２組　Ｃ２　　サラＣ２組　サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000500000002000000012000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,5,4,3,8,1,2,6,7                                                     209,5,4,(3,8),1,6,2,7                                                   309,4,(3,5),8,1,(2,7),6                                                 409,4,3,5,8,2,1,6,7                                                     0
RAA20170422201704214802040780000サラＣ２組　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ２組　Ｃ２　　サラＣ２組　サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000500000002000000012000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,7,9,4,8,2,3,1,6                                                     205,7,9,4,(2,8),(1,3),6                                                 305,7,9,4,2,(3,8),1,6                                                   405,(4,7),3,9,2,1,8,6                                                   0
RAA20170411201704104801010740000サラＣ１７組　Ｃ１７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ１７組　Ｃ１７サラＣ１７組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000500000002000000012000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,7,5,8,6,9,4,1                                                     202,3,7,5,8,6,9,4,1                                                     302,3,7,5,8,6,9,4,1                                                     402,(3,7),8,5,6,9,4,1                                                   0
RAA20170420201704194802020960000音羽川特別　Ｃ１１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          音羽川特別　Ｃ１１　音羽川特別　音羽川0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000250000000630000002500000015000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,6,9,1,10,5,7,3,8,2                                                  204,6,9,1,10,5,7,8,(2,3)                                                304,9,6,10,1,5,7,8,3,2                                                  404,9,10,7,6,5,1,8,3,2                                                  0
RAA20170414201704134801030670000サラＣ８組　Ｃ８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ８組　Ｃ８　　サラＣ８組　サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000500000002000000012000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,9,3,7,(1,4),(2,5),6                                                 208,9,3,7,1,4,2,5,6                                                     308,9,3,7,1,4,2,(5,6)                                                   408,9,3,7,(1,6),4,2,5                                                   0
RAA20170421201704204802030770000サラＣ７組　Ｃ７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ７組　Ｃ７　　サラＣ７組　サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000500000002000000012000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,3,6,1,4,5,2,7,8                                                     209,3,6,1,4,5,2,7,8                                                     309,3,6,4,1,5,7,2,8                                                     409,3,6,4,5,1,7,2,8                                                     0
RAA20170422201704214802040180000サラ３歳８組　８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ３歳８組　８　　サラ３歳８組サラ３0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　080000002400    0000250000000630000002500000015000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000305,7,8,2,4,3,(1,6)                                                     40(5,7),2,3,8,4,6,1                                                     00                                                                      00                                                                      0
RAA20170411201704104801010540000サラＣ１９組　Ｃ１９　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ１９組　Ｃ１９サラＣ１９組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000500000002000000012000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909082030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,6,8,9,2,5,7,4                                                       201,6,8,9,2,5,7,4                                                       301,6,8,9,5,2,4,7                                                       401,(6,8),9,5,4,7,2                                                     0
