RAA20171218201712154820040780000Ｂ１１組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｂ１１組　　　　　　Ｂ１１組　　Ｂ１１0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000220000000550000002200000013000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,9,2,10,11,5,7,8,6,1,4                                               203,9,2,10,5,11,7,6,8,4,1                                               303,9,10,5,2,11,7,6,8,4,1                                               403,9,10,11,2,5,6,4,7,8,1                                               0
RAA20171214201712134820020860000Ｂ４組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｂ４組　　　　　　　Ｂ４組　　　Ｂ４組0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000220000000550000002200000013000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,7,10,2,5,8,6,1,9,3                                                  204,7,10,2,5,8,6,1,9,3                                                  304,7,10,2,5,8,6,(1,9),3                                                404,7,(2,6),10,8,5,9,1,3                                                0
RAA20171212201712114820010840000Ｃ１８組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ１８組　　　　　　Ｃ１８組　　Ｃ１８0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00002000000005000000020000000120000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111120100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011,6,8,7,10,3,2,9,5,4,1                                               2011,6,8,7,10,3,5,2,4,9,1                                               3011,6,8,7,10,3,2,5,4,9,1                                               406,11,7,3,2,8,10,5,4,9,1                                               0
RAA20171221201712204821020360000Ｃ１８組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ１８組　　　　　　Ｃ１８組　　Ｃ１８0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000500000002000000012000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,6,8,4,2,3,1,5                                                       207,6,8,(2,3,4),1,5                                                     307,6,2,8,3,4,1,5                                                       406,7,2,3,8,1,4,5                                                       0
RAA20171212201712114820011140000初霜特別　Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          初霜特別　Ｂ２　　　初霜特別　Ｂ初霜特0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000280000000700000002800000017000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,2,10,3,8,9,4,5,6,1                                                  207,2,3,10,6,9,8,5,4,1                                                  307,2,3,(4,9,10),8,5,6,1                                                407,3,9,2,4,5,8,10,6,1                                                  0
RAA20171219201712184821011040000師走特別　Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          師走特別　Ｂ２　　　師走特別　Ｂ師走特0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000280000000700000002800000017000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,9,4,7,8,1,3,5,2                                                     206,9,4,7,8,1,5,2,3                                                     306,4,7,9,8,1,2,5,3                                                     404,6,7,8,2,1,5,9,3                                                     0
RAA20171212201712114820010440000Ｃ２２組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２２組　　　　　　Ｃ２２組　　Ｃ２２0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000500000002000000012000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,10,6,7,2,8,5,9,4,11,3                                               201,10,6,7,2,8,5,9,4,11,3                                               301,10,6,2,7,8,5,9,4,11,3                                               4010,6,1,2,8,7,9,5,4,11,3                                               0
RAA20171219201712184821010540000Ｃ２３組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２３組　　　　　　Ｃ２３組　　Ｃ２３0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000500000002000000012000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,3,4,1,6,8,2,5                                                       207,3,4,1,6,2,8,5                                                       307,4,2,6,3,1,8,5                                                       407,2,4,6,1,5,8,3                                                       0
RAA20171212201712114820010740000チカリンターズＳ　Ｃ１９　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     チカリンターズＳ　Ｃチカリンターチカリ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00002000000005000000020000000120000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111120100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011,1,8,5,10,3,6,2,7,9,4                                               2011,1,2,5,8,6,3,10,7,4,9                                               308,11,1,5,(3,6),10,2,7,4,9                                             408,11,1,(3,5),6,10,2,7,4,9                                             0
RAA20171219201712184821010840000Ｃ２０組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２０組　　　　　　Ｃ２０組　　Ｃ２０0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000500000002000000012000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,2,1,3,5,9,8,4,7                                                     206,2,3,1,5,9,8,4,7                                                     306,2,3,1,9,5,8,4,7                                                     406,2,3,1,8,4,5,9,7                                                     0
RAA20171222201712214821030170000２歳牝馬　３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            ２歳牝馬　３　　　　２歳牝馬　３２歳牝0000  110004000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000400000001000000004000000024000000160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,1,6,8,3,2,5,7,4                                                     209,8,1,6,3,5,2,7,4                                                     309,8,1,6,5,3,2,7,4                                                     409,5,8,1,6,3,2,4,7                                                     0
