RAA20171122201711214207020950000マルチフェア特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          マルチフェア特別（中マルチフェアマルチ0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    00040000000140000000800000006000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121210100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,3,12,9,5,11,1,7,2,6,4,8                                            2010,12,3,9,11,5,7,1,2,6,4,8                                            3012,10,9,11,3,7,5,1,2,6,4,8                                            4012,9,3,10,5,7,1,11,6,2,4,8                                            0
RAA20171124201711234207041070000浦和記念（中央交流）　Ｊｐｎ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　URAWA KINEN                                                                                                                                                                                                                                                                                                                                                             浦和記念（中央交流）浦和記念（中浦和記0000B 130002000000000000000サラ系３歳上　ＯＰ　　　　　　　　　　　　　　　　　　　　　200000002300    0035000000122500000700000003500000017500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111091040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,4,8,7,3,11,5,9,10,6,1                                               202,8,4,7,3,11,5,9,6,10,1                                               307,4,3,11,8,2,5,6,10                                                   407,4,3,11,5,6,8,2,10                                                   0
RAA20171124201711234207040570000サラ系一般　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１　　サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　080000002300    0001100000003850000022000000165000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000304,6,1,8,3,10,11,5,9,7,2                                               404,6,1,8,3,5,10,9,11,7,2                                               00                                                                      00                                                                      0
RAA20171121201711204207011040000樅の木特別　Ｂ３三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          樅の木特別　Ｂ３三　樅の木特別　樅の木0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0002000000007000000040000000300000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,8,12,1,3,2,10,11,9,4,7,5                                            206,8,12,1,3,4,10,2,7,11,9,5                                            306,8,12,3,1,10,2,4,9,7,11,5                                            408,6,12,1,3,7,2,4,5,10,9,11                                            0
RAA20171122201711214207020750000東毛酪農６３℃賞　Ｃ１七八　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     東毛酪農６３℃賞　Ｃ東毛酪農６３東毛酪0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001100000003850000022000000165000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,11,9,12,1,5,8,2,10,3,7,4                                            206,11,1,9,12,5,8,2,10,7,3,4                                            306,11,9,8,12,1,7,5,2,4,10,3                                            406,8,9,11,12,1,7,5,2,4,10,3                                            0
RAA20171125201711244207051180000神楽月特別　Ｃ１一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          神楽月特別　Ｃ１一　神楽月特別　神楽月0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001800000006300000036000000270000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001210101030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,11,12,6,2,8,5,10,3,7                                                204,11,12,6,2,3,8,5,10,7                                                304,11,12,2,6,8,3,7,5,10                                                404,12,2,6,8,7,5,3,10,11                                                0
RAA20171121201711204207010740000サラ系一般　Ｃ２六七　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２六七サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001000000003500000020000000150000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,6,10,1,7,9,11,5,12,4,8,3                                            202,6,10,1,7,11,9,4,12,5,8,3                                            302,10,6,1,7,4,11,12,5,9,8,3                                            4010,2,6,1,4,7,11,12,8,5,9,3                                            0
RAA20171124201711234207040670000おいしい埼玉の蜂蜜賞　Ｃ２三四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     おいしい埼玉の蜂蜜賞おいしい埼玉おいし0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001100000003850000022000000165000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,11,6,7,2,3,12,10,1,5,4,9                                            208,11,6,7,2,3,12,10,5,1,4,9                                            308,11,7,3,6,5,2,12,10,1,9,4                                            408,11,7,3,6,5,12,2,10,1,4,9                                            0
RAA20171121201711204207010240000サラ系３歳　二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　二　　　サラ系３歳　サラ系0000  120000000000000000000１０１万上１６３万未満　　　　　　　　　　　　　　　　　　　140000002300    0001000000003500000020000000150000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,8,10,5,1,4,9,12,6,11,3,7                                            202,8,10,5,1,9,4,6,12,3,7,11                                            302,8,10,5,9,1,4,6,12,7,3,11                                            402,8,10,9,5,1,4,6,3,12,7,11                                            0
RAA20171121201711204207010840000彩の国黒豚賞　Ｃ２六七　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     彩の国黒豚賞　Ｃ２六彩の国黒豚賞彩の国0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001000000003500000020000000150000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,6,7,1,12,11,5,3,10,8,2,9                                            204,6,7,1,11,12,5,3,8,10,2,9                                            304,6,7,1,11,10,3,5,8,2,9,12                                            404,6,7,1,3,11,2,10,5,9,8,12                                            0
