RAA20170215201702144824020950000名古屋ＣＣアップル賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               名古屋ＣＣアップル賞名古屋ＣＣア名古屋0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000400000001000000004000000024000000160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,1,2,7,4,3,6,5,9                                                     208,7,1,2,3,4,6,5,9                                                     308,7,1,4,3,2,6,9,5                                                     408,7,6,(3,4),1,9,5,2                                                   0
RAA20170301201702284825020650000３歳キング　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               ３歳キング　　　　　３歳キング　３歳キ0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000450000000900000004500000027000000180000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,8,2,3,4,1,7,9,5                                                     206,8,(2,3),4,1,7,9,5                                                   306,8,2,3,4,1,7,5,9                                                     406,8,3,(1,2),4,7,5,9                                                   0
RAA20170204201702034823050980000竹島海岸特別　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          竹島海岸特別　Ｃ１　竹島海岸特別竹島海0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000250000000500000002500000015000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001009091020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,6,10,4,5,1,3,7,9                                                    202,6,4,10,5,1,3,7,9                                                    302,6,10,4,5,3,1,7,9                                                    402,10,6,4,5,3,1,7,9                                                    0
RAA20170218201702174824050580000サラＣ３組　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ３組　Ｃ３　　サラＣ３組　サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000340000001700000010000000070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,5,7,9,2,3,6,1,4                                                     208,5,7,9,3,6,2,1,4                                                     308,5,7,9,6,(1,3),2,4                                                   405,8,9,6,7,1,2,3,4                                                     0
RAA20170216201702154824030660000サラＣ１２組　Ｃ１２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ１２組　Ｃ１２サラＣ１２組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000190000000380000001900000011000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,7,9,6,1,2,5,3,4                                                     208,9,6,1,7,2,5,3,4                                                     308,9,6,1,2,7,5,3,4                                                     401,6,9,2,8,7,5,3,4                                                     0
RAA20170204201702034823050380000サラＣ５組　Ｃ５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ５組　Ｃ５　　サラＣ５組　サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000340000001700000010000000070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,5,4,8,1,7,6,3                                                       202,5,4,1,8,6,7,3                                                       302,5,4,1,8,3,6,7                                                       402,5,4,1,3,8,7,6                                                       0
RAA20170218201702174824050380000サラＣ５組　Ｃ５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ５組　Ｃ５　　サラＣ５組　サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000340000001700000010000000070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000807072020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,6,1,2,5,4,3                                                         208,6,(1,2),5,4,3                                                       308,6,1,2,4,5,3                                                         408,6,4,1,2,5,3                                                         0
RAA20170202201702014823030960000乙川特別　Ｃ１２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          乙川特別　Ｃ１２　　乙川特別　Ｃ乙川特0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000220000000440000002200000013000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,7,10,8,3,2,5,4,9,6                                                  201,10,8,7,3,5,2,4,9,6                                                  301,10,8,7,5,3,2,4,(6,9)                                                40(1,10),8,7,5,2,3,4,9,6                                                0
RAA20170216201702154824030960000矢田川特別　Ｃ１１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          矢田川特別　Ｃ１１　矢田川特別　矢田川0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000220000000440000002200000013000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001009091020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,10,1,4,5,2,3,8,7                                                    209,10,1,4,2,5,8,3,7                                                    309,4,(1,10),2,5,8,3,7                                                  409,2,10,5,(1,4),8,3,7                                                  0
RAA20170301201702284825020550000サラＣ１５組　Ｃ１５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ１５組　Ｃ１５サラＣ１５組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000340000001700000010000000070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,3,8,6,5,1,4,2,7                                                     209,3,8,6,5,2,(1,4),7                                                   309,3,6,8,5,2,1,4,7                                                     409,3,6,5,8,2,1,7,4                                                     0
RAA20170301201702284825020750000安田ろろ誕生日記念　Ｃ１４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     安田ろろ誕生日記念　安田ろろ誕生安田ろ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00001700000003400000017000000100000000700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,5,1,9,3,2,8,4,6,7                                                  2010,5,1,9,3,2,8,4,6,7                                                  3010,5,9,1,3,2,8,4,6,7                                                  4010,9,5,8,2,3,(1,4,6),7                                                0
RAA20170301201702284825021050000スプリングＣ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　SPRING CUP                                                                                                                                                                                                                                                                                                                                                              スプリングＣ　　　　スプリングＣスプリ0000D 120004000000000000000サラ系３歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　160000002400    00030000000069000000240000001500000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121210100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,2,8,11,1,7,12,(3,9),4,5,6                                          2010,2,8,11,1,7,3,12,9,4,5,6                                            3010,2,8,(1,11),7,3,12,9,5,4,6                                          4010,1,2,7,3,5,4,9,6,11,12,8                                            0
RAA20170217201702164824040570000サラＣ８組　Ｃ８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ８組　Ｃ８　　サラＣ８組　サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000340000001700000010000000070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,7,10,8,3,2,6,1,4,9                                                  205,7,10,8,3,2,1,(4,6),9                                                305,7,10,8,2,3,4,1,6,9                                                  407,10,8,(2,5),(3,4),(1,6),9                                            0
RAA20170218201702174824050780000サラＢ１４組　Ｂ１４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＢ１４組　Ｂ１４サラＢ１４組サラＢ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000180000000360000001800000011000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909082020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,5,9,7,2,6,1,8,3                                                     204,5,9,7,2,6,1,8,3                                                     304,5,9,2,7,6,1,(3,8)                                                   40(4,5),7,9,6,1,3,8                                                     0
RAA20170228201702274825010540000サラＣ２２組　Ｃ２２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ２２組　Ｃ２２サラＣ２２組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000340000001700000010000000070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,5,2,3,9,7,1,6,4                                                     208,5,2,9,3,7,1,4,6                                                     308,5,(2,9),3,7,1,6,4                                                   408,9,5,3,2,1,7,6,4                                                     0
RAA20170215201702134824010740000ＯＳ☆Ｕ高橋萌誕生日おめでとう　Ｃ２０　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ＯＳ☆Ｕ高橋萌誕生日ＯＳ☆Ｕ高橋ＯＳ☆0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000340000001700000010000000070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,7,9,1,6,4,8,2,3                                                     205,7,1,9,6,4,2,3,8                                                     305,7,9,6,1,4,(2,3),8                                                   405,7,9,6,1,4,3,2,8                                                     0
