RAA20170726201707254304040950000ファビィブーツ特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               ファビィブーツ特別（ファビィブーファビ0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0002000000007000000040000000300000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,9,1,8,3,11,6,2,10,5,7                                               204,9,3,1,11,2,8,10,6,5,7                                               304,9,3,1,11,2,8,6,10,7,5                                               409,4,3,1,11,2,8,6,7,10,5                                               0
RAA20170724201707214304010380000レイクサイドスター特別（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(TWO-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                                 レイクサイドスター特レイクサイドレイク0000E 110000000000000000000サラ系２歳　３８万上　　　　　　　　　　　　　　　　　　　　150000002300    0002500000008750000050000000375000002500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000606061010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,3,1,5,4,2                                                           206,3,1,5,4,2                                                           306,3,5,1,4,2                                                           406,3,5,1,4,2                                                           0
RAA20170726201707254304040250000サラ系３歳　四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　四　　　サラ系３歳　サラ系0000  120000000000000000000４６万上１２９万未満　　　　　　　　　　　　　　　　　　　　120000002300    0001200000004200000024000000180000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000202,4,8,5,6,7,9,1,3                                                     302,4,8,9,(6,7),3,5,1                                                   402,4,9,8,6,7,3,1,5                                                     00                                                                      0
RAA20170726201707254304041150000習志野きらっとスプリント（中央騎手騎乗）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　NARASHINO KIRRATO SPRINT                                                                                                                                                                                                                                                                                                                                                習志野きらっとスプリ習志野きらっ習志野0000D 130002000000000000000サラ系３歳上　ＯＰ　　　　　　　　　　　　　　　　　　　　　100000002300    00120000000420000002400000012000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014141420100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003010,11,2,13,5,(1,6,14),7,4,9,3,8,12                                    4010,11,2,14,5,1,13,6,4,3,7,8,9,12                                      00                                                                      00                                                                      0
RAA20170726201707254304041050000楽天競馬１０周年記念　Ｂ３二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          楽天競馬１０周年記念楽天競馬１０楽天競0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0002400000008400000048000000360000002400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,9,1,2,5,4,7,6,3                                                     208,9,1,2,4,5,6,7,3                                                     308,9,1,(4,5),2,6,7,3                                                   408,9,4,1,5,6,2,7,3                                                     0
RAA20170725201707244304031140000サマーナイトスプリント　Ｂ１Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          サマーナイトスプリンサマーナイトサマー0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    0003000000010500000060000000450000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000204,6,7,8,9,10,1,11,5,2,3                                               304,8,6,(7,9),10,(1,11),(3,5),2                                         404,8,9,10,6,1,7,5,11,3,2                                               00                                                                      0
RAA20170725201707244304030640000夏の乗馬は気分最高！！クレイン千葉杯　Ｃ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     夏の乗馬は気分最高！夏の乗馬は気夏の乗0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    0000900000003150000018000000135000000900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000205,12,1,8,4,10,3,2,6,11,9,7                                            305,12,(1,8),4,10,(2,3),(6,7),11,9                                      405,12,8,1,4,10,2,7,3,6,11,9                                            00                                                                      0
