RAA20171122201711214618021050000加賀四湯賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          加賀四湯賞（中央交流加賀四湯賞（加賀四0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000800000001840000009600000072000000480000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111101040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,9,10,1,5,4,(3,8,11),(2,6)                                           207,9,10,1,5,4,3,(8,11),6,2                                             307,9,10,5,1,4,3,8,2,11                                                 407,10,9,(1,4,5),3,8,2,11                                               0
RAA20171115201711144617041050000兼六園ジュニアＣ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　KENROKUEN JUNIOR CUP                                                                                                                                                                                                                                                                                                                                                    兼六園ジュニアＣ（中兼六園ジュニ兼六園0000D 110002000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0002500000005750000030000000225000001500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,8,10,(9,11),7,6,4,3,2,5                                             201,8,11,(7,10),9,4,6,3,2,5                                             301,11,8,7,(4,9),10,3,6,2,5                                             401,11,9,(3,4),(7,10),(2,8),5,6                                         0
RAA20171127201711264618030920000金沢ヤングＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　YOUNG CHAMPION                                                                                                                                                                                                                                                                                                                                                          金沢ヤングＣｈ（中央金沢ヤングＣ金沢ヤ0000D 110004000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　170000002400    0003000000006900000036000000270000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,9,8,(1,2,7),3,5,4                                                   206,(7,9),8,2,1,3,5,4                                                   306,9,7,(1,2),8,3,5,4                                                   406,1,9,8,2,3,7,(4,5)                                                   0
RAA20171113201711124617030920000かほくかにカニ合戦特別　Ａ１２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          かほくかにカニ合戦特かほくかにカかほく0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　190000002400    0000700000001610000008400000063000000420000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707071040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,3,6,(1,2),5,4                                                       207,3,6,1,2,5,4                                                         307,3,(1,6),2,5,4                                                       407,6,3,1,2,5,4                                                         0
RAA20171113201711124617030720000紀代美ちゃん古希おめでとう杯　Ｂ２５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     紀代美ちゃん古希おめ紀代美ちゃん紀代美0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    000025000000057000000300000002200000015000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111110104000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(3,8,10),(1,9),7,(2,4,6,11),5                                         203,(8,10),1,9,4,7,11,6,2,5                                             303,(8,9,10),(1,11),4,7,(2,6),5                                         403,11,9,8,(1,2,7,10),6,5                                               0
RAA20171127201711264618030720000サラ系一般　Ｂ２５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｂ２５　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000570000003000000022000000150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,5,9,7,4,(6,8),3,2                                                   201,9,5,7,6,8,4,3,2                                                     301,9,5,7,3,2,8,6,4                                                     401,9,(2,5),3,7,8,4,6                                                   0
RAA20171106201711054617010520000サラ系一般　Ｃ２８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２８　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000460000002400000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,6,1,(7,10),5,9,(3,8),4                                              202,1,6,7,10,(5,9),8,3,4                                                302,1,6,7,10,8,9,(3,5),4                                                402,1,6,7,9,8,(3,10),5,4                                                0
RAA20171120201711194618010620000年末御礼！よしだゆうじ杯　Ｃ２７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     年末御礼！よしだゆう年末御礼！よ年末御0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000200000000460000002400000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,5,10,8,1,6,4,7,2,9                                                  203,5,10,8,1,6,7,4,2,9                                                  30(3,10),(5,8),1,6,7,2,4,9                                              40(7,8),10,3,1,5,6,2,4,9                                                0
RAA20171113201711124617030420000「ｅ－ＳＨＩＮＢＵＮ×けいばキンキ」杯　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     「ｅ－ＳＨＩＮＢＵＮ「ｅ－ＳＨＩ「ｅ－0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000220000000500000002600000019000000130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000908082040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,(4,6),2,9,7,3,5                                                     208,6,4,9,2,7,3,5                                                       308,6,4,9,2,7,3,5                                                       408,6,4,(2,9),(3,5,7)                                                   0
RAA20171115201711144617040850000サラ系一般　Ｂ２７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｂ２７　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    000025000000057000000300000002200000015000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111204000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(8,11),10,(3,9),7,6,1,4,2,5                                           20(8,11),10,9,3,7,6,1,4,5,2                                             308,11,10,9,3,6,1,7,4,(2,5)                                             4010,8,3,11,9,6,1,4,5,(2,7)                                             0
RAA20171129201711284618040750000サラ系一般　Ｃ１２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１２　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    00002200000005000000026000000190000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101010300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,9,4,8,2,3,5,6,1,7                                                  2010,9,4,8,(2,3),5,6,1,7                                                3010,9,4,5,8,3,2,6,1,7                                                  4010,5,9,8,3,(2,4),6,1,7                                                0
