RAA20170608201706074806021060000名古屋ＣＣピーチ賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               名古屋ＣＣピーチ賞（名古屋ＣＣピ名古屋0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000400000001000000004000000024000000160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,10,1,5,6,4,3,9,2,8                                                  2010,7,5,1,6,9,4,3,2,8                                                  30(5,10),(6,7),1,9,3,4,2,8                                              407,1,5,9,10,6,3,4,2,8                                                  0
RAA20170622201706214807020960000名古屋ＣＣミント賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               名古屋ＣＣミント賞（名古屋ＣＣミ名古屋0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000400000001000000004000000024000000160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,2,10,8,4,5,3,6,9,7                                                  201,10,2,8,4,3,5,6,9,7                                                  3010,1,8,2,4,6,3,(5,7,9)                                                401,8,10,6,2,4,3,7,9,5                                                  0
RAA20170610201706094806041080000パールオープン　Ａ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          パールオープン　Ａ１パールオープパール0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0001500000003750000015000000090000000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707071020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,5,6,3,7,4,1                                                         202,5,6,3,7,4,1                                                         30(2,5),(4,6),3,7,1                                                     404,5,(2,3),(6,7),1                                                     0
RAA20170609201706084806031070000白夜賞　Ｂ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          白夜賞　Ｂ　　　　　白夜賞　Ｂ　白夜賞0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000280000000700000002800000017000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,1,7,8,9,2,6,4,5                                                     201,3,9,7,8,6,2,4,5                                                     301,9,3,8,7,2,6,4,5                                                     40(5,8,9),1,4,6,3,2,7                                                   0
RAA20170624201706234807040980000ユスラウメ賞　Ｂ１０　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ユスラウメ賞　Ｂ１０ユスラウメ賞ユスラ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000220000000550000002200000013000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,10,3,8,1,7,9,6,4,5                                                  202,10,8,3,7,6,1,9,4,5                                                  302,(8,10),3,7,1,6,9,4,5                                                402,10,8,3,1,7,9,6,4,5                                                  0
RAA20170620201706064806011150000東海ダービー　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKAI DERBY                                                                                                                                                                                                                                                                                                                                                             東海ダービー　　　　東海ダービー東海ダ0000D 120002000000000000000サラ系３歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　190000002400    0005000000012500000050000000300000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,2,11,9,5,10,1,6,4,12,3                                              207,2,11,9,5,4,10,6,1,3,12                                              307,(2,4,9),5,11,10,6,3,1,12                                            40(4,5),9,7,2,10,11,6,3,1,12                                            0
RAA20170610201706094806040680000サラＣ２組　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ２組　Ｃ２　　サラＣ２組　サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000220000000550000002200000013000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,4,8,1,2,7,6,9,5                                                     203,4,8,1,2,6,7,9,5                                                     303,4,(6,8),1,9,2,7,5                                                   409,6,4,3,8,1,7,5,2                                                     0
RAA20170624201706234807040780000渡部秀幸と仲間達イン名古屋　Ｂ１２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     渡部秀幸と仲間達イン渡部秀幸と仲渡部秀0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    00002200000005500000022000000130000000900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101010200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,4,9,5,6,7,1,2,3,8                                                  2010,4,9,6,7,1,2,5,3,8                                                  3010,4,9,7,6,2,5,1,3,8                                                  4010,7,9,4,6,2,3,1,5,8                                                  0
RAA20170610201706094806040580000サラＣ３組　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ３組　Ｃ３　　サラＣ３組　サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000500000002000000012000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,6,8,7,4,9,5,3,1                                                     202,6,8,4,7,9,3,5,1                                                     302,8,6,(3,4),7,9,5,1                                                   40(2,8),4,3,6,7,5,9,1                                                   0
RAA20170610201706094806040480000サラＣ４組　Ｃ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ４組　Ｃ４　　サラＣ４組　サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000500000002000000012000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,7,8,5,1,6,2,4,3                                                     209,7,8,5,1,6,2,4,3                                                     309,7,8,(1,5),6,4,3,2                                                   409,1,7,8,(3,5),4,6,2                                                   0
RAA20170624201706234807040580000サラＣ３組　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ３組　Ｃ３　　サラＣ３組　サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000500000002000000012000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,4,7,3,9,1,6,5,2                                                     204,8,7,3,1,9,6,2,5                                                     304,8,7,1,3,9,6,2,5                                                     404,1,7,8,6,9,3,2,5                                                     0
RAA20170608201706074806020260000サラ３歳３組　３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ３歳３組　３　　サラ３歳３組サラ３0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000630000002500000015000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,2,9,10,5,6,7,3,8,4                                                  201,2,9,10,5,6,7,3,8,4                                                  301,9,(2,10),6,7,5,4,8,3                                                406,1,10,4,7,8,9,5,3,2                                                  0
RAA20170607201706064806010450000サラＣ１４組　Ｃ１４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ１４組　Ｃ１４サラＣ１４組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000500000002000000012000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,6,9,8,4,1,7,5,2                                                     203,6,9,4,8,1,(5,7),2                                                   30(6,9),8,3,4,1,7,5,2                                                   408,9,6,3,4,1,7,5,2                                                     0
