順位,種牡馬,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
243,"Harlan's Holiday",  1-  0-  0-  0/  1,100.0%,100.0%,100.0%,710,280,710.0,1.0着,3.0人気,7.1,710,280,0,0.0%,0.0%,0.0%,111.50,12.39,58.12
244,"Half Ours",  1-  0-  0-  0/  1,100.0%,100.0%,100.0%,910,200,910.0,1.0着,3.0人気,9.1,910,200,0,0.0%,0.0%,0.0%,112.40,12.49,57.65
245,"El Gran Senor",  1-  0-  0-  0/  1,100.0%,100.0%,100.0%,140,120,140.0,1.0着,1.0人気,1.4,140,120,0,0.0%,0.0%,0.0%,115.30,12.81,56.20
246,"Cure the Blues",  1-  0-  0-  0/  1,100.0%,100.0%,100.0%,170,110,170.0,1.0着,1.0人気,1.7,170,110,0,0.0%,0.0%,0.0%,114.60,12.73,56.54
247,アサティス,  0-  4-  3- 19/ 26,0.0%,15.4%,26.9%,0,85,0.0,7.7着,7.3人気,50.9,,316,0,0.0%,15.4%,11.5%,115.26,12.81,56.22
248,フォーティナイナー,  0-  3-  2-  4/  9,0.0%,33.3%,55.6%,0,132,0.0,5.3着,5.7人気,24.0,,238,0,0.0%,33.3%,22.2%,113.53,12.61,57.08
249,カリズマティック,  0-  3-  1- 15/ 19,0.0%,15.8%,21.1%,0,42,0.0,7.3着,8.3人気,126.9,,202,0,0.0%,15.8%,5.3%,115.45,12.83,56.13
250,グリーンマウント,  0-  3-  1-  3/  7,0.0%,42.9%,57.1%,0,115,0.0,5.1着,6.7人気,72.7,,202,0,0.0%,42.9%,14.3%,115.07,12.79,56.31
251,アーテイアス,  0-  3-  0-  1/  4,0.0%,75.0%,75.0%,0,85,0.0,5.3着,4.3人気,39.4,,113,0,0.0%,75.0%,0.0%,116.98,13.00,55.40
252,ハイセイコー,  0-  2-  3- 10/ 15,0.0%,13.3%,33.3%,0,68,0.0,6.6着,7.9人気,36.6,,206,0,0.0%,13.3%,20.0%,114.37,12.71,56.66
253,マーベラスサンデー,  0-  2-  2- 19/ 23,0.0%,8.7%,17.4%,0,126,0.0,6.8着,9.0人気,86.0,,725,0,0.0%,8.7%,8.7%,114.30,12.70,56.70
254,ヴァーミリアン,  0-  2-  2- 11/ 15,0.0%,13.3%,26.7%,0,59,0.0,6.9着,8.5人気,93.9,,222,0,0.0%,13.3%,13.3%,115.24,12.80,56.23
255,カジノドライヴ,  0-  2-  2-  6/ 10,0.0%,20.0%,40.0%,0,240,0.0,7.6着,10.0人気,97.9,,600,0,0.0%,20.0%,20.0%,115.17,12.80,56.26
256,チーフベアハート,  0-  2-  1- 18/ 21,0.0%,9.5%,14.3%,0,19,0.0,6.9着,7.0人気,73.9,,137,0,0.0%,9.5%,4.8%,114.57,12.73,56.56
257,ダイナガリバー,  0-  2-  1-  8/ 11,0.0%,18.2%,27.3%,0,90,0.0,5.8着,6.8人気,38.0,,333,0,0.0%,18.2%,9.1%,115.45,12.83,56.13
258,バンブーアトラス,  0-  2-  1- 25/ 28,0.0%,7.1%,10.7%,0,13,0.0,6.8着,7.7人気,52.4,,127,0,0.0%,7.1%,3.6%,115.84,12.87,55.94
259,パイロ,  0-  2-  1- 15/ 18,0.0%,11.1%,16.7%,0,36,0.0,8.8着,9.2人気,62.3,,220,0,0.0%,11.1%,5.6%,114.13,12.68,56.78
260,サクラシンゲキ,  0-  2-  1-  8/ 11,0.0%,18.2%,27.3%,0,53,0.0,7.0着,6.1人気,41.8,,197,0,0.0%,18.2%,9.1%,116.70,12.97,55.53
