06154401,86,105,103,95,96,101,95,94,110,95,90,85,86,104,93,93
06154402,101,95,87,92,94,115,94,102,106,90,108,88,106,100,118,98
06154403,105,95,87,115,111,115,92,84,105,99,97,101
06154404,106,85,127,97,88,104,98,109,103,106,85,108,98,105,102,90
06154406,93,95,86,103,109,101,99,96,109,97,94,95,109,93,87,93
06154407,107,120,93,80,101,103,107,115,109,99,101,113,90,98
06154408,106,123,103,107,106,109,130,92,94,106,108,100,101,93,106,113
06154409,106,97,105,0,110,125,123,108,97,112,69,95,96,98
06154410,97,82,108,94,106,115,102,98,110,104,110,117,95,110,85,102
06154411,102,110,117,101,105,102,105,100,98,122
06154412,95,107,95,94,92,100,107,84,89,90,98,86,106,90,122,88
09154401,106,99,114,90,112,93,105,97,99,101,128,104,98,93,105,112
09154402,119,106,114,110,99,116,93,106,106,104,112,104
09154403,94,91,90,97,110,85,90,115,89,118,109,93,107,101,87,105
09154406,104,104,74,103,111,107,95,97,90,91,93,91,95,110,101,88
09154407,82,109,118,112,121,114,120,114,112,118,123,129,113,93,99,97
09154408,107,94,104,98,108,124,117,101,88,102,85,89,0,71,117,107,94
09154409,91,112,107,108,113,108,110,102,99,119,100,117,106,99,106,106
09154410,116,108,91,112,94,88,125,94,112,108,110,109,102,96,97,123,94,104
09154411,88,100,113,105,110,107,99,136,113,119,107,121,113,74,111,108,101
09154412,97,123,92,108,108,113,102,100,108,106,102,132,104,106,84,96
