UM12004020219811000151198305121983111719810530カブトテンジン　　　　　　　　　　　ｶﾌﾞﾄﾃﾝｼﾞﾝ                           Kabuto Tenjin(JPN)                                          0                   03110411100848カブトシロー　　　　　　　　　　　　12209553ミヤジエイカン　　　　　　　　　　　11100461オーロイ　　　　　　　　　　　　　　12102650パレーカブト　　　　　　　　　　　　11100744フイダルゴ　　　　　　　　　　　　　12201236ヒロミドリ　　　　　　　　　　　　　11300028Aureole                             00000000　　　　　　　　　　　　　　　　　　11100106イーストパレード　　　　　　　　　　12100501明徳甲　　　　　　　　　　　　　　　11301147Arctic Star                         00000000　　　　　　　　　　　　　　　　　　11100805アイアンリージ　　　　　　　　　　　12105139フアザラ　　　　　　　　　　　　　　200237田之上勲　　　　　　　　　　800165川名　初三郎　　　　　　　　　　　　　　　　　　　　　　　　　　　　　宮崎県　　　　　　　403005吉永　フヂ　　　　　　　　　　　　　　　　　　　　　　　　　　　000004300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419811000291198306091986091819810222カシノエース　　　　　　　　　　　　ｶｼﾉｴｰｽ                              Kashino Ace(JPN)                                            0                   03110411200478ニツポーキング　　　　　　　　　　　12209556イノウエヒメ　　　　　　　　　　　　11200019プロント　　　　　　　　　　　　　　12108409ミスマルミチ　　　　　　　　　　　　11100716バウンドレス　　　　　　　　　　　　12103083健仙　　　　　　　　　　　　　　　　11300129Prince Taj                          00000000　　　　　　　　　　　　　　　　　　11100568ネヴアービート　　　　　　　　　　　12102996キユーピツト　　　　　　　　　　　　11300649Targui                              00000000　　　　　　　　　　　　　　　　　　11100255ヤシママンナ　　　　　　　　　　　　12100909ペツトチカラ　　　　　　　　　　　　200203須貝彦三　　　　　　　　　　800165川名　初三郎　　　　　　　　　　　　　　　　　　　　　　　　　　　　　宮崎県　　　　　　　514009柏木　務　　　　　　　　　　　　　　　　　　　　　　　　　　　　000161200000000000000000500000000000000016500000000000000000000000000001000000000000000001000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000001
UM42006061419811000411198304271985060119810323ヤングムーティエ　　　　　　　　　　ﾔﾝｸﾞﾑｰﾃｨｴ                           Young Moutiers(JPN)                                         0                   03110111101069タニノムーテイエ　　　　　　　　　　12202300アスカヤング　　　　　　　　　　　　11100689ムーテイエ　　　　　　　　　　　　　12104612タニノチエリ　　　　　　　　　　　　11100500シーフユリユー　　　　　　　　　　　12103680クリツバサの弐　　　　　　　　　　　11300611Sicambre                            00000000　　　　　　　　　　　　　　　　　　11100458テイエポロ　　　　　　　　　　　　　12101238シーマン　　　　　　　　　　　　　　11300611Sicambre                            00000000　　　　　　　　　　　　　　　　　　11100149フランクリー　　　　　　　　　　　　12101511クリツバサ　　　　　　　　　　　　　200246土門健司　　　　　　　　　　600182今村　瑞昭　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　175003梶原　重雄　　　　　　　　　　　　　　　　　　　　　　　　　　　000060800000000000000000000000000000000016500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219811000431198306091983121619810419ナインステーツ　　　　　　　　　　　ﾅｲﾝｽﾃｰﾂ                             Nine States(JPN)                                            0                   00110111200479スピリツトスワプス　　　　　　　　　12210417ロイヤルフアクター　　　　　　　　　11300075Swaps                               12300013Candela                             11200352ハーデイカヌート　　　　　　　　　　12202863アンセリア　　　　　　　　　　　　　11300432Khaled                              12301948Iron Reward                         11300658The Rabbi                           12300318Congracia                           11100800ハードリドン　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300152Mossborough                         12300269Carrozza                            200250内藤繁春　　　　　　　　　　600182今村　瑞昭　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　810005安田　銀治　　　　　　　　　　　　　　　　　　　　　　　　　　　000007600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419811000451198304271985090419810507ナンプウスキー　　　　　　　　　　　ﾅﾝﾌﾟｳｽｷｰ                            Nampusky(JPN)                                               0                   03310311200402ライジン　　　　　　　　　　　　　　12214636ヒサゴスキー　　　　　　　　　　　　11100795テスコボーイ　　　　　　　　　　　　12105595モリノサワ　　　　　　　　　　　　　11200149ミンスキー　　　　　　　　　　　　　12208356ステーツクイン　　　　　　　　　　　11300558Princely Gift                       00000000　　　　　　　　　　　　　　　　　　11100091ゲイタイム　　　　　　　　　　　　　12100999朝島　　　　　　　　　　　　　　　　11300102Northern Dancer                     00000000　　　　　　　　　　　　　　　　　　11100796ブランブルー　　　　　　　　　　　　12104686ミチトミ　　　　　　　　　　　　　　200212瀬戸口勉　　　　　　　　　　330186笠茂牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　162005笠茂　重信　　　　　　　　　　　　　　　　　　　　　　　　　　　000124300000000000000000328000000000000016500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219811000461198305121984032819810430シルバーテイノ　　　　　　　　　　　ｼﾙﾊﾞｰﾃｲﾉ                            Silver Tino(JPN)                                            0                   03110711200390シルバーネロ　　　　　　　　　　　　12212840エリモシヤルマン　　　　　　　　　　11100922フオルテイノ　　　　　　　　　　　　12104463インサイドストーリー　　　　　　　　11200106エリモホーク　　　　　　　　　　　　12202783ジエノヴエヴア　　　　　　　　　　　11300048Grey Sovereign                      00000000　　　　　　　　　　　　　　　　　　11300095Narrator                            12300080Alcatraz                            11200138シーホーク　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11100863パーシア　　　　　　　　　　　　　　12300533Ghana                               200223武田作十　　　　　　　　　　800187鹿屋吉田牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　528009吉田　三郎　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219811000481198306091984052119810413ネロピュール　　　　　　　　　　　　ﾈﾛﾋﾟｭｰﾙ                             Nero Pur(JPN)                                               0                   03110711200390シルバーネロ　　　　　　　　　　　　12212845エリモワカバ　　　　　　　　　　　　11100922フオルテイノ　　　　　　　　　　　　12104463インサイドストーリー　　　　　　　　11200046ソデイアム　　　　　　　　　　　　　12204949ヒナ　　　　　　　　　　　　　　　　11300048Grey Sovereign                      00000000　　　　　　　　　　　　　　　　　　11300095Narrator                            12300080Alcatraz                            11300064Psidium                             00000000　　　　　　　　　　　　　　　　　　11300437Klairon                             12300657Jennifer                            200309松元正雄　　　　　　　　　　800187鹿屋吉田牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　528009吉田　三郎　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219811000491198305101983111719810424ヘクトポイント　　　　　　　　　　　ﾍｸﾄﾎﾟｲﾝﾄ                            Hecto Point(JPN)                                            0                   03110411101069タニノムーテイエ　　　　　　　　　　12213819フラワーフラツシユ　　　　　　　　　11100689ムーテイエ　　　　　　　　　　　　　12104612タニノチエリ　　　　　　　　　　　　11200046ソデイアム　　　　　　　　　　　　　12208255パツシングフラワー　　　　　　　　　11300611Sicambre                            00000000　　　　　　　　　　　　　　　　　　11100458テイエポロ　　　　　　　　　　　　　12101238シーマン　　　　　　　　　　　　　　11300064Psidium                             00000000　　　　　　　　　　　　　　　　　　11100931プリンシパルボーイ　　　　　　　　　12107191パツシング　　　　　　　　　　　　　200309松元正雄　　　　　　　　　　800187鹿屋吉田牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　528009吉田　三郎　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419811000511198306091985080419810221ナンシンエクセラー　　　　　　　　　ﾅﾝｼﾝｴｸｾﾗｰ                           Nanshin Exceller(JPN)                                       0                   00110311200479スピリツトスワプス　　　　　　　　　12208947サトーホープ　　　　　　　　　　　　11300075Swaps                               12300013Candela                             11100754フアラモンド　　　　　　　　　　　　12104087アドミラルホープ　　　　　　　　　　11300432Khaled                              12301948Iron Reward                         11300658The Rabbi                           12300318Congracia                           11300611Sicambre                            00000000　　　　　　　　　　　　　　　　　　11100305アドミラルバード　　　　　　　　　　12100875マリーハギ　　　　　　　　　　　　　200236谷八郎　　　　　　　　　　　500186釘田フアーム　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　029009塗木　幸二　　　　　　　　　　　　　　　　　　　　　　　　　　　000421300000000000000002120000000000000089000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419811000521198306091985101619810321サザンフォーカス　　　　　　　　　　ｻｻﾞﾝﾌｫｰｶｽ                           Southern Focus(JPN)                                         0                   03110311200334ミリオンパラ　　　　　　　　　　　　12207213タイヘイリウジン　　　　　　　　　　11100716バウンドレス　　　　　　　　　　　　12101528コンゴーセキ　　　　　　　　　　　　11100923テイツトフオアタツト　　　　　　　　12101987アダン　　　　　　　　　　　　　　　11300649Targui                              00000000　　　　　　　　　　　　　　　　　　11100058ヴイーノーピユロー　　　　　　　　　12100944シラオキ　　　　　　　　　　　　　　11300075Swaps                               00000000　　　　　　　　　　　　　　　　　　11100033アサフジ　　　　　　　　　　　　　　12100754サイスパー　　　　　　　　　　　　　200236谷八郎　　　　　　　　　　　500186釘田フアーム　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　476009釘田　静義　　　　　　　　　　　　　　　　　　　　　　　　　　　000072800000000000000000000000000000000016500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219811000531198306011984110719810224シンコーザンヒエン　　　　　　　　　ｼﾝｺｰｻﾞﾝﾋｴﾝ                          Shinkozan Hien(JPN)                                         0                   03110311200390シルバーネロ　　　　　　　　　　　　12210378フジタカウイン　　　　　　　　　　　11100922フオルテイノ　　　　　　　　　　　　12104463インサイドストーリー　　　　　　　　11200012シユーテイングチヤント　　　　　　　12202277サツマイチ　　　　　　　　　　　　　11300048Grey Sovereign                      00000000　　　　　　　　　　　　　　　　　　11300095Narrator                            12300080Alcatraz                            11300090Tudor Melody                        00000000　　　　　　　　　　　　　　　　　　11100367マイナーズランプ　　　　　　　　　　12102424クモマサ　　　　　　　　　　　　　　200332吉田三郎　　　　　　　　　　800186下久保　隼助　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　880003中村　俊男　　　　　　　　　　　　　　　　　　　　　　　　　　　000003500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
