RA720021221200210050302011210000小野川湖特別　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　ONOGAWAKO TOKUBETSU                                                                                                                                                                                                                                                                                                                                                     小野川湖特別　　　　小野川湖特別小野川0000E 13A032000005010010005　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000001700A   001050000004200000026000000160000001050000000000000000000000000000000000000000000000000000000000000049000000140000000700000000000000000000000000000000000000000016100000161616110119102108112119127000000000000000000000000000000000000000000000000000000000000032944135846631(*3,5)8(1,9,15)16(4,11,13)(7,14)(2,6,12)-10                           41(*3,5)8-9(1,15)4(7,16)(11,12)(2,13)(6,14)10                           00                                                                      00                                                                      0
RA720021221200210060302020120000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        　　　　　　　　　　　　　　　　　　　0000  120033000703000000703　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　100000002400    000510000002000000013000000077000000510000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000009550000121212101124109117124125000000000000000000000000000000000000000000000000000000000000000035047436647531(*1,3)(4,8,11)(2,9)12-(5,10)(6,7)                                     41(*1,3)(4,11)-8(2,9)(6,12)(5,7)10                                      00                                                                      00                                                                      0
RA720021221200210060302020220000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        　　　　　　　　　　　　　　　　　　　0000  120233000703000000703　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000001700A   0005100000016500000165000000770000005100000000000000000000000000000200000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000102000001616161101221061101171211260000000000000000000000000000000000000000000000000000000000000338455364474317(1,13,16)(6,15)12(2,5)(11,9)(3,4,14)10=8                             417(13,16)(1,6,12)2(4,5)(11,9)(3,15)10,14=8                             00                                                                      00                                                                      0
RA720021221200210060302020320000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        　　　　　　　　　　　　　　　　　　　0000  120033000703000000703　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　180000001700A   000510000002000000013000000077000000510000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010450000161616110131111120122125121119122128000000000000000000000000000000000000000000000000000036248436949011(8,*10)(4,9,13)(7,14)(6,11,16)(5,12)3-15,1-2                          21(8,*10)(4,13)(9,14)(7,16)(6,11)(5,12)(3,15)1-2                        31(*8,10,4)(9,14,13)(7,11,16)(15,1)(6,12)(5,3)-2                        41(*8,10,4)(9,14,13,16)(7,11)(5,12,15,1)(6,2,3)                         0
RA720021221200210060302020420000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        　　　　　　　　　　　　　　　　　　　0000  120033000703000000703　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　170000002400    0005100000020000000130000000770000005100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111500001313131010711111181241301261261291430000000000000000000000000000000000000000000000000000300424398524111,9(8,10)6(2,12)5,4(3,7,11)-13                                        211-9(8,10)(6,2,12)-(4,5)-(3,7)(13,11)                                  311(8,10)(6,2)(4,12,5,7)9,11-(3,13)                                     411-10(8,2)(6,4,5,7)-(12,11)(3,13)9                                     0
RA720021221200210060302020520000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        　　　　　　　　　　　　　　　　　　　0000  11A033701000000000701　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000001700A   000600000002400000015000000090000000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011450000161616110122106110114119136000000000000000000000000000000000000000000000000000000000000033845236947931(*9,14)=4-15(7,16)1(8,11)3(6,12,13)10=5-2                             41(*9,14)-4=(7,15)16,1,3(10,6,8)(12,11,13)=5-2                          00                                                                      00                                                                      0
RA720021221200210060302020620000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        　　　　　　　　　　　　　　　　　　　0000  120033000703000000703　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　200000001700A   0005100000020000000130000000770000005100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000124500001616161101281101151271231231211211251280000000000000000000000000000000000000000000000000353480374495115,12-(13,8)-(2,3,10)6(7,11)1(4,15)-16(14,9)                           21(*5,12)(13,8)-(2,3,10)6,11(1,7)15,4-16(14,9)                          315(12,8)13-(2,3,10)(6,7)1(15,14)(16,9)(4,11)                           415(13,8)-(12,7)(2,10)(3,6)(1,14)(16,15)9-4-11                          0
RA720021221200210060302020720000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        　　　　　　　　　　　　　　　　　　　0000  120033000703000000703　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　170000002400    000510000002000000013000000077000000510000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013150000131313101069115117124130126129134137000000000000000000000000000000000000000000000000000030142540052611(*3,5,10)(6,11,13)1(2,7,12)4-8,9                                      213(5,10)(11,13)(1,6)2(4,7,12)-8=9                                      31(*3,5,10)(1,11,13,2)(6,12)(4,8)-7=9                                   41(*3,10)(5,2)(1,13)11,12(6,8)4=7=9                                     0
RA720021221200210060302020820000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        　　　　　　　　　　　　　　　　　　　0000  12A033000703000000703　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　180000001700A   000510000002000000013000000077000000510000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013450000161616110129115127126122119119121125000000000000000000000000000000000000000000000000000037149736548411(*15,11)(3,4,13)(2,7,12)(6,10)(1,9,16)5(8,14)                         2115,11(3,13)(4,12)(2,7)(6,10)-(1,9,16)(8,14,5)                         31(*15,3,11)(6,13)12(2,7,10)4-14(1,9)8(16,5)                            4115(6,3)(11,13)(12,10)(2,7)14,4,9(1,8)-16-5                            0
RA720021221200210060302020920000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        　　　　　　　　　　　　　　　　　　　0000  12A033000703000000703　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000001700A   0005100000020000000130000000770000005100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000142000001616161101211051111161211280000000000000000000000000000000000000000000000000000000000000337453365476315,6,11(8,13,14,16)15(7,12)(2,4)(1,3,9)10                              415(8,6)(7,13)(14,11)(2,16)(3,12)(15,4)(1,10,9)                         00                                                                      00                                                                      0
RA720021221200210060302021020000高湯特別　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TAKAYU TOKUBETSU                                                                                                                                                                                                                                                                                                                                                        高湯特別　　　　　　高湯特別　　高湯特0000E 130032000005010010005　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　170000002400    001050000004200000026000000160000001050000000000000000000000000000000000000000000000000000000000000042000000120000000600000000000000000000000000000000000000000014550000121212101068109113122131129131130133000000000000000000000000000000000000000000000000000029041239452311(1,*2)-(4,10)6(5,7,12)(9,11)-(8,3)                                    21(*1,2)-(4,10)-(5,6)7(9,12)-(8,11,3)                                   31(*2,10)(4,6,7)(1,5,3)9(8,12,11)                                       41(2,*10,7)(4,6,5,3)9,8(12,11)-1                                        0
RA720021221200210060302021120000福島民報杯　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FUKUSHIMA MIMPO HAI                                                                                                                                                                                                                                                                                                                                                     福島民報杯　　　　　福島民報杯　福民報0000E 13A041000999999999999　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000001700A   002400000009600000060000000360000002400000000000000000000000000000000000000000000000000000000000000035700000102000000510000000000000000000000000000000000000000015300000161616110118103105111118127000000000000000000000000000000000000000000000000000000000000032643735646131(*9,12,15)(2,8)(1,7,11)(3,4,14,16)(5,13)6,10                          41(9,*12,15)8(1,2,4,7)(3,5)(6,14,11,13)(10,16)                          00                                                                      00                                                                      0
RA720021221200210060302021220000松川浦特別　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　MATSUKAWAURA TOKUBETSU                                                                                                                                                                                                                                                                                                                                                  松川浦特別　　　　　松川浦特別　松川浦0000E 13A032000005010010005　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　180000001700A   001050000004200000026000000160000001050000000000000000000000000000000000000000000000000000000000000052500000150000000750000000000000000000000000000000000000000016100000161616110126113115120128124119120124000000000000000000000000000000000000000000000000000035447436348711(*6,14)7(1,2)(10,13)5,11(3,8,12)9(16,15)-4                            2114-6-7,1-2(5,10)13(3,11)(16,8,12)(9,15)-4                             3114(6,1)(2,13)(7,5,10)(16,3,12)9(11,8,15)4                             41(*14,1)(5,2)(6,12,13)(16,3)(7,9,10,8)(11,15)4                         0
RA720021221200210120302030110000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        　　　　　　　　　　　　　　　　　　　0000  11A003703000000000703　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000001700A   0005100000020000000130000000770000005100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000095500001616161101221041101171211300000000000000000000000000000000000000000000000000000000000000336453368478314-(15,16)(5,12)14-(6,9)(3,8)(10,11,13)-7,1,2                          414-15(5,12,16)-(14,9)-3,6,8(10,11)(1,7)13,2                            00                                                                      00                                                                      0
RA720021221200210120302030210000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        　　　　　　　　　　　　　　　　　　　0000  120203000703000000703　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　100000002400    00051000000200000001300000007700000051000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001020000012121210112611011712012600000000000000000000000000000000000000000000000000000000000000003534733634733112(4,11)(1,7)9(2,5,10)(3,6,8)                                         4112(4,11)-1,7,9,2(5,10)(3,6,8)                                         00                                                                      00                                                                      0
RA720021221200210120302030310000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        　　　　　　　　　　　　　　　　　　　0000  120003000703000000703　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　170000002400    0005100000020000000130000000770000005100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104500001313131010701151161251291291291311390000000000000000000000000000000000000000000000000000301426399528112(8,12)-(4,5,10,11,13)6(1,3)9=7                                       212(8,12)-(10,11)(4,5,13)(1,6)3,9=7                                     312(8,12)-10,13(11,1,6)5,3(4,9)=7                                       41(*2,12)-10,8,1-(5,13)-(3,9)11(4,6)-7                                  0
