UM42006061419801001081198202181983092219800320ケンセイアトム　　　　　　　　　　　ｹﾝｾｲｱﾄﾑ                             Kensei Atom(JPN)                                            0                   03210111200390シルバーネロ　　　　　　　　　　　　12214195ケンセイサクラ　　　　　　　　　　　11100922フオルテイノ　　　　　　　　　　　　12104463インサイドストーリー　　　　　　　　11200008ズグ　　　　　　　　　　　　　　　　12204169ミスケンセイ　　　　　　　　　　　　11300048Grey Sovereign                      00000000　　　　　　　　　　　　　　　　　　11300095Narrator                            12300080Alcatraz                            11300094Nasram                              00000000　　　　　　　　　　　　　　　　　　11100568ネヴアービート　　　　　　　　　　　12103808イチテンシヨウ　　　　　　　　　　　200246土門健司　　　　　　　　　　700171杉安牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　458009杉安　謙一郎　　　　　　　　　　　　　　　　　　　　　　　　　　000196600000000000000001266000000000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219801001091198204281983010419800225ケンセイタマー　　　　　　　　　　　ｹﾝｾｲﾀﾏｰ                             Kensei Tama(JPN)                                            0                   03210111200390シルバーネロ　　　　　　　　　　　　12204169ミスケンセイ　　　　　　　　　　　　11100922フオルテイノ　　　　　　　　　　　　12104463インサイドストーリー　　　　　　　　11100568ネヴアービート　　　　　　　　　　　12103808イチテンシヨウ　　　　　　　　　　　11300048Grey Sovereign                      00000000　　　　　　　　　　　　　　　　　　11300095Narrator                            12300080Alcatraz                            11300100Never Say Die                       00000000　　　　　　　　　　　　　　　　　　11100195シマタカ　　　　　　　　　　　　　　12100154雲浪　　　　　　　　　　　　　　　　200246土門健司　　　　　　　　　　700171杉安牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　563009杉安　浩一郎　　　　　　　　　　　　　　　　　　　　　　　　　　000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219801001341198207211983050719800224アリエスカ　　　　　　　　　　　　　ｱﾘｴｽｶ                               Ariesca(JPN)                                                0                   00210111200335レイズアボーイ　　　　　　　　　　　12207108マランダ　　　　　　　　　　　　　　11300169Raise a Native                      00000000　　　　　　　　　　　　　　　　　　11100729オンリーフオアライフ　　　　　　　　12102937グリーンライト　　　　　　　　　　　11300494Native Dancer                       12402372Raise You                           00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300269Chanteur                            00000000　　　　　　　　　　　　　　　　　　11100273トサミドリ　　　　　　　　　　　　　12101051トサノウサ　　　　　　　　　　　　　100146奥平真治　　　　　　　　　　100120ハイランド牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　栃木県　　　　　　　343800ハイランド牧場　　　　　　　　　　　　　　　　　　　　　　　　　000006300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419801001421198207291984042719800506ナトリコマンダー　　　　　　　　　　ﾅﾄﾘｺﾏﾝﾀﾞｰ                           Natori Commander(JPN)                                       0                   04210311200157ダストコマンダー　　　　　　　　　　12204088パーソフジ　　　　　　　　　　　　　11301193Bold Commander                      00000000　　　　　　　　　　　　　　　　　　11100576パーソロン　　　　　　　　　　　　　12103764アサマフジ　　　　　　　　　　　　　11300247Bold Ruler                          12401315High Voltage                        00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300150Milesian                            00000000　　　　　　　　　　　　　　　　　　11100091ゲイタイム　　　　　　　　　　　　　12100680キヨハ　　　　　　　　　　　　　　　100176斎藤籌敬　　　　　　　　　　700198なべかけ牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　栃木県　　　　　　　023005名取　享　　　　　　　　　　　　　　　　　　　　　　　　　　　　000049400000000000000000000000000000000016000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219801001491198204201983033019800508オキノラグーン　　　　　　　　　　　ｵｷﾉﾗｸﾞｰﾝ                            Okino Lagoon(JPN)                                           0                   00210311200223アイリツシユボール　　　　　　　　　12107883ハイビスカス　　　　　　　　　　　　11200134ボールドリツク　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11100305アドミラルバード　　　　　　　　　　12101931キクジユヒメ　　　　　　　　　　　　11300158Round Table                         00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300496Nearco                              00000000　　　　　　　　　　　　　　　　　　11100010トシシロ　　　　　　　　　　　　　　12100911マリオン　　　　　　　　　　　　　　100321八木沢勝　　　　　　　　　　100341天羽　禮治　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　門別町　　　　　　　911000沖崎　エイ　　　　　　　　　　　　　　　　　　　　　　　　　　　000006300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219801001551198210061983040119800407ナスノドール　　　　　　　　　　　　ﾅｽﾉﾄﾞｰﾙ                             Nasuno Doll(JPN)                                            0                   00210311200223アイリツシユボール　　　　　　　　　12204589ナスノドーター　　　　　　　　　　　11200134ボールドリツク　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11100568ネヴアービート　　　　　　　　　　　12105493ナスノフジ　　　　　　　　　　　　　11300158Round Table                         00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300100Never Say Die                       00000000　　　　　　　　　　　　　　　　　　11100500シーフユリユー　　　　　　　　　　　12102099シラギク　　　　　　　　　　　　　　100107荒木静雄　　　　　　　　　　600197恵比寿興業株式会社那須野牧場　　　　　　　　　　　　　　　　　　　　　栃木県　　　　　　　051800那須野牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219801001561198206031984021619800407エビータ　　　　　　　　　　　　　　ｴﾋﾞｰﾀ                               Evita(JPN)                                                  0                   00210311200476ピツトカーン　　　　　　　　　　　　12208903ナスノメロデイ　　　　　　　　　　　11300536Petingo                             00000000　　　　　　　　　　　　　　　　　　11100805アイアンリージ　　　　　　　　　　　12103232ジヨーガー　　　　　　　　　　　　　11300537Petition                            12403802Alcazar                             00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11301123Bull Lea                            00000000　　　　　　　　　　　　　　　　　　11300660The Yuvaraj                         12300597Her Majesty                         100149梶与四松　　　　　　　　　　600197恵比寿興業株式会社那須野牧場　　　　　　　　　　　　　　　　　　　　　栃木県　　　　　　　051800那須野牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219801001601198205251982112619800325ブルーリーフ　　　　　　　　　　　　ﾌﾞﾙｰﾘｰﾌ                             Blue Reef(JPN)                                              0                   00210311200063ボールドアンドエイブル　　　　　　　12204086ナスノアオバ　　　　　　　　　　　　11200430ボールドラツド　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11100805アイアンリージ　　　　　　　　　　　12105309ナスノホシ　　　　　　　　　　　　　11300247Bold Ruler                          00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11301123Bull Lea                            00000000　　　　　　　　　　　　　　　　　　11300362Faux Tirage                         12102587ロゼツタ　　　　　　　　　　　　　　100119稲葉隆一　　　　　　　　　　000198グリーンファーム　　　　　　　　　　　　　　　　　　　　　　　　　　　栃木県　　　　　　　051800那須野牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219801001651198212241984072019800602ミスナスノ　　　　　　　　　　　　　ﾐｽﾅｽﾉ                               Miss Nasuno(JPN)                                            0                   00210411200155モデルフール　　　　　　　　　　　　12209961ミナレツト　　　　　　　　　　　　　11300670Tom Fool                            00000000　　　　　　　　　　　　　　　　　　11101017レイバーン　　　　　　　　　　　　　12200003イナシユウホウ　　　　　　　　　　　11301197Menow                               12401125Gaga                                00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300251Botticelli                          00000000　　　　　　　　　　　　　　　　　　11100609キノー　　　　　　　　　　　　　　　12102533グリーンウオーター　　　　　　　　　100319森末之助　　　　　　　　　　000198グリーンファーム　　　　　　　　　　　　　　　　　　　　　　　　　　　栃木県　　　　　　　051800那須野牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　000008300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219801001731198303241983040619800330シャインレデイ　　　　　　　　　　　ｼｬｲﾝﾚﾃﾞｲ                            Shine Lady(JPN)                                             0                   04210111200335レイズアボーイ　　　　　　　　　　　12206810カネノテンラン　　　　　　　　　　　11300169Raise a Native                      00000000　　　　　　　　　　　　　　　　　　11100507ガーサント　　　　　　　　　　　　　12107318メレデイス　　　　　　　　　　　　　11300494Native Dancer                       12402372Raise You                           00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11301115Bubbles                             00000000　　　　　　　　　　　　　　　　　　11100263ヒンドスタン　　　　　　　　　　　　12100867ミスメイヂ　　　　　　　　　　　　　100257中野隆良　　　　　　　　　　300126社台フアーム　　　　　　　　　　　　　　　　　　　　　　　　　　　　　千歳市　　　　　　　582004皆川　岩三　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
