,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,,,,,,,,,,,,,,,,,,
íÜéR,,,,,,,,,,,,,,,,,,
RX06132301,44.4,47,47.6,52.1,54.2,49.2,47.1,51.9,41.9,49.5,43.3,53.8,54.3,57.1,47.7,58.8, , 
RX06132302,57.1,50.6,49.8,46.4,55.1,52.7,47.4,44.9,50.9,51,50.4,43.8,52.8,47.7,51,48.3, , 
RX06132303,42.9,44.7,52.8,52.5,51.6,59.5,44.9,44.2,47.9,66,46.4,50.5,53,51.6,44.8,46.6, , 
RX06132306,48.1,49.3,59.5,52.7,50.2,44.3,57.8,44.5,44.9,52.3,53.5,42.3,51.4,41.4,56.8,51.1, , 
RX06132307,52.2,50.7,53.7,47.3,51.6,50.8,46.9,50.4,46.5,52.5,53.4,44.1, , , , , , 
RX06132309,46.2,50,50.9,55.2,47.1,51.8,48.5,48.4,52.4,50.8,49.1,49.7, , , , , , 
RX06132310,45.5,53.5,41.9,47.2,47.6,48.7,46.7,56.3,59.6,51.3,51.6, , , , , , , 
RX06132311,50.4,48.5,50.5,50.9,47.2,45.7,47.9,60.8,49.2,38.5,49.5,48.4,48.4,54.7,56.6,52.7, , 
RX06132312,48.3,54.7,50.8,39.9,53.4,45.6,53,51.4,50.5,43.8,48.7,55.7,53,54.3,42.3,54.3, , 
ç„ê_, , , , , , , , , , , , , , , , , , 
RX09131301,42.9,36.5,53.7,49.7,47.4,50.7,54.5,55.4,57.5,54.9,52.5,45.4,50.6,51.7,46.1,50.6, , 
RX09131302,52.4,51.1,49.8,59.9,47.7,49.6,43.5,54,46.5,46.7,49,53.4,46.4, , , , , 
RX09131303,58.9,42.1,44.9,42,46.8,48.4,53.8,51.8,46.7,55,56.2,51.4,54.3,47.3,55.3,45.1, , 
RX09131306,52.1,36.4,45.9,42.5,53.4,53.4,54.7,40.4,49.8,48.4,57.8,49,59.4,50.9,55.5,50.4, , 
RX09131307,53.5,46.9,49.8,51.8,54.9,47.7,51.9,46.1,47.4, , , , , , , , , 
RX09131308,53.1,52.6,45.8,56.6,45,47, , , , , , , , , , , , 
RX09131309,52.3,45.7,54,49.4,54.9,54.9,52.8,52.1,57.2,40.2,42.2,46.2,44.9,54.3,50.2,48.8, , 
RX09131310,49.1,46.1,54.9,53.2,51.3,42.3,50,52.7,42.9,54.9,50.2,49.8,52.2,49.4,51.5,49.5, , 
RX09131311,48.4,46.9,45.3,57,49.2,55.8,45.9,48.7,47.3,52.8,43.1,47.8,46.8,56,58.9, , , 
RX09131312,50.6,52.8,51.1,54.4,57.1,54.2,40.3,45.9,44.7,51.7,47.1, , , , , , , 
è¨ëq,,,,,,,,,,,,,,,,,,
RX10131701,51.8,51.7,57.1,47.1,47.8,45.2,42.6,40.8,49.3,51.7,46.3,58.5,52.1,58.1, , , , 
RX10131702,55,41.4,42.7,48.2,50.4,52.7,52.5,52.9,52.1,52.7,55.1,49.9,41.4,49.1,51.3,52.6, , 
RX10131703,34,61.1,46.5,43.3,51.3,45.7,57.8,69.1,45.6,48.9,63.4,45,46.5,66.8,37.9,40.2,43.4,53.5
RX10131704,56.2,56.5,58.9,45.1,52.3,59.5,46.4,57.1,33.9,49.2,30.9,62.6,57.5,46.5,57.9,39.2,56.9,33.3
RX10131705,43.6,57.1,55.7,62.7,55.5,55.4,47.5,52.7,33.5,57.7,42.3,37.4,42.1,37.3,71.2,46.5,43.7,58.2
RX10131707,48.1,52.1,48,51.4,49.4,53.5,50.4,50.1,49,43.7,51.2,50.2,51.5,51.4, , , , 
RX10131708,48.6,40,52.8,49.6,47.2,57.4,62.4,47.9,47.5,51.4,47.2,47.1,47.7,47,55.4,51.1, , 
RX10131709,54.9,39.5,46.9,50.1,44.5,46,50.1,51,55.6,53.2,46.4,57.6,55,52.4,48.8,47.8, , 
RX10131710,53.4,59.4,45.5,49.8,53.4,52.3,47.4,46.6,48,44.7,49.1,45.4,56.2,50.6,48.4, , , 
RX10131712,50.1,72.4,47.4,72.8,47.2,44.3,42.1,49.4,45.7,36.6,46.9,36.4,47.2,49.5,46.3,50.8,62.1,52.8
