,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,,,,,,,,,,,,,,,,,,
êVäÉ,,,,,,,,,,,,,,,,,,
RX04115701,61.2,51.6,49.2,41.9,49.8,50.7,47.9,44.4,53.7,48.6,44,51.4,51,53.7,50.9, , , 
RX04115702,52.1,50.7,55.5,51.3,48.4,50,43.4,53.4,47.7,47.5, , , , , , , , 
RX04115703,48.5,53.4,48.4,49.7,53.2,46.3,49.3,54.4,46.8, , , , , , , , , 
RX04115704,48.8,54,55.5,49.7,43.7,47.5,45.9,56.3,51.9,52,44.6,54.1,46.1, , , , , 
RX04115706,44,54,52.9,52.2,52.4,46.2,46.1,53.2,49.2,49.9, , , , , , , , 
RX04115707,55.6,46.2,54.1,49.1,45.9,50.3,55.6,43.2, , , , , , , , , , 
RX04115709,46.5,50.2,51.2,48.1,47.4,45.8,54.8,37.9,43.3,51,45.8,55.7,53.9,52.9,59.1,49.3,57.1, 
RX04115710,50.7,46.4,50.2,53.9,51.9,46,50.4,49.8,50.6, , , , , , , , , 
RX04115712,47.4,48.2,50.9,43.2,48.1,45.1,48.9,56.1,52,59.5,49.1,45,51.3,54.9,50.2, , , 
ìåãû, , , , , , , , , , , , , , , , , , 
RX05115101,45.5,47.1,50.1,41.6,56.4,42.8,53.9,61.5,54.1,40.4,53.6,49.1,50.9,50.8,53.3,49, , 
RX05115102,43.3,45.8,51,41.3,51.6,57,57,53.2,52.9,51,56.5,47.4,,46.5, , , , 
RX05115103,54.5,44.3,45,52,50.7,48.3,48.7,48.8,49.7,46.1,53.3,58.8, , , , , , 
RX05115105,54.1,54.3,38.4,39.3,52.2,55.3,61.1,48.7,44.9,52.3,37.6,29.4,41.6,60.4,66.6,50.4,49.6,63.9
RX05115106,49.1,49.8,61.4,45.7,47,55.9,43.1,44.3,51.9,48.8,52.3,49.5,51.8,49.5, , , , 
RX05115107,46.5,45.8,50.4,55.7,46.7,45.1,53.2,56.7, , , , , , , , , , 
RX05115108,53.7,47.2,52.5,48.3,47.9,47.6,52.8,57.9,48,48.9,49.5,45.6, , , , , , 
RX05115109,46.1,48.6,50,48.7,58.8,51.7,44,52,50, , , , , , , , , 
RX05115110,48.1,56.5,60.7,49.3,47.6,46.5,42.6,50.3,52.4,54.6,54.8,52,46.6,49.2,40.2,48.6, , 
RX05115111,49.2,50.9,52,50.8,49.3,49.9,53,46.8,50.6,49.4,45.8,50,52.2, , , , , 
RX05115112,56.4,50.9,47.2,58.4,46.5,40.1,48.7,52.9,47.4,45.9,56,54.5,44.9,50.3, , , , 
ãûìs,,,,,,,,,,,,,,,,,,
RX08116101,50.3,49.7,46.6,50.4,49.3,47.6,52.2,52.9,55.3,51.3,47.1,51,46.5, , , , , 
RX08116102,41.5,50.5,52.7,47.5,43,52.4,45.3,48.6,51.3,53.5,54.1,53.1,49.8,56.7, , , , 
RX08116103,46.3,53.8,58.8,49.2,54,42.2,45.4,55.6,40.7,53.2,48.2,46.7,59.6,44.7,51.5, , , 
RX08116104,52.5,47.1,51.6,60.9,44.1,48.4,45.3,56.3,56.9,54.1,43.4,39.8,50.4,54.5,42.1,52.6, , 
RX08116105,46.5,41.2,43.6,46.2,52.5,43.8,34,48.8,69.9,57.9,40.9,50.2,66.2,46.9,62.1,38.2,62.3,48.9
RX08116106,49.1,51.8,51.4,45.6,48.8,53,50.4, , , , , , , , , , , 
RX08116107,51.5,53.5,46.2,53.9,55.6,46.1,47.9,53.2,46.1,47.8,48.3, , , , , , , 
RX08116108,53.2,45,53.8,50.2,49.3,46.7,49.1,47.2,50,53.7,51.8, , , , , , , 
RX08116109,50.7,45.7,52.1,44.8,57.5,55.9,52.7,46.7,47.6,53.5,49.5,49.3,46.3,51.7,45.9, , , 
RX08116110,51.2,44.2,46.4,57.6,54.3,52.4,53.1,43.5,46.3,44.8,40,45.7,54.2,61.2,57.6,47.7, , 
RX08116111,48.4,45.1,55.7,41.4,51.3,39.3,46,47,52.3,46,63.9,46.3,53.7,51.9,53.6,55.8,52.2, 
RX08116112,53.7,47.7,50.5,47.7,53,41.7,52.4,49.4,50.5,43.4,56.2,45.1,52.7,54.1,57.1,44.9, , 
