,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,,,,,,,,,,,,,,,,,,
’†ŽR,,,,,,,,,,,,,,,,,,
RX06151801,43.9,41.9,56.5,47.4,45.4,52.9,51.6,49.3,54.1,55.1,49.9,48.5,48.3,59.5,47.8,47.9, , 
RX06151802,52.1,52.3,50.6,46.5,50.9,44,42.9,55.7,60.1,43.7,51.3,43.9,43.2,52.4,52.4,58, , 
RX06151803,51.1,44,48.3,52.4,38.6,56.7,63.6,54.4,59.3,44.9,46.9,47.8,50.6,46.4,49.7,45.5, , 
RX06151804,55.3,51.4,50.9,44.2,43.6,44.9,58.5,44.8,50.8,53.5,50.9,43.3,54.7,52.4,54.9,45.9, , 
RX06151805,53.5,47.8,54.1,54.1,51.5,48.3,53.2,45,52,53.9,50.9,45.3,57.2,46.9,46.6,39.7, , 
RX06151806,44.8,45.1,49.5,40.7,54.4,52.2,45.7,56.9,58.7,46,47.1,51.8,50.9,56.1,55.6,44.5, , 
RX06151807,52,57.5,46.8,45.7,43.5,51.4,39.1,56.1,54.9,49.8,45.4,52.2,50.7,55,45.8,54.1, , 
RX06151808,51.1,50.1,47.4,46.3,52.6,47.5,52.1,53,51.1,50.6,48.2, , , , , , , 
RX06151809,49.6,44,49.7,48.6,56.4,55.9,49.9,47.2,50.8,51.5,46.5, , , , , , , 
RX06151810,38.1,51.8,53.2,47.4,50,56.9,44.8,59,44,50.6,54.6,48.9,47.4,47.3,51.9,54, , 
RX06151811,42,42.8,56.7,57.7,56.4,44.8,50.7,46.3,50.8,42.5,46.8,49.8,60.3,50.2,54.1,48.2, , 
RX06151812,52.5,47.4,53.1,51.3,43.7,48,51.6,50,48.6,47,55.1,51.7, , , , , , 
’†‹ž, , , , , , , , , , , , , , , , , , 
RX07151301,46.3,49.2,43.2,51.3,47.6,51.6,44.4,53.8,52.3,70.1,47.4,47.5,46.6,49.2,54.3,45.2, , 
RX07151302,49.1,55.8,46.7,48.7,42,56.3,55.2,47.1,50.7,44.6,54.4,49.3,53.2,50.7,56.2,39.9, , 
RX07151303,55.6,54.7,58.1,53.9,46.7,47.1,55.2,49.3,50.8,45,45.8,38.5,52.7,53.4,44.7,48.6, , 
, , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , 
RX07151306,62.4,55.6,48.4,49.4,36.5,28.5,43.3,44.5,48.5,56.2,55.3,56.5,58.6,41.1,38.5,60.6,66.9,49.2
RX07151307,44.9,51,51.6,49.6,50,49.3,49,54.9,54.3,45.3, , , , , , , , 
RX07151308,51.5,45.5,45,54.4,47.3,54.2,57,47.8,42.3,39.8,55.2,54.4,55.6, , , , , 
RX07151309,54.2,52.6,49.7,52,53.1,53,40.4,53.5,46,50,50.6,46.7,52.3,46, , , , 
RX07151310,57,48.6,50.8,56.9,51.4,50.6,46.1,53.2,47.9,44,47.5,52.5,48.3,45.2, , , , 
RX07151311,52.5,45.9,51.4,52.8,52.8,59.3,48.4,44,52.7,46.2,41.2,60.5,46.8,48.2,47.3, , , 
, , , , , , , , , , , , , , , , , , 
‹ž“s,,,,,,,,,,,,,,,,,,
RX08151801,43.4,44.4,55.8,55.7,48,45.9,48.9,48.1,54.5,47.6,50.6,53,55.2,51,47.8, , , 
RX08151802,55,47.1,48.7,52.9,43.4,60.9,47.8,46.3,46.6,39.9,53.6,60.8,52,48,47.5,49.5, , 
RX08151803,51.3,56,50.2,48.5,46.6,44.2,49.7,53.4,50, , , , , , , , , 
RX08151804,48,60,48.8,44.4,50.7,53.1,43,47.7,48.7,46.8,50.2,52.4,44.9,59.5,51.1,50.5, , 
RX08151805,46.1,59.8,47.4,47.3,55,51.7,45.4,52.4,43.1,48.2,48.3,53.1,40.6,60.1,45.1,56.5, , 
RX08151806,43.2,48.7,46.7,53.5,47.9,54,45.5,53.4,45.9,38.4,59.2,53.7,55.5,48.5,56.7,49.2, , 
, , , , , , , , , , , , , , , , , , 
RX08151808,51.3,52.1,44.8,41.8,54.9,50,50.6,49,42.6,51.2,54.8,53.7,47.1,56.2, , , , 
RX08151809,45.1,43.3,45.5,53.9,50.3,46.8,53.2,49,56,48.5,55.5,65.4,41.5,46, , , , 
RX08151810,50.6,49.1,46.3,52.8,52.3,48.6,47.7,52.5, , , , , , , , , , 
RX08151811,43.4,50,41.2,66.6,52.6,41.1,32.4,58.7,42.2,67.8,42.5,51.8,52.7,65.3,52.4,42.9,41.5,55
RX08151812,56.4,41.4,46.3,48.2,44.3,52.7,52.2,44.5,50.7,52.1,48.1,59,53.9,47,51.4,51.9, , 
