,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,,,,,,,,,,,,,,,,,,
éDñy,,,,,,,,,,,,,,,,,,
RX01151501,49.9,48.4,49.1,50.1,56,47.5,49.8,52,49.9,47.4,52.6,50.5,46.9, , , , , 
RX01151502,49.5,55.5,51,50.1,50.1,48.6,49.1,46.7,50.2,47.5,57.3,47.7,53.3,43.6, , , , 
RX01151503,53,46.6,51.5,52.6,50.8,51.3,51.9,54.2,44.5,47.9,51.5,44.3, , , , , , 
RX01151504,51.1,53.5,45.5,51.2,51,50.5,46.6,48.9,49.7,48,52.7,52.2,49.2, , , , , 
, , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , 
RX01151507,49.4,52.8,48.6,53.4,48.2,50.3,51.9,48,45.5,55.6,45.4,47.9,53, , , , , 
RX01151508,54.4,55,42.7,46.5,51,50.8,58,51.6,53,47.3,46.9,45.5,44.5,50.9,47.9,53.9, , 
RX01151509,45.3,50.4,51.4,52,48.5,51.5,54.8,55.9,51.9,42.7,46.9,47.4,51.3, , , , , 
RX01151510,51.1,55,51.2,45.1,49.5,47.9,49.7,55.2,51.1,46.9,45.3,50.8,51.2, , , , , 
, , , , , , , , , , , , , , , , , , 
RX01151512,50.8,51.7,49.8,46.1,48.2,59.9,48.6,48.1,48.9,57.6,50.6,41.7,48, , , , , 
êVäÉ, , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , 
RX04152502,55.6,48.1,46.8,49.9,55.8,50.4,44.7,46.1,51.1,51.5, , , , , , , , 
RX04152503,47.2,46.2,53.3,47.9,49.2,51.1,54.6,49.8,53.6,55.7,53.1,48,40.3,49.8,50.2, , , 
, , , , , , , , , , , , , , , , , , 
RX04152505,47.3,59.1,45.9,58,44.7,56,45.9,45.7,45.7,56.2,47.3,46.9,51.3, , , , , 
RX04152506,54.6,58.2,53.1,42.7,53.6,47.7,43.4,45.5,54.7,50.7,48.6,47.8,45.2,55.7,48.4, , , 
RX04152507,45.7,51.4,43.3,61.4,42,36.9,55.3,36.3,65.6,51.2,52.6,32.8,66,47.9,40.7,54.5,57.7,58.8
RX04152508,44,44.9,45.3,47.3,53.5,45.5,55.5,44.2,49.8,56.6,50.1,54.8,60.3,50.2,48.1, , , 
, , , , , , , , , , , , , , , , , , 
RX04152510,54.3,48.5,50.7,49.8,38.7,45.4,43,64.7,43.1,58.5,54.8,48.7,60.5,45.1,45,55.4,43.7, 
RX04152511,48.9,46.3,37.8,56.9,37.9,60.5,52.8,43,47.3,52.3,54,36.7,77.8,55.3,49.6,49.6,55.2,38
RX04152512,44.8,50.2,48.6,55.8,48.5,59.7,47,41.1,44.5,48.6,55.5,53.9,48,49.5,54.5, , , 
è¨ëq,,,,,,,,,,,,,,,,,,
RX10152501,60.3,48.1,47.9,46.2,48.8,50.3,46,50.4,48.4,44.8,48.2,57.7,52.8, , , , , 
RX10152502,50,47.3,49.4,48.9,44.8,46.5,53,57.1,53, , , , , , , , , 
RX10152503,49.6,61.7,48.7,36.6,55.5,52.1,51.4,52,41.9,50.7,55.5,47.3,55.4,44.2,44.1,53.3, , 
RX10152504,63.4,54.1,40.7,40.4,65.6,29.4,37.3,60.4,44.5,50,49.3,58.4,48.2,63.9,51.2,41.2,52.8,49.3
RX10152505,48.4,50.3,45.4,56,53.2,45.5,51.3, , , , , , , , , , , 
RX10152506,56.4,43.9,40.4,44.4,44.5,58.2,51.3,69.6,37.1,70.9,43.1,43.3,44.4,61.5,43.6,40.6,54.6,52.2
RX10152507,49.5,50.8,41.7,59.6,51.6,50.5,48.3,54.9,52.2,39.5,53.1,48.8,58.7,42.2,52.9,45.7, , 
RX10152508,50.3,56.2,47,49.9,51,48.8,50.1,47.2,52.4,52.3,39.6,50.6,48.6,56.2, , , , 
RX10152509,44.6,49.5,55.1,50,50.8,50.4,49.6, , , , , , , , , , , 
RX10152510,47.2,53.5,43,43.7,56.3,51.6,58.9,53.8,51,46.7,49.8,42.6,51.6,51.3,48.8, , , 
RX10152511,50.8,45.1,50.6,47.3,50.3,56.1,51.2,50.6,47,50.5,45,55.2, , , , , , 
RX10152512,47,49.6,54.6,58.8,51.6,50,47.1,48,47.8,45.3, , , , , , , , 
