,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,,,,,,,,,,,,,,,,,,
íÜéR,,,,,,,,,,,,,,,,,,
RX06122101,52,60.1,55.5,48.9,48.1,50.2,48.7,45.2,46.8,51.7,46.6,45.4,52.4,43.1,49.5,55.9, , 
RX06122102,43.9,57.8,39.7,47.3,53.4,45.2,46.7,60.9,51.3,56.8,44.4,47.4,51.1,47.8,47.2,59, , 
RX06122103,39.5,47.2,46.4,50.4,63.3,42.6,53.9,45.7,54.5,46.7,52.1,51.4,58.8,44.2,48.2,55.3, , 
RX06122105,54.5,57.7,52.3,46,49.7,39.3,48.5,55.4,60.6,41.1,48.6,44.4,50,56,48.7,47.2, , 
RX06122106,54.3,42.4,47.4,45.2,52.1,57,44.3,52.9,48.4,50.6,49.5,56, , , , , , 
RX06122107,49.2,51.2,59.5,46.4,59.8,47.7,52.4,57.1,43.3,45.6,46.3,47.7,51.5,41.2,54.1,47, , 
RX06122108,48.6,50.8,53.9,49.6,52.4,44.7,44.6,54.8,56.5,48.5,45.7,56.2,50.1,43.5, , , , 
RX06122110,48.8,49.8,61.4,48.1,41.2,57.3,49.7,61.1,45.8,47.7,51.2,60,46.5,38.1,42.3,50.8, , 
RX06122111,49.3,53.6,46.3,49.6,49.6,45.2,53,52.1,48.1,52.8,51.4,50.5,48.4, , , , , 
RX06122112,49.8,47.3,45,40.8,52.1,50.6,59.9,60.6,47.6,48,40,48.3,56.9,52,53.8,47.2, , 
ç„ê_, , , , , , , , , , , , , , , , , , 
RX09121101,44.8,50.4,48,54.7,47.1,52,48.4,56.2,52.6,42.8,41.7,59.7,54.4,41.9,47.2,58, , 
RX09121102,44.4,51.4,54.2,54.1,45.8,43.9,50.3,49,57.5,50.7,53.6,52.4,47,50.4,45.2, , , 
RX09121103,53.2,46,56.1,49.4,57.2,48.7,48.6,47.2,41,46.7,39.5,44.6,56.9,53.2,56.3,55.5, , 
RX09121105,53,45.9,51.6,44.3,52.4,53.1,50.4,49.3,47.2,53.3,43.8,52.4,59.2,44.2,49.8, , , 
RX09121106,47.9,54.7,52.8,60.1,52.5,56.8,46.3,53.9,43.2,54.9,50.5,50.9,49,43.8,47.2,35.5, , 
RX09121107,50.5,45.8,55.5,45.8,50.5,50.6,47.9,54.7,51,49.4,48.3, , , , , , , 
RX09121108,58,57.8,41.4,46.6,45.9,53.7,45.4,46.2,51.7,41.7,55.4,61.7,52,52.1,51.8,38.5, , 
RX09121109,51.9,48.1,50.4,54.2,54.3,53.8,43.5,49.7,53.4,48.9,49.1,48.1,44.5, , , , , 
RX09121111,42.8,57,49.7,48.4,47.9,55.3,52.6,51.2,54.9,45.7,46.7,45.8,51.8, , , , , 
RX09121112,42.3,55.4,49.4,48.2,57.2,48,52.4,46,52.8,53.3,45.1,46.8,56.4,46,44.7,55.9, , 
