RX06164501,47.7 ,47.0 ,48.9 ,46.5 ,54.9 ,49.9 ,41.2 ,53.5 ,56.6 ,48.1 ,62.1 ,49.8 ,53.8 ,44.1 ,47.0 ,48.9 ,
RX06164502,49.5 ,53.1 ,44.6 ,47.9 ,49.0 ,44.8 ,51.0 ,51.3 ,47.4 ,53.0 ,51.4 ,45.2 ,49.7 ,58.1 ,47.3 ,56.8 ,
RX06164503,54.2 ,53.6 ,49.4 ,57.5 ,47.5 ,51.0 ,52.9 ,40.9 ,51.6 ,48.9 ,47.1 ,48.3 ,48.0 ,49.2 ,,,
RX06164504,45.6 ,53.2 ,46.8 ,45.2 ,48.5 ,50.8 ,53.0 ,51.7 ,60.0 ,46.1 ,50.6 ,54.5 ,44.5 ,51.9 ,52.7 ,44.8 ,
RX06164505,50.5 ,46.0 ,49.4 ,45.4 ,47.6 ,54.7 ,49.3 ,49.0 ,48.1 ,51.0 ,53.8 ,55.0 ,53.3 ,47.9 ,49.3 ,49.9 ,
RX06164506,54.5 ,50.3 ,43.2 ,50.9 ,45.7 ,59.3 ,49.1 ,55.0 ,49.7 ,40.0 ,48.6 ,51.2 ,54.9 ,47.3 ,53.8 ,46.5 ,
RX06164507,43.0 ,49.1 ,51.1 ,59.8 ,48.0 ,54.0 ,42.3 ,44.4 ,49.4 ,51.1 ,53.0 ,48.5 ,58.0 ,45.0 ,49.0 ,54.4 ,
RX06164510,46.8 ,48.2 ,51.4 ,47.5 ,57.3 ,48.6 ,56.0 ,42.0 ,55.2 ,52.3 ,49.5 ,48.3 ,47.5 ,47.3 ,50.4 ,51.8 ,
RX06164511,58.2 ,56.7 ,52.4 ,44.3 ,49.3 ,48.6 ,56.0 ,43.5 ,45.0 ,41.6 ,43.3 ,60.2 ,43.3 ,43.9 ,59.3 ,54.3 ,
RX06164512,42.9 ,54.0 ,46.1 ,47.7 ,48.2 ,47.7 ,48.0 ,55.6 ,50.4 ,43.8 ,57.2 ,44.0 ,56.5 ,65.4 ,48.4 ,47.4 ,46.6 
RX09164501,42.8 ,48.2 ,53.1 ,39.9 ,49.5 ,39.0 ,52.2 ,57.5 ,46.4 ,61.8 ,53.4 ,50.3 ,59.2 ,46.0 ,53.3 ,47.5 ,
RX09164502,47.3 ,43.8 ,51.0 ,52.8 ,44.4 ,47.5 ,61.7 ,51.1 ,50.9 ,49.6 ,46.2 ,50.5 ,52.3 ,56.5 ,44.5 ,,
RX09164503,44.7 ,50.9 ,54.8 ,51.6 ,54.1 ,48.3 ,56.9 ,50.4 ,49.7 ,41.0 ,52.9 ,45.5 ,48.4 ,50.8 ,52.7 ,47.2 ,
RX09164504,48.3 ,45.2 ,51.0 ,46.9 ,55.3 ,48.5 ,53.3 ,54.4 ,42.6 ,48.3 ,48.6 ,50.4 ,52.1 ,53.9 ,52.7 ,48.6 ,
RX09164505,60.1 ,50.5 ,56.9 ,49.1 ,45.5 ,53.2 ,54.7 ,51.6 ,47.1 ,44.4 ,50.1 ,45.5 ,46.8 ,46.2 ,48.3 ,,
RX09164506,47.6 ,50.1 ,50.9 ,53.2 ,48.5 ,48.3 ,51.3 ,49.1 ,49.7 ,47.9 ,53.4 ,,,,,,
RX09164508,53.3 ,41.3 ,49.2 ,63.0 ,45.4 ,49.2 ,52.5 ,47.1 ,53.8 ,50.2 ,51.4 ,44.3 ,58.1 ,48.9 ,43.4 ,49.0 ,
RX09164509,42.2 ,45.5 ,51.5 ,45.8 ,49.6 ,57.2 ,51.2 ,58.2 ,48.7 ,,,,,,,,
RX09164510,41.2 ,55.1 ,53.5 ,54.3 ,51.7 ,49.3 ,54.4 ,47.2 ,49.4 ,46.9 ,46.0 ,51.1 ,,,,,
RX09164511,44.3 ,49.4 ,51.0 ,50.6 ,60.2 ,50.2 ,54.8 ,49.9 ,52.2 ,43.0 ,51.2 ,48.2 ,44.4 ,50.5 ,,,
RX09164512,59.8 ,55.8 ,55.0 ,49.3 ,43.8 ,50.5 ,47.0 ,48.3 ,51.0 ,48.3 ,42.4 ,57.1 ,48.5 ,43.1 ,55.5 ,44.5 ,
