RX03162201,41.7 ,49.5 ,54.4 ,57.5 ,51.2 ,44.2 ,44.9 ,51.6 ,58.2 ,49.8 ,41.1 ,56.0 ,49.4 ,51.1 ,49.6 ,,,
RX03162202,46.6 ,53.4 ,38.1 ,45.7 ,54.2 ,51.0 ,46.0 ,48.9 ,51.1 ,52.5 ,52.9 ,50.0 ,54.5 ,54.8 ,48.3 ,51.9 ,,
RX03162203,47.1 ,50.8 ,56.7 ,46.0 ,46.8 ,48.3 ,46.0 ,45.5 ,45.9 ,57.1 ,51.0 ,54.3 ,55.5 ,45.9 ,53.0 ,,,
RX03162205,46.4 ,57.5 ,52.1 ,50.5 ,57.5 ,44.4 ,48.2 ,51.2 ,48.9 ,56.8 ,47.9 ,50.4 ,39.5 ,47.9 ,50.9 ,,,
RX03162206,51.0 ,46.9 ,51.1 ,53.5 ,53.4 ,53.3 ,43.6 ,53.8 ,53.6 ,49.2 ,48.9 ,44.9 ,46.8 ,,,,,
RX03162207,48.2 ,58.3 ,51.6 ,44.4 ,56.9 ,46.9 ,58.7 ,50.1 ,50.7 ,40.5 ,44.1 ,58.9 ,51.0 ,50.3 ,49.7 ,39.7 ,,
RX03162208,53.0 ,46.7 ,44.4 ,55.4 ,44.0 ,48.1 ,46.9 ,54.2 ,56.2 ,51.2 ,53.4 ,44.0 ,48.1 ,54.2 ,,,,
RX03162209,48.1 ,52.1 ,49.7 ,55.4 ,42.4 ,54.5 ,54.0 ,53.7 ,49.1 ,49.8 ,41.5 ,48.6 ,46.8 ,48.1 ,51.9 ,54.4 ,,
RX03162210,49.3 ,54.8 ,53.3 ,47.2 ,51.6 ,48.5 ,48.4 ,48.8 ,48.6 ,46.3 ,53.3 ,,,,,,,
RX03162211,54.8 ,54.6 ,47.9 ,49.4 ,50.5 ,43.0 ,55.3 ,49.8 ,49.9 ,47.2 ,49.2 ,57.0 ,53.7 ,41.7 ,45.2 ,51.0 ,,
RX03162212,48.9 ,50.4 ,41.6 ,51.8 ,48.7 ,60.4 ,49.4 ,52.2 ,46.5 ,41.2 ,54.4 ,48.0 ,45.9 ,50.5 ,52.1 ,57.9 ,,
RX07163201,50.1 ,48.1 ,49.5 ,50.5 ,51.7 ,53.4 ,50.4 ,47.4 ,48.8 ,,,,,,,,,
RX07163202,53.2 ,40.0 ,54.5 ,47.1 ,40.8 ,45.2 ,50.2 ,52.5 ,63.0 ,52.6 ,51.4 ,53.2 ,47.2 ,46.5 ,52.6 ,49.9 ,,
RX07163203,35.7 ,61.5 ,55.8 ,50.9 ,37.4 ,59.3 ,35.5 ,65.2 ,62.0 ,48.5 ,60.8 ,39.2 ,55.6 ,56.7 ,38.3 ,44.6 ,47.7 ,45.4 
RX07163204,54.0 ,48.1 ,47.0 ,48.9 ,50.1 ,45.5 ,48.4 ,45.3 ,46.7 ,46.7 ,55.3 ,59.1 ,45.3 ,57.3 ,51.3 ,51.0 ,,
RX07163205,47.6 ,50.7 ,57.9 ,47.0 ,50.0 ,55.3 ,48.5 ,51.1 ,47.6 ,47.2 ,47.4 ,49.0 ,50.7 ,,,,,
RX07163206,46.7 ,54.8 ,49.2 ,53.7 ,49.3 ,47.8 ,51.0 ,45.0 ,49.1 ,59.8 ,47.5 ,46.1 ,,,,,,
RX07163208,55.1 ,50.0 ,48.9 ,48.8 ,46.2 ,49.0 ,54.4 ,46.5 ,53.3 ,53.8 ,47.4 ,46.6 ,,,,,,
RX07163209,47.5 ,45.8 ,50.4 ,46.5 ,52.0 ,51.3 ,53.0 ,51.9 ,48.9 ,52.7 ,,,,,,,,
RX07163210,48.6 ,51.0 ,44.9 ,52.5 ,52.6 ,53.0 ,52.8 ,48.4 ,50.1 ,47.3 ,52.2 ,46.5 ,,,,,,
RX02161601,52.6 ,54.6 ,48.2 ,52.3 ,55.3 ,41.5 ,47.3 ,45.6 ,51.9 ,48.1 ,50.1 ,52.5 ,,,,,,
RX02161602,49.5 ,58.3 ,50.4 ,42.3 ,48.4 ,45.3 ,53.0 ,48.3 ,51.2 ,45.7 ,53.8 ,55.4 ,56.7 ,45.2 ,48.6 ,47.6 ,,
RX02161603,51.9 ,50.0 ,53.2 ,49.2 ,45.9 ,47.7 ,46.3 ,50.9 ,53.5 ,54.1 ,54.7 ,44.2 ,48.5 ,,,,,
RX02161604,58.3 ,48.0 ,47.4 ,53.8 ,56.4 ,59.5 ,43.1 ,50.2 ,48.9 ,45.5 ,44.1 ,50.5 ,44.7 ,50.0 ,49.7 ,,,
