順位,種牡馬,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
249,"Valiant Nature", 0- 0- 0- 1/ 1,0.0%,0.0%,0.0%,0,0,0.0,4.0着,4.0人気,7.6,,,0,0.0%,0.0%,0.0%,71.90,11.98,60.08
250,Funambule, 0- 0- 0- 1/ 1,0.0%,0.0%,0.0%,0,0,0.0,4.0着,14.0人気,77.4,,,0,0.0%,0.0%,0.0%,70.20,11.70,61.54
251,Frankel, 0- 0- 0- 1/ 1,0.0%,0.0%,0.0%,0,0,0.0,4.0着,5.0人気,12.1,,,0,0.0%,0.0%,0.0%,70.70,11.78,61.10
252,"Encosta De Lago", 0- 0- 0- 1/ 1,0.0%,0.0%,0.0%,0,0,0.0,4.0着,5.0人気,8.3,,,0,0.0%,0.0%,0.0%,70.10,11.68,61.63
253,バゴ, 0- 0- 0- 6/ 6,0.0%,0.0%,0.0%,0,0,0.0,8.2着,7.5人気,36.5,,,0,0.0%,0.0%,0.0%,71.35,11.89,60.55
254,マーベラスサンデー, 0- 0- 0- 4/ 4,0.0%,0.0%,0.0%,0,0,0.0,6.8着,9.3人気,66.6,,,0,0.0%,0.0%,0.0%,72.78,12.13,59.36
255,キャロルハウス, 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,5.0着,6.0人気,20.9,,,0,0.0%,0.0%,0.0%,71.55,11.93,60.38
256,"Time for a Change", 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,5.0着,3.0人気,5.3,,,0,0.0%,0.0%,0.0%,73.10,12.18,59.10
257,マツリダゴッホ, 0- 0- 0- 8/ 8,0.0%,0.0%,0.0%,0,0,0.0,10.5着,8.1人気,32.7,,,0,0.0%,0.0%,0.0%,72.06,12.01,59.95
258,ゴールデンフェザント, 0- 0- 0- 6/ 6,0.0%,0.0%,0.0%,0,0,0.0,8.3着,8.7人気,57.4,,,0,0.0%,0.0%,0.0%,73.32,12.22,58.92
259,メジロマックイーン, 0- 0- 0- 5/ 5,0.0%,0.0%,0.0%,0,0,0.0,9.2着,10.8人気,83.6,,,0,0.0%,0.0%,0.0%,73.02,12.17,59.16
260,マークオブディスティンクション, 0- 0- 0- 5/ 5,0.0%,0.0%,0.0%,0,0,0.0,7.4着,8.6人気,87.5,,,0,0.0%,0.0%,0.0%,72.58,12.10,59.52
261,ヒシマサル, 0- 0- 0- 5/ 5,0.0%,0.0%,0.0%,0,0,0.0,8.8着,8.6人気,40.2,,,0,0.0%,0.0%,0.0%,73.40,12.23,58.86
262,ステイゴールド, 0- 0- 0- 5/ 5,0.0%,0.0%,0.0%,0,0,0.0,12.0着,10.4人気,86.3,,,0,0.0%,0.0%,0.0%,72.06,12.01,59.95
263,ミルジヨージ, 0- 0- 0- 4/ 4,0.0%,0.0%,0.0%,0,0,0.0,6.8着,9.3人気,50.0,,,0,0.0%,0.0%,0.0%,73.55,12.26,58.74
264,ジェネラス, 0- 0- 0- 4/ 4,0.0%,0.0%,0.0%,0,0,0.0,10.0着,10.5人気,92.0,,,0,0.0%,0.0%,0.0%,74.03,12.34,58.36
265,リズム, 0- 0- 0- 3/ 3,0.0%,0.0%,0.0%,0,0,0.0,6.3着,11.0人気,65.6,,,0,0.0%,0.0%,0.0%,71.73,11.96,60.22
266,ヘニーヒューズ, 0- 0- 0- 3/ 3,0.0%,0.0%,0.0%,0,0,0.0,11.0着,9.0人気,59.4,,,0,0.0%,0.0%,0.0%,72.70,12.12,59.42
