HR22008062720080120100102111818000000000000000000000000000000000000000000000000000000000000000000000001100000092005                          110000003500518000001770151300000091012                          6800000257014                          1118000034780078                                111800000837007811130000031200391318000013380102                                                                                                                1118000063090145                                                                                111318000203850368                                    1118130013025202230                                                                                               
HR22008012120080120100102121616000000000000000000000000000000000000000000000000000000000000000000000001100000027001                          110000001500105000000350071600000023004                          3600000097004                          0511000001820005                                051100000080000611160000005500040516000001780023                                                                                                                1105000002850008                                                                                051116000004730010                                    1105160000235800053                                                                                               
HR22008012820080126100103011413000000000000000000000000000000000000000000000000000000000000000000000000800000021001                          080000001100109000000290061200000013002                          5600000187008                          0809000002030008                                080900000056000708120000002000010912000000720010                                                                                                                0809000003020012                                                                                080912000001930005                                    000000                                                                                                            
HR22008012820080126100103021818000000000000000000000000000000000000000000000000000000000000000000000000700000013001                          070000001100115000000150020200000045008                          4700000025001                          0715000000380001                                071500000021000102070000006000070215000001480017                                                                                                                0715000000550001                                                                                020715000002490007                                    000000                                                                                                            
HR22008012820080126100103031515000000000000000000000000000000000000000000000000000000000000000000000001500000043002                          150000001700105000000180021400000038007                          3800000071001                          0515000000810001                                051500000037000114150000016700200514000001790024                                                                                                                1505000001740002                                                                                051415000007030014                                    000000                                                                                                            
HR22008012820080126100103041010000000000000000000000000000000000000000000000000000000000000000000000000800000091005                          080000002300510000000120010400000016003                          7800000042002                          0810000001150006                                081000000040000604080000005400090410000000250002                                                                                                                0810000002580012                                                                                040810000001420005                                    000000                                                                                                            
HR22008012820080126100103051414000000000000000000000000000000000000000000000000000000000000000000000000600000018001                          060000001100102000000320051300000015002                          2400000202008                          0206000001670007                                020600000062000706130000001800010213000001240016                                                                                                                0602000002050008                                                                                020613000002080006                                    000000                                                                                                            
HR22008012820080126100103061414000000000000000000000000000000000000000000000000000000000000000000000000100000324007                          010000005500710000000160010800000022005                          1600000406017                          0110000003930012                                011000000151001601080000019600240810000000660008                                                                                                                0110000011010033                                                                                010810000009050027                                    000000                                                                                                            
HR22008012820080126100103071212000000000000000000000000000000000000000000000000000000000000000000000000300000262006                          030000004500605000000110010900000031005                          3500000165005                          0305000001740005                                030500000063000603090000024900210509000000370003                                                                                                                0305000006840018                                                                                030509000004970015                                    000000                                                                                                            
HR22008012820080126100103081414000000000000000000000000000000000000000000000000000000000000000000000000200000048003                          020000002100204000000220040100000102009                          2300000063002                          0204000001120003                                020400000057000501020000030300320104000004010037                                                                                                                0204000002530008                                                                                010204000016440054                                    000000                                                                                                            
HR22008012820080126100103091615000000000000000000111110111000000000010000000000000000000000000000001001600000055003                          160000001800301000000170020300000022004                          1800000052001                          0116000001570003                                011600000072000603160000009600110103000000860009                                                                                                                1601000003050007                                                                                010316000004120008                                    1601030000242700058                                                                                               
HR22008012820080126100103101616000000000000000000000000000000000000000000000000000000000000000000000001400000183004                          140000006400504000002350121300000051004                          2700001111024                          0414000043500055                                041400000657004413140000025800240413000008370049                                                                                                                1404000088340115                                                                                041314000141150186                                    1404130011821601279                                                                                               
