UM42006061419851000381198705211988090719850401アヤミナト　　　　　　　　　　　　　ｱﾔﾐﾅﾄ                               Aya Minato(JPN)                                             0                   00210311200554ジヤツジヤー　　　　　　　　　　　　12221281カルセオラリア　　　　　　　　　　　11300791Damascus                            12403346Face the Facts                      11200017ロードリージ　　　　　　　　　　　　12107789アヤヒビキ　　　　　　　　　　　　　11300642Sword Dancer                        12401487Kerala                              11300296Court Martial                       12403082Vashti                              11300055Sir Gaylord                         12302534Attica                              11100534イーグル　　　　　　　　　　　　　　12103601ヒビキ　　　　　　　　　　　　　　　200237田之上勲　　　　　　　　　　500400吉永　清美　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　317001坂田　宗明　　　　　　　　　　　　　　　　　　　　　　　　　　　000064800000000000000000000000000000000020000000000000001000001001001008001000001001001008000000000000000000000000000000000004000000000000000000000000000000000000001000001000001003000000000001000001000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000001000000001000003000000001000000001000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000001000001001001004000000000000000000000000000000000000003007002000012
UM12004020219851000391198705211988050119850315キリンムスメ　　　　　　　　　　　　ｷﾘﾝﾑｽﾒ                              Kirin Musume(JPN)                                           0                   00210111200554ジヤツジヤー　　　　　　　　　　　　12216818フジミスキー　　　　　　　　　　　　11300791Damascus                            12403346Face the Facts                      11200007グツドリー　　　　　　　　　　　　　12107210ヨシフジ　　　　　　　　　　　　　　11300642Sword Dancer                        12401487Kerala                              11300296Court Martial                       12403082Vashti                              11400494Snob                                12400064Alizetta                            11100367マイナーズランプ　　　　　　　　　　12103272レンボクイン　　　　　　　　　　　　200237田之上勲　　　　　　　　　　500400吉永　清美　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　403005吉永　フヂ　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000002000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000002002
UM12004020219851000411198705281988030519850329ミリオンクイック　　　　　　　　　　ﾐﾘｵﾝｸｲｯｸ                            Million Quick(JPN)                                          0                   03210111200334ミリオンパラ　　　　　　　　　　　　12211953ハシデイオレラ　　　　　　　　　　　11100716バウンドレス　　　　　　　　　　　　12101528コンゴーセキ　　　　　　　　　　　　11200132ラム　　　　　　　　　　　　　　　　12201874スミカ　　　　　　　　　　　　　　　11300649Targui                              12404085Infinity                            11100058ヴイーノーピユロー　　　　　　　　　12100944シラオキ　　　　　　　　　　　　　　11300369Fleet Nasrullah                     12402891Teahouse                            11100706シンザン　　　　　　　　　　　　　　12106558マサゴ　　　　　　　　　　　　　　　200177斉藤義美　　　　　　　　　　200400吉永　等　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　511009吉永　藤雄　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000003000000000000000003000000000000000000000000000000000002000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000001002003
UM42006061419851000451198706041989062419850326アリンスラッド　　　　　　　　　　　ｱﾘﾝｽﾗｯﾄﾞ                            Arinsu Lad(JPN)                                             0                   03210311200528ミヤジマレンゴ　　　　　　　　　　　12215083ニホンピロタマチ　　　　　　　　　　11100922フオルテイノ　　　　　　　　　　　　12105572タカミヤジ　　　　　　　　　　　　　11200129ニホンピロムーテー　　　　　　　　　12102741タマチカラ　　　　　　　　　　　　　11300048Grey Sovereign                      12402376Ranavalo                            11100289キンコウ　　　　　　　　　　　　　　12101474ナツサン　　　　　　　　　　　　　　11100689ムーテイエ　　　　　　　　　　　　　12105230ニホンピロー　　　　　　　　　　　　11100195シマタカ　　　　　　　　　　　　　　12100581セフトニヤ　　　　　　　　　　　　　200345領家政蔵　　　　　　　　　　430175和田牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　553002斉藤　等　　　　　　　　　　　　　　　　　　　　　　　　　　　　000122600000000000000000284000000000000020000000000000001002000001000009001002000001000009000000000000000000001001000001000008000001000000000001000000000000000000000000000000000000000000000000000000000000000000000000001002000001000006000000000000000002000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001002000001000006000000000000000003000000000000000000000000000000000000000000000000000000000000000000000000000004006003013
UM12004020219851000461198705281989071419850422ネイビーロマン　　　　　　　　　　　ﾈｲﾋﾞｰﾛﾏﾝ                            Navy Roman(JPN)                                             0                   00210211200554ジヤツジヤー　　　　　　　　　　　　12214192ノーザンロマン　　　　　　　　　　　11300791Damascus                            12403346Face the Facts                      11200136アレツ　　　　　　　　　　　　　　　12204994ロマンテイスト　　　　　　　　　　　11300642Sword Dancer                        12401487Kerala                              11300296Court Martial                       12403082Vashti                              11300167Le Fabuleux                         12401259Haguenau                            11100670バルビエリ　　　　　　　　　　　　　12104299ナスノタカラ　　　　　　　　　　　　200360太宰義人　　　　　　　　　　430175和田牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　659009前田　哲郎　　　　　　　　　　　　　　　　　　　　　　　　　　　000060650000000000000000000000000000000000000000000000000001001003003014000001001003003014000000000000000000000001001003002007000000000000000000000000000000000000000000000000000005000000000000001002000000000000000000000001000001001004000000000001001001000000000001000002000000001000000000000000000000001007000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001003002006000000000000000001000000000000000000000000000000001004000000000000000003000000000000000000000006011005022
UM12004020219851000471198703251988021819850526ラッキーギャル　　　　　　　　　　　ﾗｯｷｰｷﾞｬﾙ                            Lucky Gal(JPN)                                              0                   03210311200528ミヤジマレンゴ　　　　　　　　　　　12217513リリーガール　　　　　　　　　　　　11100922フオルテイノ　　　　　　　　　　　　12105572タカミヤジ　　　　　　　　　　　　　11100533ダイハード　　　　　　　　　　　　　12104051ウイツト　　　　　　　　　　　　　　11300048Grey Sovereign                      12402376Ranavalo                            11100289キンコウ　　　　　　　　　　　　　　12101474ナツサン　　　　　　　　　　　　　　11300100Never Say Die                       12401914Mixed Blessing                      11100195シマタカ　　　　　　　　　　　　　　12101645ミスハタカゼ　　　　　　　　　　　　200265夏村辰男　　　　　　　　　　430175和田牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　619009山田　公平　　　　　　　　　　　　　　　　　　　　　　　　　　　000011900000000000000000000000000000000000000000000000000000000001001003000000000001001003000000000000000000000000000001001003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001003000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001002000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000003002005
UM42006061419851000481198711191989051719850328ケンセイヒミコ　　　　　　　　　　　ｹﾝｾｲﾋﾐｺ                             Kensei Himiko(JPN)                                          0                   00210311200554ジヤツジヤー　　　　　　　　　　　　12221290ケンセイビクトリー　　　　　　　　　11300791Damascus                            12403346Face the Facts                      11200224ホーント　　　　　　　　　　　　　　12207483セカンドチエリオ　　　　　　　　　　11300642Sword Dancer                        12401487Kerala                              11300296Court Martial                       12403082Vashti                              11300397Habitat                             12401491Kew                                 11100533ダイハード　　　　　　　　　　　　　12107926メルド　　　　　　　　　　　　　　　200289藤岡範士　　　　　　　　　　700171杉安牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　458009杉安　謙一郎　　　　　　　　　　　　　　　　　　　　　　　　　　000162000000000000000001202000000000000020000000000000001001001002001003001001001002001003000000000000000000001000001002001002000001000000000001000000000000000000000000000000000000000000000000000000000000000000000000001001000002000002000000001000001000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000001001001001001003000000000000000000000000000000000000000000000000000000000000000000000000002006001000009
UM12004020219851000491198704171988031719850329ケンセイスイング　　　　　　　　　　ｹﾝｾｲｽｲﾝｸﾞ                           Kensei Swing(JPN)                                           0                   00210311200554ジヤツジヤー　　　　　　　　　　　　12218382ケンセイレデイ　　　　　　　　　　　11300791Damascus                            12403346Face the Facts                      11200062ラデイガ　　　　　　　　　　　　　　12200623アグライア　　　　　　　　　　　　　11300642Sword Dancer                        12401487Kerala                              11300296Court Martial                       12403082Vashti                              11301186Graustark                           12301848Celia                               11100567サンプルーフ　　　　　　　　　　　　12103370トツプゴールド　　　　　　　　　　　200246土門健司　　　　　　　　　　700171杉安牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　458009杉安　謙一郎　　　　　　　　　　　　　　　　　　　　　　　　　　000026000000000000000000000000000000000000000000000000000000002000000000000000002000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000002
UM42006061419851000501198703191988083019850426ベルエトック　　　　　　　　　　　　ﾍﾞﾙｴﾄｯｸ                             Belle Etoc(JPN)                                             0                   00210311200554ジヤツジヤー　　　　　　　　　　　　12221291タマウインナー　　　　　　　　　　　11300791Damascus                            12403346Face the Facts                      11200286サーペンフロ　　　　　　　　　　　　12202562ニユーウイナー　　　　　　　　　　　11300642Sword Dancer                        12401487Kerala                              11300296Court Martial                       12403082Vashti                              11300054Sir Ivor                            12402499Running Blue                        11100685インフアチユエイシヨン　　　　　　　12100899スターサクラ　　　　　　　　　　　　200375野村彰彦　　　　　　　　　　700171杉安牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　563009杉安　浩一郎　　　　　　　　　　　　　　　　　　　　　　　　　　000070400000000000000000000000000000000020000000000000001000000000003010001000000000003010000000000000000000001000000000003009000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000001000000000001006000000000000001002000000000000000001000000000000001000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000006000000000000003003000000000000000000000000000000000001000000000000000000000000000000000000000008002004014
UM12004020219851000521198712101988092219850331ナンシンハッピー　　　　　　　　　　ﾅﾝｼﾝﾊｯﾋﾟｰ                           Nanshin Happy(JPN)                                          0                   00210511200554ジヤツジヤー　　　　　　　　　　　　12215625ヨシノハツピー　　　　　　　　　　　11300791Damascus                            12403346Face the Facts                      11200008ズグ　　　　　　　　　　　　　　　　12202257ハツピーニユース　　　　　　　　　　11300642Sword Dancer                        12401487Kerala                              11300296Court Martial                       12403082Vashti                              11300094Nasram                              12401703Lucerne                             11100501テユーダーペリオツド　　　　　　　　12103385ビツグニユース　　　　　　　　　　　200148梶与三男　　　　　　　　　　900175重田　香　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　029009塗木　幸二　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
