,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,,,,,,,,,,,,,,,,,,
íÜéR,,,,,,,,,,,,,,,,,,
RX06124801,49.9,43.4,52.3,56,48,48.8,52,51.2,48,50.9,54.6,52.4,48,46,48,50.6, , 
RX06124802,45.8,52.2,42.5,53.4,53.6,50.2,52.8,50.1,53,45.6,55.5,38.1,46,59.9,49.7,51.5, , 
RX06124803,46.9,45,55.9,60,43.7,56.9,54.1,54.7,44,49.6,50.6,47.3,49.2,49.4,47.8,44.7, , 
RX06124805,45.7,47.7,46,46.2,53.1,54.7,47.7,,52.6,50.2,45.5,56.3,50.8,43.4, , , , 
RX06124806,55.7,49.2,47.3,51.7,51.5,48,48.8,45.7,55.1,48.1,45.1,45,57.2,55.7,46.5,49.6, , 
RX06124807,43.4,49.2,54.4,55.3,52,54.5,49.8,49.3,44.5,54.3,51.2,47.4,45,52.6,47.8,49.2, , 
RX06124808,48.2,40,45.6,52,54.6,51.8,48.5,56.1,46.3,55.9,58.5,46.2,44.5,52.5,49,50.3, , 
RX06124809,48,48.2,48.1,51.1,55.5,52.2,53.3,46.4,58.7,44.8,42.4,52,55.4,43.9, , , , 
RX06124810,52.5,47.5,54.1,46.9,50.1,48,47.4,55.5,53.2,42.4,51.7,56.6,51.3,49.7,46.2,46.7, , 
RX06124811,49,53.6,45.6,54,45.1,45.7,49.9,49.1,53.2,51.6,45.7,50.9,52.9,53.5, , , , 
RX06124812,45.8,44.7,49.2,43.8,55.4,50,44.8,52.3,61.3,47.4,49,52.2,57,44.8,59.6,42.7, , 
ç„ê_, , , , , , , , , , , , , , , , , , 
RX09124801,56.4,53.9,46.5,49.4,47.6,54,49,50.1,51.3,43.1,44.1,56.2,45.7,44.8,53.1,54.9, , 
RX09124802,49.4,52.9,46.6,50.1,46.6,48.3,51.6,51,46,50.6,53.9,55.9,52.2,44.9, , , , 
RX09124803,44.4,55.2,59.3,46.4,48,46.6,48.3,53.9,48.8,51.8,48.9,48.4, , , , , , 
RX09124804,53.2,47.9,61,44.2,46.4,57.2,51,51.3,42.7,51.9,51.7,54.6,41.7,53.9,44.6,46.5, , 
RX09124805,52,45.7,52.1,54.2,45.6,47.2,60.8,50,46.2,46.1, , , , , , , , 
RX09124806,46.8,47,49.3,58.2,49.1,52.9,53.6,49.7,46.4,63.4,42.8,54.4,46.5,39.1,46.8,54.2, , 
RX09124807,45.1,49.8,48.3,57.6,52.1,47.7,58.3,39.6,60.7,46.2,52.2,47.5,50.9,50.6,48.3,45.1, , 
RX09124809,52.3,49,51,44.3,51.2,51.8,45.1,49.3,52.4,48.4,55,52.2,51.8,46.2, , , , 
RX09124810,54,39.8,51.4,51.2,54.5,45.1,48.7,54.5,47,47.3,55.4,47,54.9,54,45.2, , , 
RX09124812,65.8,42,42.2,32,57.5,53.4,58.4,52.5,42.2,69,46.7,41.2,34.5,58.3,46.8,53.9,49.8,53.8
,,,,,,,,,,,,,,,,,,
,,, , , , , , , , , , , , , , , , 
,,, , , , , , , , , , , , , , , , 
,,, , , , , , , , , , , , , , , , 
,,, , , , , , , , , , , , , , , , 
,,, , , , , , , , , , , , , , , , 
,,, , , , , , , , , , , , , , , , 
,,, , , , , , , , , , , , , , , , 
,,, , , , , , , , , , , , , , , , 
,,, , , , , , , , , , , , , , , , 
,,, , , , , , , , , , , , , , , , 
,,, , , , , , , , , , , , , , , , 
,,, , , , , , , , , , , , , , , , 
