,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,,,,,,,,,,,,,,,,,,
éDñy,,,,,,,,,,,,,,,,,,
RX01121801,51.7,45.8,43.3,52.9,52.6,47,50.9,53.5,52.2, , , , , , , , , 
RX01121802,49.2,49.6,51.7,51.7,44.5,48.3,45.8,51.3,48.1,53.6,53.1,56,47, , , , , 
RX01121803,42.5,50.4,52.5,51,55,42.5,54.5,54.3,46.1,51.7,38.2,55,53.9,45.7,54.9,51.9, , 
RX01121804,48,52.3,43,51.8,46.7,52.6,51.9,48.8,55.2,49.5,52.3,50.5,47.5, , , , , 
RX01121805,49.6,57.4,48.3,50.7,46.4,48.6,49.1, , , , , , , , , , , 
RX01121806,51.1,50,54,51.5,45.2,45.2,50,52.6,55.7,47.7,47, , , , , , , 
RX01121807,48.4,49.9,43.9,53.4,53.4,46.3,51.4,52,50.5,53.2,49,48.6, , , , , , 
RX01121808,48.2,46.2,47.4,47.5,44.2,51,47.5,50.6,47.8,56.4,52.4,54.6,56.1, , , , , 
RX01121810,49.9,,54.1,51.7,47.4,48,51.5,48.7,49.5,44.2,49.2,53.3, , , , , , 
RX01121811,49.3,53.8,43.8,51.8,54.2,49.6,48.5,57.2,49.8,47.9,44.2, , , , , , , 
RX01121812,53.6,54.4,47.8,49.8,47.5,47.7,47,52.8,49.3, , , , , , , , , 
êVäÉ, , , , , , , , , , , , , , , , , , 
RX04123201,43.1,56.3,50.1,51.2,42.6,55.4,49.7,48.1,51.8,51.6,54.4,43,61.7,47.4,47.5,46.2, , 
RX04123202,56.6,48.5,43.3,47.4,49.1,51.2,48.4,49.2,53.9,59.1,57.9,47.7,41.2,44.7,51.7, , , 
RX04123203,51.3,49.6,41.2,49.3,54.8,48.6,56.3,43.7,56.9,46,48.2,56.3,46.8,52.9,48.1, , , 
RX04123204,45.8,49,48.1,45.3,52.4,45.3,47.5,56.4,46.7,48.7,59.9,51.7,51.8,51.3, , , , 
RX04123205,41.7,43.9,48.9,49.1,44.6,56.8,52.3,66.8,45.7,55.4,53.9,49.5,54,45.8,40.3,51.5, , 
RX04123206,50,54.4,46.9,52.3,51.9,62.7,67.4,44.6,51.7,49.8,42.3,42.4,42.6,50.2,48.2,50,42.6, 
RX04123208,47.3,53.2,51.4,43.4,48.2,57.1,44.4,49.1,55,44.7,51.2,54.9,49.4,50.7, , , , 
RX04123209,36.5,43.6,66.3,62.9,33.9,54.2,49.7,53.6,47.8,44.8,58.3,42.5,54.1,55.1,66,41.6,53.7,35.3
RX04123210,51.6,41.2,51.9,49.6,50.3,38.4,49.1,52,52.7,53.2,58.2,47.9,53.9,52.2,47.6, , , 
RX04123211,30.7,52.1,67.6,39.9,49.9,43.9,40.6,49.9,46.8,43.8,49.9,51.4,52,74.9,43.5,51.5,54.7,56.7
RX04123212,54.8,54.7,47.7,46.2,52.1,55.4,38,55,51.9,68.8,55.3,40.9,56.6,60.7,43.6,35.8,55.6,27
è¨ëq,,,,,,,,,,,,,,,,,,
RX10122601,50.7,47.5,53.4,49.1,48.3,52.8,49.8,50.4,48.1, , , , , , , , , 
RX10122602,51.1,50.3,49.6,54.3,49.2,53.3,42.6,54.8,50.9,45.3,54.9,49.8,50.1,43.8, , , , 
RX10122603,61.6,49.3,43.6,35.7,40.3,40.9,40.2,71,49.9,54.2,58.6,39.4,47.9,64.5,43.2,44.7,58.3,56.5
RX10122605,48.7,48.8,47.3,45.3,51,54.6,51.7,52.6, , , , , , , , , , 
RX10122606,47.9,43.8,47.7,53.2,51.3,50.7,50,46.1,58.8,46.6,50.7,44.7,58.6,50.4,53.7,45.8, , 
RX10122607,55,,66.5,53.7,45.1,63.8,44.7,40.5,45,50.1,46.8,73.7,49.7,44.9,42.4,41.6,46.7,33.9
RX10122608,45.3,55.5,47.3,49.9,56.3,50.9,52.1,58.8,49.1,55.3,42,49.8,48.2,44.2,49.8,45.5, , 
RX10122610,,55,51,53.2,52.2,46.4,41.7,49.5,49.8,51.2,46.7,48.1, , , , , , 
RX10122611,46.5,50,48.4,48.3,50.4,56.2,44.4,55.6,50.3, , , , , , , , , 
RX10122612,56.6,50.2,51.1,50.9,51.9,48.9,51.3,42.2,54.7,48.9,48.2,44.9,50.4, , , , , 
