,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,,,,,,,,,,,,,,,,,,
ŽD–y,,,,,,,,,,,,,,,,,,
RX01112301,52,54.5,48.8,48,48.9,50,47.7, , , , , , , , , , , 
RX01112302,49.7,47.3,51.7,46.1,51,53.4,50.8, , , , , , , , , , , 
RX01112303,54.1,58.8,40.6,48.9,55.5,45.8,50.3,54.6,53.2,47.2,46.3,51.1,41.3,40.6,56,55.7, , 
RX01112304,46.2,48.2,49.9,50.6,37.3,51.9,44.3,50.5,48.6,49.5,56.6,46.3,56.3,60.6,55.9,47.4, , 
RX01112305,48.5,45.9,51.3,44.7,51.1,60.1,46.2,49.3,46.9,55.9, , , , , , , , 
RX01112306,50,49,49.3,50.5,47.4,50.3,47.9,51.9,50.4,45.8,54.5,53, , , , , , 
RX01112307,54.1,58,51.4,50.6,42.3,50.8,47.4,52.6,45.7,47.6,47.4,52.7,49.4, , , , , 
RX01112310,53.7,48.9,50.7,48.4,52.3,46.1,55.2,47.6,50.4,53.4,49.4,43.9, , , , , , 
RX01112311,54.3,45,54.7,56.9,53.5,51.3,46.6,43.8,46,51.5,46.6,43.2,55.8,52,48.8, , , 
RX01112312,44,48.9,53.1,48.8,53.4,54.9,46.9,49.2,47.5,54.1,48.9, , , , , , , 
’†ŽR, , , , , , , , , , , , , , , , , , 
RX06114301,56.7,47.1,41.2,50.8,46,52.2,45.8,48,43.5,45,58.5,49.3,53.6,52.3,55.7,54.2, , 
RX06114302,49.6,57,54.4,52.5,44.5,46.4,50.7,52.6,52.1,55.3,46.2,46.1,47,45.6, , , , 
RX06114303,53.5,48.9,44.9,61,56.4,53.4,46.3,42.3,44.3,48.1,43.5,48.2,47.1,50,57.4,54.7, , 
RX06114305,55.4,58.4,48.5,54.9,49.5,40.5,44.8,48.2,49.1,56.5,50.2,51.2,42.3,44.2,58.9,47.4, , 
RX06114306,53.7,49.5,51.7,56.3,40.7,45.6,55.3,61.1,46.6,50.1,39.9,51.5,48.9,51.8,50.9,46.4, , 
RX06114307,53.4,51.3,46.1,53.2,49.3,51.5,44.9,48.8,51.7, , , , , , , , , 
RX06114309,46.6,53.6,43.6,50.7,50.9,57.3,49.3,50.4,53.8,46.1,47.8, , , , , , , 
RX06114310,48.1,63.5,50.2,44.4,47.3,45.5,48.4,52.2,45.6,50,52.1,52.6, , , , , , 
RX06114311,51.3,41.2,53.1,55.9,53.8,49.3,46.6,39.5,53.3,45.3,52.5,51,54.4,49.3,56.3,47.1, , 
RX06114312,52.7,54.3,52.2,52.8,49.3,45.1,44,53.7,44.5,49,47.3,49.9,55.3, , , , , 
