,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,,,,,,,,,,,,,,,,,,
“Œ‹ž,,,,,,,,,,,,,,,,,,
RX05131401,43,55.5,51.7,62.3,48.3,54.6,50.1,43.5,54.4,47.3,58.5,45,48.3,48.1,41.7,47.8, , 
RX05131402,47.6,48.6,41.8,50.6,55.2,44.9,51.2,51.3,48.2,54.8,43.1,61.8,52.2,46.8,54.3,47.7, , 
RX05131403,51.4,44.3,49.2,46,54.7,49.8,49.3,53.7,50.7,51.4,56.2,46.6,53.6,50.9,47.7,44.4, , 
RX05131405,51.3,39.7,48.5,41.7,50,52.7,57.7,56.3,54.8,47.7,58.8,43.8,59.6,46.5,42.7,48.1, , 
RX05131406,45.1,52.7,44.3,48.3,59.5,43.6,48.8,48.8,48.4,54.5,55.3,43.4,45.6,52.3,58,51.5, , 
RX05131407,47.8,64.1,49.1,49.9,44.8,46.2,45.4,48.5,50.8,45.5,43.9,60.6,50.1,50.6,45.7,56.9, , 
RX05131408,56.3,42.5,51.2,58,47.1,46.9,45,44.8,51,50.8,52.9,53.6,49.9, , , , , 
RX05131409,43.6,55.5,54.4,40.9,53.3,45.4,47.3,48.1,47.1,54.5,53.9,49.1,62.4,41.6,53.8,49.2, , 
RX05131410,39.9,51,54.2,47.9,54.4,49.6,51.2,50.8,56.7,44.3, , , , , , , , 
RX05131411,53.4,40,45.4,46.7,45.9,47.9,52.4,47.4,65.5,50.4,54.3,58.6,55.7,45.5,44.9,46.2, , 
RX05131412,50.7,56.8,49.3,49,45.3,54.1,48,64.9,54.5,43.8,49,54.6,45.2,42,49,43.5, , 
’†‹ž, , , , , , , , , , , , , , , , , , 
RX07131601,51.9,47,47.7,43.7,52.6,47.4,54.4,50.2,56.2,50.7,42.1,57.6,47.2,49.3,52.6,49.4, , 
RX07131602,46.1,60.5,46,47.5,47.7,52,46.1,45,52.7,55.7,48.4,47.4,55.2,47,52.8, , , 
RX07131603,47.9,46.4,51.1,50.3,44.8,53.2,55.2,53.7,50.8,45.5,51, , , , , , , 
RX07131604,49.8,53.9,42.3,56.3,56.4,45.9,50.1,50.5,49.2,52.5,44.4,49.5,49.3, , , , , 
RX07131605,46.1,49.1,54,49,48.1,53.1,53.1,48.8,40.1,46.7,51.1,59.8,53.7,53.7,43.4,50.2, , 
RX07131606,43.9,54.2,50.5,51.3,43.7,36.6,49.9,51.8,60,44.9,54.1,48.2,44.3,44.5,47.2,58.3,66.6, 
RX07131607,52,48.3,56.2,51.8,44.8,46.6,49.6,46.9,51.8,49.9,48.7,53.3, , , , , , 
RX07131608,41.3,45,54.5,47.5,47.2,51.8,57.5,53.8,49.9,55.8,43.5,43,66.7,44.6,50.9,47, , 
RX07131609,52.8,51.4,49.8,51.2,50.8,42.8,52.6,47,49.4,52.3, , , , , , , , 
RX07131610,49.2,47.5,50.6,50.1,49.5,45.7,46.7,46.1,61.9,54.9,47.8, , , , , , , 
RX07131611,51.2,52.6,54.8,49.6,51.8,53.3,46.7,52.6,56.8,46.6,46.8,45.9,50.6,40.7, , , , 
‹ž“s,,,,,,,,,,,,,,,,,,
RX08132401,54.2,51.5,45.2,50.2,52.8,50.1,46.3,49.8,42.6,55.5,53.8,50.1,50.9,46.8, , , , 
RX08132402,48.8,55.6,51.3,52.8,55.2,45.7,47,43.8,49.9,50.1,49.8, , , , , , , 
RX08132403,45.9,50.6,48.8,50.9,50.3,53.7,41.2,48.8,53.3,42.8,52.7,47.8,55.7,57.6, , , , 
RX08132404,49.3,47.6,48.5,54.9,53.6,47.1,58.6,44.1,48.2,50,47.7,49.5,47.3,53.7, , , , 
RX08132406,44.7,50.2,48.7,55.5,43.7,49.6,53.7,46.1,62.3,47.6,54.8,50.2,40.8,55.2,54,42.7, , 
RX08132407,49.2,43.5,53,52.7,46.3,49.7,53.4,52.3,52.4,47.5, , , , , , , , 
RX08132408,42.5,52.5,49.4,56.8,51.9,48.2,49.2,49.4, , , , , , , , , , 
RX08132409,48.7,51,47,48.2,53.2,54.4,44.9,57.1,51.1,45.4,48.9, , , , , , , 
RX08132411,47.6,48.6,47.4,44.4,48.3,54.8,47.3,58.8,52.7, , , , , , , , , 
RX08132412,44.4,47.7,58,42.7,48.3,52.4,56.3,53.8,48.8,50,50.9,49.7,51.6,45.5, , , , 
