fix,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Fukushima,,,,,,,,,,,,,,,,,,
RX03101601,41.1,38.2,43.7,67.3,42.2,51.6,65.4,48.9,63.6,41.8,46.1,66.5,42.3,46.2,50.4,44.8,,
RX03101602,44.2,68.4,33.3,42.5,51.8,63.9,57.8,63.3,40.4,43.5,45.5,55.3,44.3,52,43.8,,,
RX03101603,53.6,48.7,57.2,49.5,36.1,47.1,72.7,45,51.4,48.3,33.8,66.9,51,38.6,51.9,48.2,,
RX03101604,56.4,69.9,40.7,58.9,54.1,38.5,47.2,52.2,43.9,46.2,38.7,46.9,65.4,36.3,54.7,,,
RX03101605,54.4,52.5,44.7,25.9,54.8,65.6,45.9,41.5,48.9,50.6,46.4,58.5,45.2,66.6,41.5,57.2,,
RX03101606,43,42.6,57.7,43.3,41,54.4,49.1,47.8,55.9,43.1,44.4,50,77.8,,,,,
RX03101607,68.6,34.8,52.8,49.7,48.3,35.7,42.7,42.6,62.9,45.4,54.1,53.4,59.1,,,,,
RX03101608,54.4,47.4,35.3,47.4,55.5,33.2,49.8,38.5,53.6,51.6,54.5,63.8,70.4,41.8,44.7,58.1,,
RX03101609,40.6,55.5,44.1,47.6,46.9,70.4,59.6,48.6,59.1,38.1,46.8,43.6,35.1,49.1,64.9,,,
RX03101611,52.4,61.2,65.9,51,52.1,57.7,37.8,56.4,48.9,53.6,43.5,42.6,56.2,56.6,28.2,36,,
RX03101612,40.8,53.9,47.1,50.1,39.1,49,61.3,58.8,29.7,60.6,45,49.9,64.8,,,,,
Tokyo,,,,,,,,,,,,,,,,,,
RX05102201,49.9,56.3,47.1,64.4,37.4,55.1,50,62.2,27.9,51,48.6,40.2,42.4,58.6,63.2,45.8,,
RX05102202,52.9,52.3,45.8,62.2,53.2,66.8,21.9,55.4,52.5,46.2,38.6,46.3,50.8,54.3,46.7,53.9,,
RX05102204,49.4,48,52.4,53.2,75.6,47.3,58.2,41.2,63.3,37.2,34,49.8,45.2,45.3,48.6,49.5,61.7,40.3
RX05102205,60.7,45.8,34.4,61.1,60.2,52.4,50.2,61.2,54.6,47.8,28.3,45.7,57.8,47.9,54.7,37.2,,
RX05102206,42.2,36.2,67,42.6,62.9,48.8,42.8,51,48.2,39.9,66.7,60.5,53.4,42.4,45.5,,,
RX05102207,43.7,54.6,44.7,66.5,47.4,60.5,37.5,60.9,43.4,60.3,41.7,38.8,,,,,,
RX05102208,30.8,51.1,65.2,59.5,34.9,56.6,54.1,46.4,49.6,65.2,46.3,51.2,43.6,45.5,,,,
RX05102209,38.7,42.3,56.6,54.3,61.1,33,41.3,53.1,59,47.6,63,,,,,,,
RX05102210,44.4,52.2,39.1,67.3,52.7,53.3,68.1,48.4,52.7,46.1,41,53.4,63,61.4,42.5,37.9,39,37.5
RX05102211,48.4,54.3,52.3,51,55.1,,49.6,51,55.4,46.9,57.1,49,54.4,50.2,61.3,48.8,,
RX05102212,40.8,45.1,54.5,51.1,42.5,54.5,45.8,33.8,45.7,72.3,51.6,50.7,62.2,43.2,65,41.1,,
Kyoto,,,,,,,,,,,,,,,,,,
RX08103201,47.9,62.2,45.1,54.9,31.9,59.6,36.1,45.6,48.9,56.1,64.4,43.9,64.3,38.8,55.4,44.9,,
RX08103202,48.6,60.6,37.4,32.8,53.7,60.8,49.7,71.8,46,57.8,43.3,58.1,41.8,39.2,54.2,47.8,56.2,40.4
RX08103204,73,37.2,45.5,62,50.3,43.2,48.2,62.6,49.2,55.4,36.5,42.8,49,54.4,52.7,38.2,,
RX08103205,47,57.6,41.4,63.3,61.4,69.1,37.3,49.3,49.8,41.8,,42.1,60.4,54.8,58.3,50.6,36.4,39.1
RX08103206,45.6,33.6,58,48.4,62.9,60,49.1,44.6,51.5,55.1,29.3,46.7,63.3,51.8,,,,
RX08103207,47.8,52.9,51,47.9,49.5,57.9,47.9,69.4,45.5,44.3,59,42.5,30.2,38.9,65.3,,,
RX08103210,49,57.8,36.3,35.1,41.9,48.2,53.4,52.4,40.8,71,48,61.9,60.4,42.4,51.4
RX08103211,39.6,38.8,61,54.2,53.5,61.7,61.3,48.9,34.6,46.4,,,,,
RX08103212,46,54.5,67.9,58.5,59.5,49.7,51.4,39.5,28.5,57.6,44.8,59.3,46.6,46.8,39.5
