RAA20140107201401064310010740000初鷹スプリント　Ｂ２Ｂ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          初鷹スプリント　Ｂ２初鷹スプリン初鷹ス0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　100000002300    0002400000007200000048000000288000001920000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313131010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000302,6,9,12,13,4,7,10,1,11,8,3,5                                         402,6,9,4,12,13,7,1,11,10,3,8,5                                         00                                                                      00                                                                      0
RAA20140111201401104310050380000サラ系一般　Ｃ３一二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３一二サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,5,10,11,12,4,6,9,1,7,3,8                                            202,5,10,4,11,12,1,9,6,3,7,8                                            302,(4,5),(10,11),1,(9,12),3,(6,7),8                                    402,5,11,4,9,1,10,12,3,7,6,8                                            0
RAA20140108201401074310020350000サラ系４歳　Ｃ３四五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                           サラ系４歳　Ｃ３四五サラ系４歳　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000204,5,10,3,8,2,6,7,9,1,11                                               304,5,10,(2,3),8,6,11,(7,9),1                                           404,5,10,2,11,3,6,9,7,1,8                                               00                                                                      0
RAA20140111201401104310050580000サラ系一般　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３　　サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    0000900000002700000016200000108000000900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212111040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000203,9,6,7,4,8,11,12,1,10,5,2                                            303,9,7,6,4,11,12,8,10,1,2,5                                            403,9,7,6,4,11,12,8,10,2,5,1                                            00                                                                      0
RAA20140107201401064310010840000サラ系一般　Ｃ２一二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２一二サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,3,4,9,7,5,8,10,6,2                                                  201,3,4,9,5,7,8,6,10,2                                                  301,3,9,5,10,7,8,2,4,6                                                  401,3,9,5,8,10,2,7,6,4                                                  0
RAA20140110201401094310041270000笑初賞　Ｃ１Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     笑初賞　Ｃ１Ｃ２　　笑初賞　Ｃ１笑初賞0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002300    0001200000003600000021600000144000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313132040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,10,11,2,12,6,3,7,8,4,5,9,13                                         201,10,11,2,12,6,3,8,7,4,5,9,13                                         30(1,10),11,2,5,12,8,3,9,(6,7),13,4                                     401,10,2,5,11,8,12,3,9,7,6,13,4                                         0
RAA20140107201401064310010440000サラ系４歳　Ｃ３一二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                           サラ系４歳　Ｃ３一二サラ系４歳　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    00008000000024000000144000000960000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011,3,2,9,10,1,5,6,8,7,4                                               2011,3,2,9,10,1,5,6,8,7,4                                               3011,3,9,10,2,1,5,(7,8),4,6                                             4011,3,9,2,10,1,5,8,7,6,4                                               0
RAA20140108201401074310021150000サラ系一般　Ｃ１二三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１二三サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001100000003300000019800000132000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,7,9,3,8,4,1,2,5                                                     206,7,3,9,8,1,4,2,5                                                     306,7,3,9,2,4,8,1,5                                                     406,7,3,9,2,8,1,4,5                                                     0
RAA20140108201401074310020250000サラ系４歳　Ｃ３四五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                           サラ系４歳　Ｃ３四五サラ系４歳　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000201,11,5,7,4,8,10,2,6,3,9                                               301,11,5,7,2,10,4,8,6,3,9                                               401,11,5,7,2,10,4,8,6,3,9                                               00                                                                      0
RAA20140108201401074310020750000サラ系一般　Ｃ２三四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２三四サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313131010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,3,11,7,6,13,8,5,4,10,1,12,2                                         203,9,6,11,7,5,13,8,4,1,10,12,2                                         303,11,6,9,7,5,13,8,4,10,2,1,12                                         403,11,6,9,5,7,13,8,4,2,12,10,1                                         0
RAA20140111201401104310050680000サラ系一般　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２　　サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    00010000000030000000180000001200000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012111110400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001012,8,6,2,10,3,7,11,9,1,4                                              2012,8,6,2,10,3,7,9,11,1,4                                              3012,8,2,6,7,10,4,9,(3,11),1                                            4012,8,2,7,6,4,10,11,9,3,1                                              0
