RAA20140117201401164210030870000ツイントップ特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               ツイントップ特別（中ツイントップツイン0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0002000000006000000034000000260000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001109091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,3,11,7,10,2,8,4,9                                                   201,3,11,7,2,10,8,9,4                                                   301,3,11,2,10,8,7,4,9                                                   401,3,11,2,10,8,4,7,9                                                   0
RAA20140117201401164210031070000マルチフェイス特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          マルチフェイス特別（マルチフェイマルチ0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0004000000012000000068000000520000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,7,4,10,9,6,5,11,1,2,12,3                                            208,7,4,10,6,9,5,11,1,2,12,3                                            308,7,10,4,9,6,11,5,12,2,1                                              408,10,9,4,12,7,6,5,2,11,1                                              0
RAA20140116201401154210021160000ニューイヤーＣ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　NEW YEAR CUP                                                                                                                                                                                                                                                                                                                                                            ニューイヤーＣ　　　ニューイヤーニュー0000D 120004000000000000000サラ系３歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　160000002300    00120000000420000002400000012000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011101020100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011,1,3,5,10,7,6,9,8,2                                                 2011,3,1,7,10,5,6,9,2,8                                                 3011,3,10,5,7,2,9,8,1,6                                                 403,2,7,10,8,9,5,11,6,1                                                 0
RAA20140117201401164210031270000日本一鴻巣びっくりひな祭り賞　Ｃ１三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     日本一鴻巣びっくりひ日本一鴻巣び日本一0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001200000003600000020400000156000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,4,6,11,5,10,9,8,1,12,7                                            202,3,4,6,11,10,9,5,1,8,12,7                                            303,4,2,1,11,6,10,9,8,5,12,7                                            403,4,1,2,8,11,9,6,12,5,10,7                                            0
RAA20140115201401144210010850000サラ系一般　Ｃ２三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２三　サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    00010000000030000000170000001300000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121210100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011,10,9,8,4,6,5,12,1,7,2,3                                            2011,9,8,4,12,10,6,5,7,3,2,1                                            3011,9,8,7,4,3,12,5,6,2,10,1                                            4011,4,7,(3,9),8,2,5,12,6,10,1                                          0
RAA20140118201401174210040680000サラ系一般　Ｃ２九十１１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２九十サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001000000003000000017000000130000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,10,5,8,4,9,7,12,2,3,1,11                                            206,10,5,8,4,9,7,12,2,3,1,11                                            3010,5,6,8,2,9,4,12,3,7,1,11                                            4010,2,8,5,3,9,4,12,1,6,7,11                                            0
RAA20140116201401154210020660000サラ系一般　Ｃ２四五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２四五サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    00010000000030000000170000001300000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121220100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,2,1,5,11,6,3,8,4,12,9,7                                            2010,2,1,5,11,(3,6),8,12,4,9,7                                          3010,2,5,8,1,11,6,12,3,9,7,4                                            4010,5,2,8,1,6,12,3,11,9,7,4                                            0
RAA20140117201401164210030470000サラ系一般　Ｃ３四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３四　サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0000800000002400000013600000104000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,9,12,11,8,5,1,6,4,10,2,7                                            203,9,12,11,8,6,5,1,4,10,2,7                                            303,9,12,8,6,1,4,11,2,10,5,7                                            403,9,12,8,6,1,4,10,2,5,11,7                                            0
RAA20140117201401164210030970000サラ系一般　Ｃ２六七八　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２六七サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    00010000000030000000170000001300000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012111110100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,8,6,9,1,3,7,11,4,12,2                                              2010,8,9,6,1,3,11,7,12,4,2                                              3010,8,9,6,1,3,4,11,12,7,2                                              408,9,10,1,4,6,3,12,11,2,7                                              0
RAA20140115201401144210011150000ガーネット特別　Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ガーネット特別　Ｃ２ガーネット特ガーネ0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001600000004800000027200000208000001600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,3,2,4,9,10,5,7,8,6,11                                               201,3,2,4,(5,10),9,8,7,6,11                                             303,5,1,8,10,2,4,7,9,6,11                                               403,5,1,10,8,2,7,9,4,6,11                                               0
