RAA20141204201412034819020960000名古屋ＣＣヴァルカン賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          名古屋ＣＣヴァルカン名古屋ＣＣヴ名古屋0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000410000001020000004100000024000000160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,9,1,7,5,6,8,4,3                                                     202,9,1,7,6,5,4,8,3                                                     302,9,7,1,6,5,4,8,3                                                     409,2,7,6,5,1,3,4,8                                                     0
RAA20141203201412024819011050000射手座特別　Ａ４Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          射手座特別　Ａ４Ｂ１射手座特別　射手座0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000270000000490000001900000013000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,10,6,4,2,9,1,8,3,11,5                                               207,10,6,4,9,1,3,2,8,11,5                                               307,10,6,4,1,9,3,2,8,11,5                                               407,10,3,1,6,4,9,8,11,2,5                                               0
RAA20141204201412034819021060000オヤマリンドウ特別　Ｃ１２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          オヤマリンドウ特別　オヤマリンドオヤマ0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000155000000280000001100000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,4,7,10,6,2,5,8,3,9                                                  201,4,7,6,10,5,8,2,3,9                                                  301,4,7,6,5,10,8,3,2,9                                                  401,4,7,6,5,8,10,2,3,9                                                  0
RAA20141205201412044819030770000サラＣ６組　Ｃ６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ６組　Ｃ６　　サラＣ６組　サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000135000000250000001000000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,6,7,5,1,4,10,3,9,8                                                  202,6,7,5,1,4,10,3,9,8                                                  302,7,6,5,1,4,3,10,9,8                                                  402,7,5,6,4,1,3,10,9,8                                                  0
RAA20141224201412234820031050000名古屋ＧＰ（中央交流）　Ｊｐｎ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　NAGOYA GRAND PRIX                                                                                                                                                                                                                                                                                                                                                       名古屋ＧＰ（中央交流名古屋ＧＰ（名古屋0000B 130002000000000000000サラ系３歳上　ＯＰ　　　　　　　　　　　　　　　　　　　　　250000002400    0031000000080600000403000001860000015500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,8,6,4,10,7,5,11,3,9                                                 201,8,6,4,7,10,5,11,3,9                                                 308,1,6,4,10,5,7,11,3,9                                                 408,6,4,10,5,1,11,7,3,9                                                 0
RAA20141206201412054819040980000冬牡丹特別　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          冬牡丹特別　Ｃ１　　冬牡丹特別　冬牡丹0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000195000000360000001400000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,4,6,2,8,5,10,7,9,1                                                  203,4,6,2,10,8,5,7,9,1                                                  303,4,6,2,10,5,8,7,9,1                                                  40(2,3),4,5,10,6,7,8,9,1                                                0
RAA20141225201412244820040760000サラＣ２組　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ２組　Ｃ２　　サラＣ２組　サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000135000000250000001000000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,2,7,5,3,8,9,4,1                                                     206,2,7,5,3,8,9,4,1                                                     306,2,7,3,9,5,8,4,1                                                     406,7,2,3,9,8,5,4,1                                                     0
RAA20141204201412034819020360000サラＣ１６組　Ｃ１６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ１６組　Ｃ１６サラＣ１６組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000135000000250000001000000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,9,6,2,4,3,5,7,8                                                     201,9,2,6,4,3,(5,7),8                                                   301,9,6,2,3,4,5,7,8                                                     401,9,6,3,2,4,5,8,7                                                     0
RAA20141220201412194820020380000サラＣ１５組　Ｃ１５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ１５組　Ｃ１５サラＣ１５組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000135000000250000001000000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,8,1,7,2,5,6,4,3                                                     209,1,8,7,2,5,4,6,3                                                     309,1,8,7,2,5,4,3,6                                                     409,5,1,8,7,4,2,3,6                                                     0
RAA20141224201412234820030350000サラＣ１０組　Ｃ１０　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ１０組　Ｃ１０サラＣ１０組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000135000000250000001000000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,7,4,8,5,1,2,3                                                       206,7,4,5,8,1,3,2                                                       306,7,4,5,8,3,1,2                                                       406,7,4,5,3,8,1,2                                                       0
RAA20141204201412034819020760000サラＢ５組　Ｂ５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＢ５組　Ｂ５　　サラＢ５組　サラＢ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000145000000260000001100000007000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,9,1,8,4,7,6,5,3                                                     202,9,1,8,4,7,6,5,3                                                     302,9,8,1,4,7,5,6,3                                                     402,9,8,1,4,7,5,6,3                                                     0
RAA20141220201412194820020780000加藤智子鬼斬出演記念　Ｂ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     加藤智子鬼斬出演記念加藤智子鬼斬加藤智0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000145000000260000001100000007000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,5,1,8,2,3,6,4,9                                                     207,5,1,8,2,3,6,4,9                                                     307,5,8,3,1,2,6,9,4                                                     407,3,1,2,8,5,6,9,4                                                     0
