RAA20141008201410074614041050000白山大賞典（中央交流）　Ｊｐｎ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　HAKUSAN DAISHOTEN                                                                                                                                                                                                                                                                                                                                                       白山大賞典（中央交流白山大賞典（白山大0000C 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　210000002400    0021000000048300000252000001890000012600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,5,10,3,4,7,1,9,8,6                                                  202,5,10,3,4,7,1,9,8,6                                                  302,5,10,4,7,3,1,9,8,6                                                  402,5,10,4,7,3,(1,9),6,8                                                0
RAA20141020201410194615031120000Ｂ２－４　Ｂ２４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｂ２－４　Ｂ２４　　Ｂ２－４　ＢＢ２－0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000190000000380000001700000013000000070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,5,11,12,(4,8),1,3,6,9,7,10                                          20(2,5,11,12),8,4,1,3,(6,10),9,7                                        30(2,11,12),(4,5),(1,8),10,3,6,9,7                                      402,12,(1,4),5,11,8,10,3,6,9,7                                          0
RAA20141027201410264616011020000九谷陶芸村まつり特別Ａ－４　Ａ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          九谷陶芸村まつり特別九谷陶芸村ま九谷陶0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000300000000600000002700000021000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,7,9,(2,5),1,4,8,6                                                   203,7,9,5,1,2,4,8,6                                                     305,1,7,9,4,3,8,2,6                                                     40(1,7),5,4,9,3,8,2,6                                                   0
RAA20141020201410194615030920000上級戦オパール賞（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            上級戦オパール賞（中上級戦オパー上級戦0000  110004000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    000250000000500000002250000017500000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111102000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(3,10),11,9,2,1,5,6,4,8,7                                             20(3,10),11,2,9,1,5,6,(4,8),7                                           3010,11,3,2,9,5,1,6,4,8,7                                               4010,11,2,3,5,9,1,6,(4,8),7                                             0
RAA20141027201410264616010320000Ｃ２－１０　Ｃ２１０　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２－１０　Ｃ２１０Ｃ２－１０　Ｃ２－0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000160000000320000001400000011000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000908081020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,7,8,(3,5),6,4,2                                                     201,7,8,3,(5,6),4,2                                                     301,7,8,(3,6),5,4,2                                                     40(1,7,8),3,5,6,2,4                                                     0
RAA20141013201410124615010620000Ｃ２－７　Ｃ２７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２－７　Ｃ２７　　Ｃ２－７　ＣＣ２－0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    000016000000032000000140000001100000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101010101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(3,6),9,2,(5,10),7,4,(1,8)                                            20(3,6),2,5,9,7,10,(1,4),8                                              306,3,5,(2,9),7,10,4,1,8                                                406,3,5,2,7,9,4,(1,8),10                                                0
RAA20141029201410284616020450000Ｃ２－３　Ｃ２３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２－３　Ｃ２３　　Ｃ２－３　ＣＣ２－0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000160000000320000001400000011000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,9,(4,10),5,(6,7),1,8,11                                           202,3,(4,9),10,6,(1,5),7,8,11                                           302,9,10,3,4,(5,6),1,8,7,11                                             402,(9,10),3,4,5,1,6,8,7,11                                             0
RAA20141027201410264616010520000Ｃ２－８　Ｃ２８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２－８　Ｃ２８　　Ｃ２－８　ＣＣ２－0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000160000000320000001400000011000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,2,(3,8),11,10,(1,7),4,9,5                                           206,2,8,(3,10),11,7,1,4,5,9                                             306,2,8,3,7,(10,11),1,4,5,9                                             402,6,8,7,3,11,1,10,4,5,9                                               0
RAA20141008201410074614040850000１１／３ＪＢＣ盛岡開催記念Ｃ１－２　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     １１／３ＪＢＣ盛岡開１１／３ＪＢ１１／0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00001700000003400000015000000110000000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121210300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,1,8,4,2,6,12,5,9,3,7,11                                            2010,1,8,4,2,12,(5,6),3,9,7,11                                          3010,1,2,8,(3,4),5,7,12,6,9,11                                          401,10,2,3,(5,8),7,9,(4,6),12,11                                        0
RAA20141022201410214615040750000Ｃ１－３　Ｃ１３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ１－３　Ｃ１３　　Ｃ１－３　ＣＣ１－0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000340000001500000011000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,2,3,1,7,4,(8,10),9,6                                                205,2,3,1,7,4,10,(6,9),8                                                305,(2,3),1,7,4,10,(6,9),8                                              405,2,3,1,7,4,9,10,6,8                                                  0
RAA20141015201410144615020450000サラ系一般　Ｃ２３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２３　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000160000000320000001400000011000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,7,12,(1,4),8,9,2,5,3,10,11                                          206,7,12,(1,4),8,9,2,5,3,11,10                                          306,7,12,4,1,8,9,2,5,11,3,10                                            406,(7,12),1,4,8,11,(2,9),3,5,10                                        0
