RAA20140415201404144501010840000ダイヤモンドフラワー賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               ダイヤモンドフラワーダイヤモンドダイヤ0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0002500000007500000050000000300000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,7,1,10,5,2,8,6,4,9                                                  203,7,1,10,2,5,6,8,4,9                                                  303,7,10,1,5,(2,6),4,8,9                                                403,7,1,10,5,(2,6),4,8,9                                                0
RAA20140416201404154501020950000エイプリルフラワー賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               エイプリルフラワー賞エイプリルフエイプ0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0002500000007500000050000000300000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313131010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,7,9,2,13,6,4,12,8,1,11,5,10                                         203,7,2,9,6,4,13,12,11,8,1,10,5                                         30(3,7),13,9,6,2,12,11,4,10,5,1,8                                       40(3,13),(6,7),12,(2,11),4,9,(5,10),(1,8)                               0
RAA20140417201404154501021050000ダイヤモンドスター賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ダイヤモンドスター賞ダイヤモンドダイヤ0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    00040000000120000000800000004800000032000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013131310100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001013,3,4,1,11,9,10,5,6,8,12,2,7                                         2013,3,4,11,1,9,10,5,6,8,12,2,7                                         3013,4,11,(3,6),(8,9),5,(1,10,12),2,7                                   4013,4,11,8,6,5,(9,12),3,(1,10),7,2                                     0
RAA20140417201404164501031260000新緑特別　Ｂ２二Ｂ３一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          新緑特別　Ｂ２二Ｂ３新緑特別　Ｂ新緑特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    000260000000780000005200000031200000208000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000141414101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(3,6),11,13,14,10,5,7,1,8,2,12,4,9                                    20(3,6),11,13,14,10,5,7,1,12,8,2,4,9                                    30(3,6),11,(12,13),10,8,5,14,7,4,1,2,9                                  403,11,(12,13),10,(5,6),7,8,(1,4),2,9,14                                0
RAA20140416201404154501020750000サラ系一般　Ｃ２四五六　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２四五サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    000100000000300000001800000012000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121212101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(1,2),7,8,11,3,10,4,5,6,12,9                                          201,2,(7,8),11,3,6,4,5,10,12,9                                          30(1,2),7,8,11,6,4,3,12,(5,9),10                                        40(1,2,7),8,11,6,3,9,4,(5,12),10                                        0
RAA20140417201404164501031060000春雷特別　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          春雷特別　Ｃ１　　　春雷特別　Ｃ春雷特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0002000000006000000040000000240000001600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,6,12,1,2,4,(8,11),7,10,3,9                                          205,6,(1,12),2,11,4,(7,8),10,3,9                                        30(5,6),12,(1,11),2,4,7,10,(3,8,9)                                      4012,6,5,11,2,7,(4,10),1,9,3,8                                          0
RAA20140417201404164501030460000サラ系一般　Ｃ２七八九　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２七八サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    00010000000030000000180000001200000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121210100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,2,3,12,1,7,11,6,8,9,5,4                                            202,10,3,1,12,7,6,8,11,9,5,4                                            30(1,2,7,10,12),3,(6,8),11,5,(4,9)                                      4010,1,12,7,3,8,6,5,11,2,(4,9)                                          0
RAA20140416201404154501020650000祝市川茂直社長８０歳　Ｃ２四五六　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     祝市川茂直社長８０歳祝市川茂直社祝市川0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001211111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,3,7,(2,4),12,1,11,5,10,6                                            208,3,7,2,12,4,1,5,11,10,6                                              308,3,7,(2,4,12),11,1,5,10,6                                            408,3,2,7,4,(1,12),11,5,(6,10)                                          0
RAA20140419201404184501051180000花吹雪特別　Ｂ３二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          花吹雪特別　Ｂ３二　花吹雪特別　花吹雪0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0002400000007200000048000000288000001920000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414142020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,4,5,11,6,14,2,8,10,7,9,13,1,12                                      203,4,5,11,6,14,2,8,10,7,9,13,1,12                                      30(4,5),11,6,8,2,14,10,9,7,13,1,12,3                                    40(4,5,11),8,6,2,(7,10),9,1,14,13,12,3                                  0
RAA20140417201404164501031160000クラウンＣ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　CROWN CUP                                                                                                                                                                                                                                                                                                                                                               クラウンＣ　　　　　クラウンＣ　クラウ0000D 120002000000000000000サラ系３歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　160000002300    001000000003500000020000000100000000500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000141414101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(5,8),9,2,12,1,7,14,3,10,13,4,6,11                                    20(5,8),9,(2,12),7,1,14,3,10,(4,13),6,11                                30(5,8),9,(2,12),(3,7),1,10,14,4,(6,13),11                              405,8,(2,3),9,7,4,1,10,14,(6,11),12,13                                  0
RAA20140415201404144501010340000サラ系一般　Ｃ３１３１４１５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３１３サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,(4,7,10),(2,11),8,5,3,12,6,1                                        20(4,9,10),7,2,11,3,5,8,6,12,1                                          30(2,10),(4,11),3,(7,9),5,(6,12),8,1                                    40(2,10),11,4,3,6,7,5,(8,9),12,1                                        0
