RAA20140116201401154822021160000名古屋ＣＣオルフェウス賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          名古屋ＣＣオルフェウ名古屋ＣＣオ名古屋0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000410000001020000004100000024000000160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010092020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,(7,9),8,6,3,5,4,10,2                                                201,7,9,8,6,5,4,3,(2,10)                                                301,7,5,8,9,3,4,6,(2,10)                                                401,7,5,8,3,4,6,10,2                                                    0
RAA20140103201401024821020770000白鳥特別　１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               白鳥特別　１　　　　白鳥特別　１白鳥特0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000380000000680000002700000019000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,4,5,3,8,2,7,6                                                       201,4,5,3,8,2,7,6                                                       301,4,5,(3,7,8),6,2                                                     401,4,6,2,8,3,5,7                                                       0
RAA20140118201401174822040680000明日から開催！中京競馬　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     明日から開催！中京競明日から開催明日か0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000140000000250000001000000007000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,2,8,6,10,9,7,5,1,3                                                  204,2,8,6,9,10,7,5,3,1                                                  304,2,8,6,7,9,3,10,5,1                                                  404,8,6,7,2,3,5,9,10,1                                                  0
RAA20140118201401174822041180000新春ペガサスＣ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　SHINSHUN PEGASUS CUP                                                                                                                                                                                                                                                                                                                                                    新春ペガサスＣ　　　新春ペガサス新春ペ0000D 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0001500000003450000012000000075000000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,1,3,10,7,4,8,12,5,6,2,11                                            209,1,3,10,7,4,8,6,2,5,12,11                                            309,1,10,3,4,8,6,2,7,5,12,11                                            409,1,10,3,5,8,6,4,7,2,12,11                                            0
RAA20140131201401304823040770000サラＣ１０組　Ｃ１０　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ１０組　Ｃ１０サラＣ１０組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000240000000900000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808083040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,4,3,1,2,5,8,7                                                       206,4,3,1,2,(5,7,8)                                                     306,4,3,1,2,8,7,5                                                       406,4,3,1,8,2,5,7                                                       0
RAA20140103201401024821020370000サラＣ１９組　Ｃ１９　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ１９組　Ｃ１９サラＣ１９組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000240000000900000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,8,5,4,7,6,1                                                       203,2,8,5,4,6,7,1                                                       303,2,8,5,4,(6,7),1                                                     40(2,3),8,5,6,4,7,1                                                     0
RAA20140116201401154822020860000サラＣ１５組　Ｃ１５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ１５組　Ｃ１５サラＣ１５組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000140000000250000001000000007000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,5,9,2,6,7,1,4,8                                                     203,5,9,2,6,(1,7),4,8                                                   303,5,9,2,6,7,1,4,8                                                     403,5,9,6,2,1,7,4,8                                                     0
RAA20140130201401294823030460000サラＣ１７組　Ｃ１７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ１７組　Ｃ１７サラＣ１７組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000240000000900000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,7,3,4,5,2,8,1                                                       206,7,4,3,(2,5),8,1                                                     306,7,4,3,2,5,8,1                                                       406,4,7,3,2,5,1,8                                                       0
RAA20140103201401024821020570000サラＣ１７組　Ｃ１７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ１７組　Ｃ１７サラＣ１７組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000240000000900000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,6,8,9,7,3,4,2,5                                                     201,6,8,3,7,9,4,2,5                                                     301,6,8,3,7,9,4,5,2                                                     40(1,6),3,7,8,4,(2,5,9)                                                 0
RAA20140104201401034821030580000雅史＆亜依結婚記念　Ｃ１１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     雅史＆亜依結婚記念　雅史＆亜依結雅史＆0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000240000000900000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000807071020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,2,3,6,7,8,4                                                         201,2,3,6,7,8,4                                                         301,3,2,6,8,7,4                                                         401,3,2,8,6,7,4                                                         0
RAA20140115201401144822011050000孔雀座特別　Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          孔雀座特別　Ｂ１　　孔雀座特別　孔雀座0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000270000000490000001900000013000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,9,10,3,11,1,6,2,8,4,5                                               207,9,10,3,1,11,6,2,8,4,5                                               307,9,10,3,1,2,11,6,8,4,5                                               407,9,3,2,4,6,1,11,8,10,5                                               0
