RAA20140123201401224416031160000ＴＣＫ女王盃（中央交流）　Ｊｐｎ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TCK JO-O HAI                                                                                                                                                                                                                                                                                                                                                            ＴＣＫ女王盃（中央交ＴＣＫ女王盃ＴＣＫ0000C 140002000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　180000002400    0022000000077000000440000002200000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,8,(1,9),4,7,11,10,2,6,5                                             203,8,(1,9),4,7,11,2,10,6,5                                             30(3,8),9,1,4,7,(2,11),6,5,10                                           403,8,1,4,9,11,(2,7),6,5,10                                             0
RAA20140124201401234416040670000サラ系一般　Ｃ２１１１２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２１１サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    00010000000030000000180000001200000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016161610100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003011,(13,16),12,9,3,(7,8),4,15,(2,10),14,5,1,6                          4016,11,13,12,9,3,(7,8),4,15,10,2,(5,14),1,6                            00                                                                      00                                                                      0
RAA20140125201401244416051180000初夢賞　Ｂ１二Ｂ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          初夢賞　Ｂ１二Ｂ２一初夢賞　Ｂ１初夢賞0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0003200000009600000064000000384000002560000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616162010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000308,4,(3,11),7,2,10,5,9,1,13,16,12,14,15,6                              408,11,4,2,3,7,(5,10),1,9,13,16,12,14,15,6                              00                                                                      00                                                                      0
RAA20140124201401234416040770000サラ系一般　Ｃ２１１１２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２１１サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616161010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,7,8,14,6,2,10,12,(4,5),(9,15),16,11,13,3                            201,7,8,14,2,6,(4,10),5,12,9,15,11,16,13,3                              301,7,(2,6,8),14,(4,5),10,(9,11,15),12,13,3,16                          40(1,7),6,8,2,(4,5),10,14,11,9,15,13,3,12,16                            0
RAA20140123201401224416031060000ゆきやなぎ特別　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               ゆきやなぎ特別　　　ゆきやなぎ特ゆきや0000E 120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0002500000008750000050000000375000002500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,1,8,13,6,10,3,12,(4,7),14,9,5,11                                    20(2,8),1,13,6,3,12,7,(4,10),14,9,5,11                                  302,1,8,12,13,14,9,6,3,4,7,5,11,10                                      401,8,2,12,9,14,(6,13),3,4,5,7,11,10                                    0
RAA20140123201401224416030660000サラ系一般　Ｃ２九十　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２九十サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    00010000000030000000180000001200000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015151510100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003014,4,12,2,11,15,1,10,9,(3,5),7,(6,8),13                               4014,4,12,2,(11,15),1,10,(3,5,9),7,8,6,13                               00                                                                      00                                                                      0
RAA20140121201401204416011140000ウエルカム賞　Ｂ３二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ウエルカム賞　Ｂ３二ウエルカム賞ウエル0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0002500000007500000050000000300000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001615151010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,4,7,12,6,15,(2,9,14),11,5,16,13,1,10                                203,4,7,6,12,2,15,9,11,5,14,16,13,1,10                                  303,4,(6,7),(12,15),11,(13,14,16),2,(5,9),1,10                          403,4,6,7,(12,15),11,16,13,2,14,5,9,1,10                                0
RAA20140122201401214416020650000サラ系一般　Ｃ３十１１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３十１サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    00008000000024000000144000000960000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016161610100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003010,12,15,1,5,8,(4,6),(3,16),(7,9,13),2,11,14                          40(10,12),15,1,8,5,(4,6),(3,7),9,16,13,2,11,14                          00                                                                      00                                                                      0
RAA20140122201401214416021050000望春特別　Ｃ２三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          望春特別　Ｃ２三　　望春特別　Ｃ望春特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    00017000000051000000340000002040000013600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015151510100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003013,14,10,15,(5,6),12,7,9,3,2,11,(1,8),4                               40(13,14),10,5,6,15,7,12,3,9,(2,8,11),1,4                               00                                                                      00                                                                      0
RAA20140124201401234416041070000銀嶺特別　Ｃ１二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          銀嶺特別　Ｃ１二　　銀嶺特別　Ｃ銀嶺特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0002100000006300000042000000252000001680000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616161010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,(4,7,10),11,15,1,3,5,9,6,12,16,8,14,13                              202,4,7,10,15,11,1,9,3,5,6,12,16,8,14,13                                302,4,7,15,10,(1,3),9,11,5,6,8,16,13,14,12                              402,15,4,7,3,(1,10),9,(5,6),8,(11,16),13,14,12                          0
RAA20140125201401244416051280000睦月特別　Ｃ１一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          睦月特別　Ｃ１一　　睦月特別　Ｃ睦月特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    0002100000006300000042000000252000001680000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616161010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,10,4,8,5,13,14,(2,15),(11,12),16,9,3,1,7                            206,10,4,8,5,13,14,(2,15),11,(1,12),9,(3,16),7                          306,10,8,(4,14),2,(5,13,15),1,11,3,12,16,9,7                            406,10,8,14,4,(5,15),2,11,1,3,13,16,9,7,12                              0
RAA20140124201401234416040270000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　　　　　サラ系３歳　サラ系0000  120000000000000000000６１万上８９万未満　　　　　　　　　　　　　　　　　　　　　150000002400    0001300000004550000026000000195000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,7,11,(2,13),3,1,10,14,4,8,(6,9),12                                  205,7,11,(2,13),(1,3,14),10,(4,8),9,6,12                                305,7,11,13,14,3,8,1,10,4,9,12,2,6                                      405,7,(11,13),14,3,8,1,4,10,9,12,6,2                                    0
RAA20140122201401214416020550000サラ系一般　Ｃ３１２１３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３１２サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001515151010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,10,(4,9),14,(1,12),(3,15),5,7,13,11,6,2                             208,10,(4,14),(9,12),1,15,3,7,5,13,11,6,2                               30(10,14),8,12,15,4,7,3,1,9,11,5,13,2,6                                 40(10,14),15,8,7,12,3,4,9,5,13,1,11,2,6                                 0
RAA20140122201401214416020950000サラ系一般　Ｃ２七八　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２七八サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001515151010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,6,8,4,14,3,10,(2,12),7,9,5,15,(11,13)                               201,6,8,4,14,10,3,2,12,7,9,5,15,11,13                                   301,(6,8),10,4,14,12,3,7,2,5,9,(11,15),13                               401,8,10,4,6,12,3,14,7,2,5,11,15,9,13                                   0
RAA20140123201401224416030360000サラ系一般　Ｃ３七八九　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３七八サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001515151010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000301,(6,7),(8,11,13),14,(4,15),(3,5,12),(2,9,10)                         401,7,6,8,13,4,11,(3,5,14),15,12,2,(9,10)                               00                                                                      00                                                                      0
RAA20140121201401204416010840000サラ系一般　Ｃ２五六　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２五六サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616161010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000308,11,13,6,12,3,14,10,4,7,2,15,1,(5,16),9                              408,13,(11,12),6,3,(10,14),4,7,2,15,1,5,16,9                            00                                                                      00                                                                      0
RAA20140123201401224416030960000サラ系一般　Ｃ１四五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１四五サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0001300000003900000023400000156000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616161010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,9,(2,11,12),(4,13),(1,5,14),15,(3,16),(6,7),10                      208,9,12,11,2,13,4,1,5,3,(14,15),16,6,7,10                              308,(2,9,12),11,4,5,(1,13),3,15,7,14,(10,16),6                          408,(2,12),9,(1,4,5,11),(3,7),13,14,15,10,16,6                          0
RAA20140121201401204416010340000サラ系一般　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３　　サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000201,4,5,2,10,11,12,13,6,14,7,3,8,9                                      301,5,10,2,11,6,4,12,7,14,(3,13),8,9                                    401,5,2,(10,11),6,14,(4,7,12),3,13,8,9                                  00                                                                      0
