RAA20140515201405144703020860000若鮎賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          若鮎賞（中央交流）　若鮎賞（中央若鮎賞0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000370000000930000003700000023000000150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,6,8,5,9,7,4,1,3,10                                                  202,6,9,5,8,1,4,7,3,10                                                  30(2,9),5,6,1,4,3,8,7,10                                                409,5,3,2,1,4,10,6,7,8                                                  0
RAA20140515201405144703021060000小瀬特別　１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               小瀬特別　１　　　　小瀬特別　１小瀬特0000E 120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000330000000660000003300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707072010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,1,6,2,3,5,4                                                         207,1,2,6,3,5,4                                                         307,1,6,2,3,4,5                                                         407,6,1,2,3,4,5                                                         0
RAA20140529201405284704020860000揖斐川賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          揖斐川賞（中央交流）揖斐川賞（中揖斐川0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00003700000009300000037000000230000001500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,3,5,9,1,7,6,8,2,4                                                  2010,3,5,1,7,9,6,2,8,4                                                  3010,3,5,7,1,8,6,9,2,4                                                  4010,3,1,(5,8),(6,7),2,4,9                                              0
RAA20140516201405154703030970000サラ系Ｃ２組特選　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ２組特選　Ｃサラ系Ｃ２組サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000140000000280000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,7,10,3,8,6,2,1,9,4                                                  205,7,10,3,8,2,6,1,4,9                                                  305,7,10,(3,8),2,6,4,1,9                                                407,(5,10),(2,8),3,6,4,1,9                                              0
RAA20140513201405124703010340000サラ系３歳４組　４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳４組　４　サラ系３歳４サラ系0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000180000000360000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,7,6,9,10,3,1,5,2,4                                                  208,7,6,9,10,3,1,5,4,2                                                  30(7,8),9,6,10,2,5,3,1,4                                                407,8,10,9,6,2,5,3,1,4                                                  0
RAA20140527201405264704010440000サラ系３歳４組　４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳４組　４　サラ系３歳４サラ系0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000180000000360000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909093010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,9,4,5,8,6,3,1,2                                                     207,9,4,5,8,6,1,3,2                                                     307,9,4,5,8,1,6,3,2                                                     407,9,4,8,5,1,6,3,2                                                     0
RAA20140517201405164703041180000東海クラウン　Ａ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　OPEN(THREE-YEAR-OLD & UP OP)                                                                                                                                                                                                                                                                                                                                            東海クラウン　Ａ１　東海クラウン東海ク0000E 000000000000000000000サラ系一般　ＯＰ　　　　　　　　　　　　　　　　　　　　　　140000002400    0000800000001600000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,7,8,4,3,1,9,6,5                                                     202,7,8,3,4,1,9,5,6                                                     302,7,3,8,1,6,5,4,9                                                     402,7,3,1,8,6,5,9,4                                                     0
RAA20140517201405164703040580000サラ系Ｃ１２・１５組　Ｃ１２１５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ１２・１５組サラ系Ｃ１２サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,4,5,3,8,6,2,7                                                       201,4,3,5,8,2,6,7                                                       301,4,(2,3,5),(6,8),7                                                   404,1,3,2,5,6,8,7                                                       0
RAA20140530201405294704030970000サラ系Ｃ２組特選　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ２組特選　Ｃサラ系Ｃ２組サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000140000000280000001400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,8,9,2,6,10,7,5,3,1                                                  204,8,9,2,6,5,10,7,3,1                                                  308,4,9,6,5,2,10,3,1,7                                                  408,9,6,5,4,2,10,3,1,7                                                  0
RAA20140531201405304704040680000サラ系Ｃ１１組　Ｃ１１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ１１組　Ｃ１サラ系Ｃ１１サラ系0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,5,3,1,6,10,8,2,9,4                                                  207,5,3,6,10,1,8,2,9,4                                                  307,5,3,6,9,10,1,2,8,4                                                  405,6,(3,7),9,1,10,2,8,4                                                0
RAA20140529201405284704020760000健康生活サポート「水素水３６」杯　Ａ４Ｂ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     健康生活サポート「水健康生活サポ健康生0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000180000000360000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,10,9,1,6,2,8,7,4,5                                                  203,10,9,1,2,6,8,7,4,5                                                  30(3,6,10),1,9,(2,7),8,4,5                                              4010,6,3,1,8,9,2,7,5,4                                                  0
