RAA20140824201408235407030510000栴檀特別　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　OPEN(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                                    栴檀特別　　　　　　栴檀特別　　栴檀特0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000300000000750000003600000024000000150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,9,10,4,(7,11),(6,8),1,5                                           202,3,4,10,9,(7,11),1,6,8,5                                             302,3,4,10,11,9,(1,5),7,6,8                                             402,3,4,5,1,9,10,7,11,8,6                                               0
RAA20140901201408315407060220000Ｃ３－４　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ３－４　Ｃ３　　　Ｃ３－４　ＣＣ３－0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000100000000250000001200000008000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,3,(2,8),10,1,4,6,7,9                                                205,3,2,10,1,4,8,6,7,9                                                  305,3,2,10,1,4,6,7,8,9                                                  405,2,10,1,3,4,6,7,8,9                                                  0
RAA20140818201408165407010610000ＡイＢイ混合　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ＡイＢイ混合　　　　ＡイＢイ混合ＡイＢ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    000015000000038000000180000001200000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121212204000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(1,12),9,2,10,6,(4,5),8,3,11,7                                        201,12,(2,9),10,6,(4,5,8),3,11,7                                        3012,(1,2,9),10,(4,6),8,5,3,11,7                                        4012,9,10,4,2,8,1,6,5,3,7,11                                            0
RAA20140825201408245407041120000蜂の巣城特別　Ａ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     蜂の巣城特別　Ａ　　蜂の巣城特別蜂の巣0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000150000000380000001800000012000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000908082040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,8,9,6,3,4,2,7                                                       205,8,(6,9),(3,4),2,7                                                   305,8,9,(3,6),4,(2,7)                                                   405,8,3,9,2,4,6,7                                                       0
