RAA20140618201406174303020950000ナイスサドル特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               ナイスサドル特別（中ナイスサドルナイス0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0002000000006000000040000000240000001600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,7,9,11,4,8,12,1,5,6,10                                            202,3,7,9,11,4,8,12,1,5,6,10                                            30(2,3),7,11,(8,9),12,1,4,(5,6),10                                      402,3,7,11,12,8,1,6,4,10,9,5                                            0
RAA20140619201406184303031060000ファンシーサドル特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ファンシーサドル特別ファンシーサファン0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002300    00040000000120000000800000004800000032000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121220100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011,8,10,2,3,1,5,12,9,6,4,7                                            2011,8,10,2,1,5,3,12,9,6,4,7                                            3011,8,(2,5),3,10,12,1,9,4,6,7                                          4011,8,2,5,12,3,1,4,10,9,6,7                                            0
RAA20140621201406204303050680000サラ系一般　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２　　サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,2,4,5,9,6,10,3,8,11,7                                               201,2,4,5,6,9,10,8,3,11,7                                               301,2,5,9,4,6,8,10,3,11,7                                               401,2,5,9,4,6,8,3,10,11,7                                               0
RAA20140621201406204303050780000川島香澄誕生日記念　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     川島香澄誕生日記念　川島香澄誕生川島香0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000202,6,11,10,5,7,12,1,3,9,4,8                                            302,(6,10,11),12,5,7,9,1,3,4,8                                          406,10,2,11,12,5,7,1,3,9,4,8                                            00                                                                      0
RAA20140621201406204303050480000サラ系一般　Ｃ３一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３一　サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0000900000002700000016200000108000000900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,7,10,2,6,8,3,5,4,11,9                                               201,7,10,2,6,8,3,4,5,11,9                                               301,7,10,(2,8),6,5,3,(4,9),11                                           407,1,10,6,8,2,5,9,3,4,11                                               0
RAA20140617201406164303011040000サラ系一般　Ｃ１三四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１三四サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001100000003300000019800000132000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414142010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,5,7,14,6,13,2,12,11,1,10,3,9,8                                      204,5,7,6,13,14,2,12,11,1,10,3,9,8                                      304,5,7,6,14,13,2,12,11,1,10,3,9,8                                      404,5,7,6,14,2,12,11,13,1,10,3,9,8                                      0
RAA20140619201406184303031160000京成盃グランドマイラーズ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　KEISEI HAI GRAND MILERS                                                                                                                                                                                                                                                                                                                                                 京成盃グランドマイラ京成盃グラン京成盃0000D 130002000000000000000サラ系３歳上　ＯＰ　　　　　　　　　　　　　　　　　　　　　160000002300    0010000000035000000200000001000000005000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414142010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,12,13,5,8,1,10,4,3,14,9,11,6,7                                      202,12,5,13,8,1,10,4,11,3,9,14,6,7                                      30(2,12),(5,13),8,(1,11),3,(4,10),9,14,7,6                              4012,2,5,1,8,3,11,13,10,4,9,7,14,6                                      0
RAA20140619201406184303031260000サラ系一般　Ｃ１二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１二　サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001100000003300000019800000132000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,10,8,2,4,11,1,3,9,6,5                                               207,10,11,8,4,2,3,1,9,6,5                                               30(7,10),11,4,8,3,2,1,9,6,5                                             4010,7,11,4,3,8,2,9,1,6,5                                               0
RAA20140620201406194303041070000青柳特別　Ｂ２二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          青柳特別　Ｂ２二　　青柳特別　Ｂ青柳特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0002400000007200000048000000288000001920000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,7,11,9,4,8,5,1,6,3,10                                               202,7,11,4,9,8,5,1,6,3,10                                               302,7,11,4,(6,8,9),5,1,3,10                                             402,7,11,6,4,9,8,5,1,3,10                                               0
RAA20140619201406184303030260000サラ系一般　Ｃ３四五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３四五サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111114010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,8,6,7,10,1,11,4,9,5,2                                               203,8,6,1,7,4,10,9,11,5,2                                               30(3,8),7,6,1,(4,9),11,10,5,2                                           40(3,8),7,1,6,9,4,11,10,5,2                                             0
