RAA20140114201401135517060840000ノカイドウ特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               ノカイドウ特別（中央ノカイドウ特ノカイ0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0003000000009000000030000000180000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,5,8,4,7,3,1,6                                                       202,5,8,4,7,3,1,6                                                       302,5,8,7,4,3,6,1                                                       405,8,2,7,4,6,1,3                                                       0
RAA20140114201401135517060940000ミヤマキリシマ特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               ミヤマキリシマ特別（ミヤマキリシミヤマ0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0003000000009000000030000000180000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,3,4,7,1,8,2,5,6                                                     209,3,4,7,1,8,2,5,6                                                     309,3,4,8,2,1,7,5,6                                                     409,3,8,4,2,1,5,7,6                                                     0
RAA20140104201401035517030980000頌春賞　Ｂ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     頌春賞　Ｂ　　　　　頌春賞　Ｂ　頌春賞0000  130004000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00002500000005800000023000000130000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101020100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,9,2,1,6,4,8,3,5,7                                                  2010,9,2,1,6,4,8,3,5,7                                                  3010,9,2,4,1,6,8,3,5,7                                                  4010,9,2,4,1,6,8,3,7,5                                                  0
RAA20140106201401055517050920000佐賀プリンス賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD OP                                                                                                                                                                                                                                                                                                                                                       佐賀プリンス賞　　　佐賀プリンス佐賀プ0000  120004000000000000000サラ系３歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　175000002400    0001000000002300000009000000050000000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707072010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,5,1,4,7,6                                                         202,3,5,1,4,7,6                                                         302,3,5,1,4,6,7                                                         402,3,5,1,4,6,7                                                         0
RAA20140120201401195518021020000花吹雪賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　HANAFUBUKI SHO                                                                                                                                                                                                                                                                                                                                                          花吹雪賞　　　　　　花吹雪賞　　花吹雪0000D 120002000000000000000サラ系３歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　180000002400    0001000000002300000009000000050000000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,4,8,1,10,9,5,6,7                                                  202,3,4,8,1,10,9,5,6,7                                                  302,8,10,3,1,4,5,9,6,7                                                  402,1,10,8,3,4,6,5,9,7                                                  0
RAA20140105201401045517040210000Ｃ２－１０組　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      Ｃ２－１０組　Ｃ２　Ｃ２－１０組Ｃ２－0000  140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000100000000230000000900000005000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,4,7,1,6,2,3,8                                                       205,4,7,1,6,2,3,8                                                       305,4,7,6,1,2,3,8                                                       404,7,6,5,1,2,3,8                                                       0
RAA20140105201401045517040610000Ｃ２－４組　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      Ｃ２－４組　Ｃ２　　Ｃ２－４組　Ｃ２－0000  140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000100000000230000000900000005000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,7,1,3,2,10,5,4,9,8                                                  206,7,1,2,3,5,10,8,4,9                                                  306,7,1,2,5,3,10,9,4,8                                                  407,1,6,2,5,3,10,9,4,8                                                  0
RAA20140104201401035517030680000Ｃ２－１２組　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      Ｃ２－１２組　Ｃ２　Ｃ２－１２組Ｃ２－0000  140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000100000000230000000900000005000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,8,9,5,10,4,6,1,2,3                                                  207,8,5,9,10,4,6,1,2,3                                                  307,8,9,5,10,4,2,1,6,3                                                  407,9,8,10,2,4,5,1,6,3                                                  0
RAA20140104201401035517030780000Ｃ２－１１組　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      Ｃ２－１１組　Ｃ２　Ｃ２－１１組Ｃ２－0000  140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000100000000230000000900000005000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,10,1,5,9,3,2,7,4,6                                                  208,10,9,5,1,7,3,2,6,4                                                  308,10,9,5,7,3,4,6,2,1                                                  408,10,5,9,7,3,6,4,2,1                                                  0
RAA20140119201401185518010910000紅梅賞　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     紅梅賞　Ｃ１　　　　紅梅賞　Ｃ１紅梅賞0000  130004000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000150000000350000001400000008000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,11,9,7,1,4,5,10,8,6                                               202,3,11,9,7,1,5,4,10,8,6                                               302,3,11,9,7,5,1,10,4,8,6                                               402,9,11,7,3,1,5,4,10,6,8                                               0
RAA20140120201401195518020820000クロッカス賞　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      クロッカス賞　Ｃ２　クロッカス賞クロッ0000  140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000100000000230000000900000005000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707071010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,7,2,3,5,1,6                                                         204,7,5,2,3,1,6                                                         304,7,3,5,2,6,1                                                         403,7,4,2,5,6,1                                                         0
RAA20140104201401035517030280000Ｃ２－１５組　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      Ｃ２－１５組　Ｃ２　Ｃ２－１５組Ｃ２－0000  140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000100000000230000000900000005000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,7,6,3,4,2,1,5                                                       208,7,6,3,4,1,2,5                                                       308,7,6,2,3,4,1,5                                                       407,8,6,2,3,1,4,5                                                       0
RAA20140126201401255518030510000Ｃ２－１６組　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　FOUR-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                      Ｃ２－１６組　Ｃ２　Ｃ２－１６組Ｃ２－0000  140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000100000000230000000900000005000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909093010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,2,5,8,4,9,6,7,3                                                     201,2,5,8,9,4,6,7,3                                                     301,2,8,5,4,9,7,6,3                                                     401,2,8,5,4,7,9,6,3                                                     0
RAA20140104201401035517031080000佐賀プリンセス賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD OP                                                                                                                                                                                                                                                                                                                                                       佐賀プリンセス賞　　佐賀プリンセ佐賀プ0000  120004000000000000000サラ系３歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　175000002400    0001000000002300000009000000050000000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,3,5,6,7,8,2,4                                                       201,3,5,6,7,8,2,4                                                       303,6,8,1,4,5,2,7                                                       403,6,8,4,1,2,7,5                                                       0
