UM12004020219831000611198505301985080219830528ニッポービューティ　　　　　　　　　ﾆｯﾎﾟｰﾋﾞｭｰﾃｨ                         Nippo Beauty(JPN)                                           0                   00210511200479スピリツトスワプス　　　　　　　　　12218357ニツポースター　　　　　　　　　　　11300075Swaps                               12300013Candela                             11200142サンシー　　　　　　　　　　　　　　12104133ハクオーシアン　　　　　　　　　　　11300432Khaled                              12301948Iron Reward                         11300658The Rabbi                           12300318Congracia                           11300602Sanctus                             12403202Wordys                              11100010トシシロ　　　　　　　　　　　　　　12101259ハクテン　　　　　　　　　　　　　　200179坂口正二　　　　　　　　　　730188園田牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　592004山石　祐一　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219831000621198505231986100119830410エクスプローション　　　　　　　　　ｴｸｽﾌﾟﾛｰｼｮﾝ                          Explosion(JPN)                                              0                   00210411200479スピリツトスワプス　　　　　　　　　12218358ノーザンスイフト　　　　　　　　　　11300075Swaps                               12300013Candela                             11200291ノーザンテースト　　　　　　　　　　12201398ヒタチ　　　　　　　　　　　　　　　11300432Khaled                              12301948Iron Reward                         11300658The Rabbi                           12300318Congracia                           11300102Northern Dancer                     12302035Lady Victoria                       11100685インフアチユエイシヨン　　　　　　　12103737ヤマトザクラ　　　　　　　　　　　　200158北橋修二　　　　　　　　　　730188園田牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　021800信楽牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　000013100000000000000000000000000000000000000000000000000000000002000007000000000002000007000000000000000000000000000001000002000000000000000000000000000000000000000000000001000005000000000000000000000000000000000000000000000001000002000000000000000000000000000000000000000000000000000000000000000001000003000000000000000001000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000001000000000000000001000000000000000000000000000000000002000000000001000003000000000000000000000002000007009
UM12004020219831000781198505211985112219830314ハヤトスピカ　　　　　　　　　　　　ﾊﾔﾄｽﾋﾟｶ                             Hayato Spica(JPN)                                           0                   00210111200560アンズプリテンダー　　　　　　　　　12214180ダイトハーゲン　　　　　　　　　　　11300807Pretense                            12302440Anne La Douce                       11200042コントライト　　　　　　　　　　　　12203019ミスアリゾナ　　　　　　　　　　　　11300343Endeavour                           12401376Imitation                           11300612Silnet                              12403597Sweet Anne                          11300100Never Say Die                       12402197Penitence                           11300288Copenhagen                          12301247Sunny Bay                           200158北橋修二　　　　　　　　　　500178吉原　勇雄　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　528009吉田　三郎　　　　　　　　　　　　　　　　　　　　　　　　　　　000006900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219831000791198505211985081519830421テツノアロー　　　　　　　　　　　　ﾃﾂﾉｱﾛｰ                              Tetsuno Arrow(JPN)                                          0                   03210111200620タマモリマンド　　　　　　　　　　　12208827ハクバコガネ　　　　　　　　　　　　11100960リマンド　　　　　　　　　　　　　　12201127イコマエイカン　　　　　　　　　　　11100798ラークスパー　　　　　　　　　　　　12200380ユニオンスター　　　　　　　　　　　11300010Alcide                              12403231Admonish                            11300601Sallymount                          12105260ヘザーランズ　　　　　　　　　　　　11300100Never Say Die                       12404088Skylarking                          11100627ボウプリンス　　　　　　　　　　　　12105147シングソング　　　　　　　　　　　　200334吉永猛　　　　　　　　　　　400459牧之瀬　護　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　748001神田　薫　　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219831000801198504111986052819830322ビューテイアビーム　　　　　　　　　ﾋﾞｭｰﾃｲｱﾋﾞｰﾑ                         Beauty a Beam(JPN)                                          0                   03210111200620タマモリマンド　　　　　　　　　　　12217507ヤングフリート　　　　　　　　　　　11100960リマンド　　　　　　　　　　　　　　12201127イコマエイカン　　　　　　　　　　　11200132ラム　　　　　　　　　　　　　　　　12201588フジシンザン　　　　　　　　　　　　11300010Alcide                              12403231Admonish                            11300601Sallymount                          12105260ヘザーランズ　　　　　　　　　　　　11300369Fleet Nasrullah                     12402891Teahouse                            11100505アポツスル　　　　　　　　　　　　　12104402オンワードリラ　　　　　　　　　　　200195柴田不二　　　　　　　　　　200179屋附　タエ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　748001神田　薫　　　　　　　　　　　　　　　　　　　　　　　　　　　　000039600000000000000000122000000000000000000000000000000000000000000002000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000002000002
UM12004020219831000811198505211986040419830412オールウェー　　　　　　　　　　　　ｵｰﾙｳｪｰ                              All Way(JPN)                                                0                   00210411200519ストツクウエイ　　　　　　　　　　　12218379オールプリンセス　　　　　　　　　　11400551Tompion                             12301592Tudela                              11200162アンバロイド　　　　　　　　　　　　12103873クインダービー　　　　　　　　　　　11300670Tom Fool                            12404203Sunlight                            11300696Vieux Manoir                        12300278Cha Cha Cha                         11300291Count Amber                         12402735Spencerian                          11100160フルブルーム　　　　　　　　　　　　12101692オールクイン　　　　　　　　　　　　200147小野留嘉　　　　　　　　　　200179屋附　タエ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　030005芝原　憲一　　　　　　　　　　　　　　　　　　　　　　　　　　　000003900000000000000000000000000000000000000000000000000000000000001003000000000000001003000000000000000000000000000000001002000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000001000000000000000000000000000000000001000000000000001000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000000000000001000000000000000000000000000000000001000000000000000000000000000000000000000000000004004
UM12004020219831000851198505231985091819830326ヤングハッピー　　　　　　　　　　　ﾔﾝｸﾞﾊｯﾋﾟｰ                           Young Happy(JPN)                                            0                   04210411200560アンズプリテンダー　　　　　　　　　12214645タニクラウン　　　　　　　　　　　　11300807Pretense                            12302440Anne La Douce                       11200161ザペイシエント　　　　　　　　　　　12207364タカラパーツ　　　　　　　　　　　　11300343Endeavour                           12401376Imitation                           11300612Silnet                              12403597Sweet Anne                          11300247Bold Ruler                          12400096Ambulance                           11100795テスコボーイ　　　　　　　　　　　　12103480オリーブオーシアン　　　　　　　　　200343橋口弘次　　　　　　　　　　800189橋口　虎斗男　　　　　　　　　　　　　　　　　　　　　　　　　　　　　宮崎県　　　　　　　175003梶原　重雄　　　　　　　　　　　　　　　　　　　　　　　　　　　000004600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219831000861198505211985081419830312マルシゲテスコ　　　　　　　　　　　ﾏﾙｼｹﾞﾃｽｺ                            Marushige Tesco(JPN)                                        0                   08210511200536インターグシケン　　　　　　　　　　12204721フアインブルー　　　　　　　　　　　11100795テスコボーイ　　　　　　　　　　　　12106336キヨウエイパンセ　　　　　　　　　　11100627ボウプリンス　　　　　　　　　　　　12105186シエークダウン　　　　　　　　　　　11300558Princely Gift                       12302027Suncourt                            11100520ウイルデイール　　　　　　　　　　　12101928アサライト　　　　　　　　　　　　　11300555Prince Chevalier                    12401420Isabelle Brand                      11300408Hill Gail                           12300745Loaded Dice                         200348松田博資　　　　　　　　　　000442中西　澄男　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　宮崎県　　　　　　　240009坂東島　繁藤　　　　　　　　　　　　　　　　　　　　　　　　　　000004600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219831000891198505101985082219830318キョウワハッソウ　　　　　　　　　　ｷｮｳﾜﾊｯｿｳ                            Kyowa Hasso(JPN)                                            0                   00210111200560アンズプリテンダー　　　　　　　　　12215984キヨウワイーソ　　　　　　　　　　　11300807Pretense                            12302440Anne La Douce                       11100744フイダルゴ　　　　　　　　　　　　　12106569エコン　　　　　　　　　　　　　　　11300343Endeavour                           12401376Imitation                           11300612Silnet                              12403597Sweet Anne                          11301147Arctic Star                         12403464Miss France                         11100253トシハヤ　　　　　　　　　　　　　　12102095レスリーマンナ　　　　　　　　　　　200108安藤正敏　　　　　　　　　　730335協和牧場鹿児島分場　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　520005浅川　吉男　　　　　　　　　　　　　　　　　　　　　　　　　　　000003700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219831000911198504241986032819830523キョウワキンコウ　　　　　　　　　　ｷｮｳﾜｷﾝｺｳ                            Kyowa Kinko(JPN)                                            0                   00210411200560アンズプリテンダー　　　　　　　　　12212007キヨウワローズ　　　　　　　　　　　11300807Pretense                            12302440Anne La Douce                       11100501テユーダーペリオツド　　　　　　　　12103155ペツトスタン　　　　　　　　　　　　11300343Endeavour                           12401376Imitation                           11300612Silnet                              12403597Sweet Anne                          11300522Owen Tudor                          12400630Cornice                             11100263ヒンドスタン　　　　　　　　　　　　12100364ペツトネーシヨン　　　　　　　　　　200331吉岡八郎　　　　　　　　　　730335協和牧場鹿児島分場　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　520005浅川　吉男　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000003000000000000000003000000000000000000000000000000000000000000000000000001000000000000000000000000000000000001000000000000000001000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000001000000000000000001000000000000000000000000002001003
