UM12004020219831000671198505211986040119830524ハイエストオー　　　　　　　　　　　ﾊｲｴｽﾄｵｰ                             Highest O(JPN)                                              0                   00110211200560アンズプリテンダー　　　　　　　　　12216818フジミスキー　　　　　　　　　　　　11300807Pretense                            12302440Anne La Douce                       11200007グツドリー　　　　　　　　　　　　　12107210ヨシフジ　　　　　　　　　　　　　　11300343Endeavour                           12401376Imitation                           11300612Silnet                              12403597Sweet Anne                          11400494Snob                                12400064Alizetta                            11100367マイナーズランプ　　　　　　　　　　12103272レンボクイン　　　　　　　　　　　　200289藤岡範士　　　　　　　　　　500400吉永　清美　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　403005吉永　フヂ　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419831000681198504241988052019830318ハイエストヒーロー　　　　　　　　　ﾊｲｴｽﾄﾋｰﾛｰ                           Highest Hero(JPN)                                           0                   00110111200560アンズプリテンダー　　　　　　　　　12218362ロードフジ　　　　　　　　　　　　　11300807Pretense                            12302440Anne La Douce                       11200017ロードリージ　　　　　　　　　　　　12105094ゾロ　　　　　　　　　　　　　　　　11300343Endeavour                           12401376Imitation                           11300612Silnet                              12403597Sweet Anne                          11300055Sir Gaylord                         12302534Attica                              11300300Crepello                            12301422Zoysia                              200237田之上勲　　　　　　　　　　500400吉永　清美　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　403005吉永　フヂ　　　　　　　　　　　　　　　　　　　　　　　　　　　000084000000000000000000000000000000000018500000000000001000000002001010001000000002001010000000000000000000000000000000001004000000000000000000000000000000000000001000000002000005000000000000000000000000000000000001000000000000001003000000000000000000000000000000000000000000000000000001001000000002000004000000000000000001000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000001004000000000000000000000000000002000003001000000000000002000000000000000000001001006006014
UM42006061419831000691198505211989071919830511ヨシノサキガケ　　　　　　　　　　　ﾖｼﾉｻｷｶﾞｹ                            Yoshino Sakigake(JPN)                                       0                   00110111200560アンズプリテンダー　　　　　　　　　12218363カシマヒカリ　　　　　　　　　　　　11300807Pretense                            12302440Anne La Douce                       11200160イースタンフリート　　　　　　　　　12206097センコウトツプ　　　　　　　　　　　11300343Endeavour                           12401376Imitation                           11300612Silnet                              12403597Sweet Anne                          11300369Fleet Nasrullah                     12400100Amoret                              11400492Skymaster                           12300181Belle of Athens                     200360太宰義人　　　　　　　　　　900400吉永　澄徳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　475009吉永　清人　　　　　　　　　　　　　　　　　　　　　　　　　　　000664300000038800000003352000000000000091500000000000004003002003002023004003002003002023000000000000000000003002002003001015000000000000000003000000000000000000001000000000000002000000000000000000000001000000001003002002000003001010000000001000000005000000000000000002001000001000000001001000000000000002000000000000000000000000000000000000000000000000000000000001000000000002000000000000000000000000000000000000000000000000001001001002002002001012002000000001000005000000000000000001001000000000000002000000000000000000000000000000000000004011014008037
UM12004020219831000701198603191986072519830401ヨシノテンダー　　　　　　　　　　　ﾖｼﾉﾃﾝﾀﾞｰ                            Yoshino Tender(JPN)                                         0                   00110311200560アンズプリテンダー　　　　　　　　　12218364ノボルフアイヤー　　　　　　　　　　11300807Pretense                            12302440Anne La Douce                       11200008ズグ　　　　　　　　　　　　　　　　12200658フイテリオ　　　　　　　　　　　　　11300343Endeavour                           12401376Imitation                           11300612Silnet                              12403597Sweet Anne                          11300094Nasram                              12401703Lucerne                             11100501テユーダーペリオツド　　　　　　　　12104280ホツキユウルワシ　　　　　　　　　　200288福永甲　　　　　　　　　　　900400吉永　澄徳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　475009吉永　清人　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000005000000000000000005000000000000000000000000000000000002000000000000000000000000000000000000000000000000000001000000000000000000000000000000000002000000000000000001000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000001000000000000000001000000000000000001000000000000000000000000000000000001000000000000000000000000000000000000000000002003005
UM12004020219831000711198505211985090719830403タパルクエース　　　　　　　　　　　ﾀﾊﾟﾙｸｴｰｽ                            Tapalque Ace(JPN)                                           0                   00110311200164タパルク　　　　　　　　　　　　　　12211953ハシデイオレラ　　　　　　　　　　　11300194Alizier                             12403204Xora                                11200132ラム　　　　　　　　　　　　　　　　12201874スミカ　　　　　　　　　　　　　　　11301199Teleferique                         12400063Alizarine                           11400122Deux pour Cent                      12402648Sikoro                              11300369Fleet Nasrullah                     12402891Teahouse                            11100706シンザン　　　　　　　　　　　　　　12106558マサゴ　　　　　　　　　　　　　　　200120戌亥信義　　　　　　　　　　200400吉永　等　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　511009吉永　藤雄　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219831000721198505231986032019830419ショウエンリナピー　　　　　　　　　ｼｮｳｴﾝﾘﾅﾋﾟｰ                          Shoen Rinapi(JPN)                                           0                   03110411200167トレンタム　　　　　　　　　　　　　12208946アラサホープ　　　　　　　　　　　　11300090Tudor Melody                        12105160ヴアーヴ　　　　　　　　　　　　　　11200008ズグ　　　　　　　　　　　　　　　　12102793ダイトキツ　　　　　　　　　　　　　11300089Tudor Minstrel                      12300796Matelda                             11300496Nearco                              12301229Straight Verse                      11300094Nasram                              12401703Lucerne                             11100314オートキツ　　　　　　　　　　　　　12101564ダイレン　　　　　　　　　　　　　　200338野元昭　　　　　　　　　　　800172小園　一男　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　474009小園　一男　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219831000731198505211985073019830629ショウエンエイト　　　　　　　　　　ｼｮｳｴﾝｴｲﾄ                            Shoen Eight(JPN)                                            0                   03110111200595オサイチセイダイ　　　　　　　　　　12218370リユウエイト　　　　　　　　　　　　11100923テイツトフオアタツト　　　　　　　　12108828ブランデイナ　　　　　　　　　　　　11100499エイトラツクス　　　　　　　　　　　12104103リユウタイム　　　　　　　　　　　　11300075Swaps                               12300438Explorer                            11300100Never Say Die                       12300166Barbara Sirani                      11300539Pharis                              12403994Sembrana                            11100091ゲイタイム　　　　　　　　　　　　　12101262ワカバ　　　　　　　　　　　　　　　200338野元昭　　　　　　　　　　　000176小園　孝一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　474009小園　一男　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219831000751198505211986032419830524ナンシンコダマ　　　　　　　　　　　ﾅﾝｼﾝｺﾀﾞﾏ                            Nanshin Kodama(JPN)                                         0                   04110411200560アンズプリテンダー　　　　　　　　　12217511カノヤホープ　　　　　　　　　　　　11300807Pretense                            12302440Anne La Douce                       11100557コダマ　　　　　　　　　　　　　　　12202313ミスヒヤクネン　　　　　　　　　　　11300343Endeavour                           12401376Imitation                           11300612Silnet                              12403597Sweet Anne                          11100264ブツフラー　　　　　　　　　　　　　12100944シラオキ　　　　　　　　　　　　　　11100633ボールドゲーリー　　　　　　　　　　12106296シンチヨ　　　　　　　　　　　　　　200236谷八郎　　　　　　　　　　　700176竹本　行男　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　029009塗木　幸二　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219831000761198505211986100819830414アンズボーイ　　　　　　　　　　　　ｱﾝｽﾞﾎﾞｰｲ                            Anne's Boy(JPN)                                             0                   00110511200560アンズプリテンダー　　　　　　　　　12216015カブトスター　　　　　　　　　　　　11300807Pretense                            12302440Anne La Douce                       11100848カブトシロー　　　　　　　　　　　　12106073イチマルヨシ　　　　　　　　　　　　11300343Endeavour                           12401376Imitation                           11300612Silnet                              12403597Sweet Anne                          11100461オーロイ　　　　　　　　　　　　　　12102650パレーカブト　　　　　　　　　　　　11100056リンボー　　　　　　　　　　　　　　12101683チツプヒメ　　　　　　　　　　　　　200148梶与三男　　　　　　　　　　110177服部　文明　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　046005服部　文男　　　　　　　　　　　　　　　　　　　　　　　　　　　000040400000000000000000220000000000000000000000000000000001001000000000000001001000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000002
UM12004020219831000771198505211985072419830325カネグラアンズ　　　　　　　　　　　ｶﾈｸﾞﾗｱﾝｽﾞ                           Kanegura Anne's(JPN)                                        0                   00110111200560アンズプリテンダー　　　　　　　　　12218374グツドレデイ　　　　　　　　　　　　11300807Pretense                            12302440Anne La Douce                       11200007グツドリー　　　　　　　　　　　　　12106067ローヤルチエリー　　　　　　　　　　11300343Endeavour                           12401376Imitation                           11300612Silnet                              12403597Sweet Anne                          11400494Snob                                12400064Alizetta                            11100271ロイヤルウツド　　　　　　　　　　　12101881クインメリー　　　　　　　　　　　　200236谷八郎　　　　　　　　　　　100177服部　文男　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　046005服部　文男　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
