レースID(新),場所,距離,芝・ダート,馬場状態(暫定)
2018062409030812,阪神,1800,ダート,重
番,  馬名,父,父タイプ,母父,母父タイプ
1,キングカヌヌ,キングカメハメハ,キングマンボ系,Tapit,ボールドルーラー系
2,ヒラボクラターシュ,キンシャサノキセキ,サンデーサイレンス系,ワイルドラッシュ,
3,ダイワインパルス,ヴァーミリアン,キングマンボ系,アフリート,ミスプロ系
4,ボンナヴァン,シンボリクリスエス,ロベルト系,フレンチデピュティ,ヴァイスリージェント系
5,リリカルホワイト,ダイワメジャー,サンデーサイレンス系,クロフネ,ヴァイスリージェント系
6,カフジキング,マンハッタンカフェ,サンデーサイレンス系,Kingmambo,キングマンボ系
7,ドラゴンカップ,ステイゴールド,サンデーサイレンス系,Almutawakel,ミスプロ系
8,ウォーターイーグル,マンハッタンカフェ,サンデーサイレンス系,"Boston Harbor",ボールドルーラー系
9,シロニイ,キングカメハメハ,キングマンボ系,サンデーサイレンス,サンデーサイレンス系
10,ナムラヘラクレス,カネヒキリ,サンデーサイレンス系,フォーティナイナー,フォーティナイナー系
11,ティープラズマ,エンパイアメーカー,ミスプロ系,"Mt. Livermore",レッドゴッド系
12,エイシンナセル,ネオユニヴァース,サンデーサイレンス系,コロナドズクエスト,フォーティナイナー系
13,タイマツリ,タイムパラドックス,ロベルト系,パラダイスクリーク,ネヴァーベンド系
14,カバトット,"Trappe Shot",ボールドルーラー系,Siphon,セントサイモン系
15,テイエムテツジン,マヤノトップガン,ロベルト系,ブロッコ,ロベルト系
