順位,母父馬,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
1,サンデーサイレンス, 37- 23- 31-280/371,10.0%,16.2%,24.5%,83,90,86.5,7.1着,6.8人気,40.8,838,371,0,0.0%,6.2%,8.4%,70.64,11.77,61.16
2,ノーザンテースト, 24- 27- 26-214/291,8.2%,17.5%,26.5%,118,93,74.4,7.2着,7.0人気,48.7,1434,364,0,0.0%,9.3%,8.9%,71.33,11.89,60.56
3,マルゼンスキー, 13- 10-  4-153/180,7.2%,12.8%,15.0%,98,36,87.4,7.9着,7.4人気,45.5,1358,254,0,0.0%,5.6%,2.2%,71.59,11.93,60.34
4,Danzig, 13-  9-  8- 68/ 98,13.3%,22.4%,30.6%,136,109,97.6,7.0着,6.4人気,35.5,1028,371,0,0.0%,9.2%,8.2%,71.17,11.86,60.70
5,トウシヨウボーイ, 11- 15- 10-124/160,6.9%,16.3%,22.5%,159,102,70.8,7.3着,7.4人気,50.8,2323,457,0,0.0%,9.4%,6.3%,71.54,11.92,60.39
6,Nureyev, 10-  8-  7- 43/ 68,14.7%,26.5%,36.8%,96,91,126.6,6.3着,6.2人気,36.7,653,248,0,0.0%,11.8%,10.3%,70.91,11.82,60.92
7,サクラバクシンオー,  9- 12-  5- 63/ 89,10.1%,23.6%,29.2%,77,92,101.5,6.8着,6.6人気,27.2,767,317,0,0.0%,13.5%,5.6%,70.55,11.76,61.23
8,サクラユタカオー,  9-  7-  5- 59/ 80,11.3%,20.0%,26.3%,168,93,108.0,6.7着,6.7人気,39.2,1501,357,0,0.0%,8.8%,6.3%,71.00,11.83,60.85
9,リアルシヤダイ,  9-  6-  8- 86/109,8.3%,13.8%,21.1%,68,67,92.5,7.4着,7.7人気,57.0,828,318,0,0.0%,5.5%,7.3%,71.17,11.86,60.70
10,トニービン,  7- 17- 15- 86/125,5.6%,19.2%,31.2%,16,70,40.1,6.9着,6.3人気,42.5,303,225,0,0.0%,13.6%,12.0%,70.91,11.82,60.92
11,リイフオー,  7-  7-  3- 27/ 44,15.9%,31.8%,38.6%,114,86,109.0,5.9着,6.2人気,39.5,720,224,0,0.0%,15.9%,6.8%,71.38,11.90,60.53
12,Nijinsky,  7-  6-  2- 32/ 47,14.9%,27.7%,31.9%,54,55,84.1,7.1着,5.1人気,24.2,366,175,0,0.0%,12.8%,4.3%,71.08,11.85,60.78
13,ブライアンズタイム,  7-  5-  3- 74/ 89,7.9%,13.5%,16.9%,57,70,102.0,8.1着,8.7人気,66.2,737,418,0,0.0%,5.6%,3.4%,71.10,11.85,60.76
14,アンバーシヤダイ,  7-  3-  3- 47/ 60,11.7%,16.7%,21.7%,126,64,161.3,6.8着,7.6人気,49.1,1084,296,0,0.0%,5.0%,5.0%,71.37,11.90,60.53
15,パーソロン,  7-  3-  2- 56/ 68,10.3%,14.7%,17.6%,87,43,106.6,6.5着,6.9人気,38.2,850,249,0,0.0%,4.4%,2.9%,71.85,11.98,60.13
16,Caerleon,  6-  6-  6- 62/ 80,7.5%,15.0%,22.5%,41,53,70.0,7.6着,7.6人気,52.9,552,236,0,0.0%,7.5%,7.5%,70.78,11.80,61.03
17,"Mr. Prospector",  6-  5-  4- 30/ 45,13.3%,24.4%,33.3%,87,98,90.8,6.6着,5.0人気,20.8,658,317,0,0.0%,11.1%,8.9%,70.93,11.82,60.91
18,ヘクタープロテクター,  6-  3-  3- 49/ 61,9.8%,14.8%,19.7%,55,54,94.5,8.6着,8.0人気,66.8,568,278,0,0.0%,4.9%,4.9%,71.14,11.86,60.73
19,テスコボーイ,  5-  5-  5- 41/ 56,8.9%,17.9%,26.8%,53,53,98.6,7.1着,7.1人気,52.4,596,214,0,0.0%,8.9%,8.9%,71.45,11.91,60.46
20,"Green Desert",  5-  5-  3- 21/ 34,14.7%,29.4%,38.2%,78,90,101.6,6.6着,5.9人気,30.6,532,237,0,0.0%,14.7%,8.8%,70.63,11.77,61.16
21,Woodman,  5-  3-  6- 60/ 74,6.8%,10.8%,18.9%,37,62,80.4,8.2着,8.6人気,54.0,558,356,0,0.0%,4.1%,8.1%,70.98,11.83,60.87
