順位,種牡馬,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
306,Topsider,  1-  0-  0-  0/  1,100.0%,100.0%,100.0%,350,140,350.0,1.0着,1.0人気,3.5,350,140,0,0.0%,0.0%,0.0%,70.40,11.73,61.36
307,"Sunshine Forever",  1-  0-  0-  0/  1,100.0%,100.0%,100.0%,400,150,400.0,1.0着,2.0人気,4.0,400,150,0,0.0%,0.0%,0.0%,70.40,11.73,61.36
308,"Stormy Atlantic",  1-  0-  0-  0/  1,100.0%,100.0%,100.0%,420,180,420.0,1.0着,2.0人気,4.2,420,180,0,0.0%,0.0%,0.0%,69.20,11.53,62.43
309,"Master Command",  1-  0-  0-  0/  1,100.0%,100.0%,100.0%,820,240,820.0,1.0着,3.0人気,8.2,820,240,0,0.0%,0.0%,0.0%,69.80,11.63,61.89
310,"Majestic Light",  1-  0-  0-  0/  1,100.0%,100.0%,100.0%,1040,310,1040.0,1.0着,4.0人気,10.4,1040,310,0,0.0%,0.0%,0.0%,70.50,11.75,61.28
311,Langfuhr,  1-  0-  0-  0/  1,100.0%,100.0%,100.0%,540,160,540.0,1.0着,3.0人気,5.4,540,160,0,0.0%,0.0%,0.0%,69.00,11.50,62.61
312,Lahib,  1-  0-  0-  0/  1,100.0%,100.0%,100.0%,360,120,360.0,1.0着,2.0人気,3.6,360,120,0,0.0%,0.0%,0.0%,71.00,11.83,60.85
313,Iffraaj,  1-  0-  0-  0/  1,100.0%,100.0%,100.0%,280,110,280.0,1.0着,1.0人気,2.8,280,110,0,0.0%,0.0%,0.0%,71.00,11.83,60.85
314,Falbrav,  1-  0-  0-  0/  1,100.0%,100.0%,100.0%,370,190,370.0,1.0着,2.0人気,3.7,370,190,0,0.0%,0.0%,0.0%,68.40,11.40,63.16
315,"Closing Argument",  1-  0-  0-  0/  1,100.0%,100.0%,100.0%,700,230,700.0,1.0着,4.0人気,7.0,700,230,0,0.0%,0.0%,0.0%,70.40,11.73,61.36
316,Alydar,  1-  0-  0-  0/  1,100.0%,100.0%,100.0%,140,110,140.0,1.0着,1.0人気,1.4,140,110,0,0.0%,0.0%,0.0%,71.50,11.92,60.42
317,ゴールデンフェザント,  0-  4-  1- 16/ 21,0.0%,19.0%,23.8%,0,41,0.0,6.1着,6.9人気,43.7,,176,0,0.0%,19.0%,4.8%,71.47,11.91,60.45
318,メイショウボーラー,  0-  3-  5- 22/ 30,0.0%,10.0%,26.7%,0,53,0.0,7.7着,7.9人気,68.9,,229,0,0.0%,10.0%,16.7%,71.77,11.96,60.20
319,インデエアンキング,  0-  3-  2-  1/  6,0.0%,50.0%,83.3%,0,141,0.0,3.8着,3.0人気,6.6,,170,0,0.0%,50.0%,33.3%,70.53,11.76,61.25
320,ネオユニヴァース,  0-  3-  1- 42/ 46,0.0%,6.5%,8.7%,0,15,0.0,8.7着,7.2人気,54.6,,182,0,0.0%,6.5%,2.2%,70.95,11.83,60.88
321,サツカーボーイ,  0-  3-  1- 33/ 37,0.0%,8.1%,10.8%,0,31,0.0,9.1着,9.3人気,84.6,,295,0,0.0%,8.1%,2.7%,72.74,12.12,59.39
322,アグネスワールド,  0-  3-  1-  9/ 13,0.0%,23.1%,30.8%,0,157,0.0,6.4着,7.5人気,35.1,,512,0,0.0%,23.1%,7.7%,70.98,11.83,60.86
323,シエルシユールドール,  0-  3-  1-  2/  6,0.0%,50.0%,66.7%,0,315,0.0,5.5着,6.5人気,30.2,,472,0,0.0%,50.0%,16.7%,70.97,11.83,60.87
324,パークリージエント,  0-  3-  0- 27/ 30,0.0%,10.0%,10.0%,0,31,0.0,7.8着,8.6人気,58.6,,317,0,0.0%,10.0%,0.0%,71.78,11.96,60.18
325,ディアブロ,  0-  3-  0- 12/ 15,0.0%,20.0%,20.0%,0,48,0.0,8.5着,10.3人気,110.9,,243,0,0.0%,20.0%,0.0%,71.21,11.87,60.66
326,フォーティナイナーズサン,  0-  3-  0-  8/ 11,0.0%,27.3%,27.3%,0,39,0.0,7.2着,7.4人気,52.2,,143,0,0.0%,27.3%,0.0%,70.86,11.81,60.96
327,クリエイター,  0-  2-  2- 19/ 23,0.0%,8.7%,17.4%,0,64,0.0,6.5着,8.8人気,53.4,,370,0,0.0%,8.7%,8.7%,71.24,11.87,60.64
328,ジェニュイン,  0-  2-  2- 19/ 23,0.0%,8.7%,17.4%,0,35,0.0,7.7着,8.0人気,84.3,,202,0,0.0%,8.7%,8.7%,71.43,11.91,60.48
329,ミホシンザン,  0-  2-  1- 17/ 20,0.0%,10.0%,15.0%,0,92,0.0,6.4着,7.0人気,29.8,,613,0,0.0%,10.0%,5.0%,71.90,11.98,60.09
330,ロイヤルスキー,  0-  2-  1-  6/  9,0.0%,22.2%,33.3%,0,42,0.0,6.8着,6.1人気,23.4,,190,0,0.0%,22.2%,11.1%,72.09,12.01,59.93
331,リンカーン,  0-  2-  1-  5/  8,0.0%,25.0%,37.5%,0,125,0.0,8.9着,7.1人気,23.5,,333,0,0.0%,25.0%,12.5%,72.34,12.06,59.72
332,スマコバクリーク,  0-  2-  1-  2/  5,0.0%,40.0%,60.0%,0,168,0.0,6.6着,7.2人気,69.6,,280,0,0.0%,40.0%,20.0%,71.14,11.86,60.73
333,ラグビーボール,  0-  2-  0-  8/ 10,0.0%,20.0%,20.0%,0,150,0.0,7.0着,7.4人気,53.6,,750,0,0.0%,20.0%,0.0%,72.93,12.16,59.23
334,ロージズインメイ,  0-  2-  0- 11/ 13,0.0%,15.4%,15.4%,0,32,0.0,8.5着,7.5人気,61.1,,210,0,0.0%,15.4%,0.0%,71.28,11.88,60.60
335,インイクストリーミス,  0-  2-  0-  2/  4,0.0%,50.0%,50.0%,0,100,0.0,3.8着,4.8人気,9.4,,200,0,0.0%,50.0%,0.0%,70.60,11.77,61.19
336,ヒシアケボノ,  0-  2-  0-  3/  5,0.0%,40.0%,40.0%,0,172,0.0,4.8着,7.6人気,57.9,,430,0,0.0%,40.0%,0.0%,71.36,11.89,60.54
337,ビッグサンデー,  0-  2-  0-  4/  6,0.0%,33.3%,33.3%,0,56,0.0,7.8着,6.8人気,42.1,,170,0,0.0%,33.3%,0.0%,71.35,11.89,60.55
338,スズカコバン,  0-  2-  0-  4/  6,0.0%,33.3%,33.3%,0,83,0.0,8.3着,9.7人気,91.7,,250,0,0.0%,33.3%,0.0%,72.30,12.05,59.75
339,メジロベイリー,  0-  2-  0-  3/  5,0.0%,40.0%,40.0%,0,70,0.0,6.6着,6.4人気,27.7,,175,0,0.0%,40.0%,0.0%,70.64,11.77,61.16
