順位,種牡馬,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
409,シルクテンザンオー,  0-  1-  0-  1/  2,0.0%,50.0%,50.0%,0,195,0.0,3.5着,7.5人気,27.3,,390,0,0.0%,50.0%,0.0%,70.70,11.78,61.10
410,"Seattle Song",  0-  1-  0-  1/  2,0.0%,50.0%,50.0%,0,90,0.0,3.5着,2.0人気,3.8,,180,0,0.0%,50.0%,0.0%,70.20,11.70,61.54
411,Dynaformer,  0-  1-  0-  1/  2,0.0%,50.0%,50.0%,0,315,0.0,3.5着,11.0人気,29.9,,630,0,0.0%,50.0%,0.0%,68.80,11.47,62.79
412,"Alphabet Soup",  0-  1-  0-  1/  2,0.0%,50.0%,50.0%,0,255,0.0,3.5着,4.5人気,14.8,,510,0,0.0%,50.0%,0.0%,71.15,11.86,60.72
413,Kingmambo,  0-  1-  0- 11/ 12,0.0%,8.3%,8.3%,0,40,0.0,10.4着,6.5人気,29.0,,490,0,0.0%,8.3%,0.0%,71.27,11.88,60.62
414,エンパイアメーカー,  0-  1-  0-  9/ 10,0.0%,10.0%,10.0%,0,19,0.0,8.5着,10.5人気,80.5,,190,0,0.0%,10.0%,0.0%,71.07,11.85,60.79
415,スクリーンヒーロー,  0-  1-  0-  6/  7,0.0%,14.3%,14.3%,0,28,0.0,10.4着,10.3人気,127.3,,200,0,0.0%,14.3%,0.0%,72.01,12.00,59.99
416,"Fairy King",  0-  1-  0-  5/  6,0.0%,16.7%,16.7%,0,55,0.0,11.5着,8.8人気,43.4,,330,0,0.0%,16.7%,0.0%,72.70,12.12,59.42
417,シンウルフ,  0-  1-  0-  4/  5,0.0%,20.0%,20.0%,0,56,0.0,8.0着,6.2人気,25.9,,280,0,0.0%,20.0%,0.0%,71.58,11.93,60.35
418,ワツスル,  0-  1-  0-  3/  4,0.0%,25.0%,25.0%,0,50,0.0,6.5着,3.0人気,5.6,,200,0,0.0%,25.0%,0.0%,71.03,11.84,60.82
419,ヤエノムテキ,  0-  1-  0-  3/  4,0.0%,25.0%,25.0%,0,55,0.0,5.8着,6.5人気,29.2,,220,0,0.0%,25.0%,0.0%,72.25,12.04,59.79
420,ロードアルティマ,  0-  1-  0-  2/  3,0.0%,33.3%,33.3%,0,36,0.0,6.3着,5.3人気,35.2,,110,0,0.0%,33.3%,0.0%,71.37,11.89,60.53
421,ミナラ,  0-  1-  0-  2/  3,0.0%,33.3%,33.3%,0,60,0.0,7.3着,5.3人気,17.5,,180,0,0.0%,33.3%,0.0%,71.40,11.90,60.50
422,ドリームウェル,  0-  1-  0-  2/  3,0.0%,33.3%,33.3%,0,60,0.0,8.0着,5.7人気,55.8,,180,0,0.0%,33.3%,0.0%,72.80,12.13,59.34
423,アドマイヤオーラ,  0-  1-  0-  2/  3,0.0%,33.3%,33.3%,0,73,0.0,8.3着,8.0人気,40.6,,220,0,0.0%,33.3%,0.0%,70.33,11.72,61.42
424,ロングリート,  0-  1-  0-  1/  2,0.0%,50.0%,50.0%,0,70,0.0,5.5着,5.5人気,23.4,,140,0,0.0%,50.0%,0.0%,72.50,12.08,59.59
425,ランフォーエバー,  0-  1-  0-  1/  2,0.0%,50.0%,50.0%,0,190,0.0,7.5着,7.0人気,15.1,,380,0,0.0%,50.0%,0.0%,71.85,11.98,60.13
426,フリートウイング,  0-  1-  0-  1/  2,0.0%,50.0%,50.0%,0,255,0.0,4.5着,6.5人気,22.2,,510,0,0.0%,50.0%,0.0%,71.15,11.86,60.72
427,タップダンスシチー,  0-  1-  0-  1/  2,0.0%,50.0%,50.0%,0,940,0.0,4.0着,13.0人気,75.4,,1880,0,0.0%,50.0%,0.0%,69.75,11.63,61.94
428,タケシバオー,  0-  1-  0-  1/  2,0.0%,50.0%,50.0%,0,60,0.0,8.5着,5.0人気,28.0,,120,0,0.0%,50.0%,0.0%,72.15,12.03,59.88
429,セレスティアルストーム,  0-  1-  0-  1/  2,0.0%,50.0%,50.0%,0,145,0.0,4.5着,4.0人気,9.9,,290,0,0.0%,50.0%,0.0%,71.90,11.98,60.08
430,シルヴアーヴオイス,  0-  1-  0-  1/  2,0.0%,50.0%,50.0%,0,105,0.0,6.0着,7.0人気,44.3,,210,0,0.0%,50.0%,0.0%,71.65,11.94,60.29
431,サーペンフロ,  0-  1-  0-  1/  2,0.0%,50.0%,50.0%,0,50,0.0,5.0着,4.0人気,5.2,,100,0,0.0%,50.0%,0.0%,70.40,11.73,61.36
432,Singspiel,  0-  1-  0-  1/  2,0.0%,50.0%,50.0%,0,50,0.0,9.0着,8.0人気,62.7,,100,0,0.0%,50.0%,0.0%,71.45,11.91,60.46
433,"Conquistador Cielo",  0-  1-  0-  1/  2,0.0%,50.0%,50.0%,0,55,0.0,6.5着,1.5人気,3.7,,110,0,0.0%,50.0%,0.0%,71.10,11.85,60.76
434,Barathea,  0-  1-  0-  1/  2,0.0%,50.0%,50.0%,0,60,0.0,7.5着,2.5人気,4.7,,120,0,0.0%,50.0%,0.0%,70.40,11.73,61.36
435,モンテロッソ,  0-  1-  0-  0/  1,0.0%,100.0%,100.0%,0,1370,0.0,2.0着,5.0人気,23.4,,1370,0,0.0%,100.0%,0.0%,70.70,11.78,61.10
436,ムービースター,  0-  1-  0-  0/  1,0.0%,100.0%,100.0%,0,250,0.0,2.0着,3.0人気,7.0,,250,0,0.0%,100.0%,0.0%,71.10,11.85,60.76
437,コウストンズクラウン,  0-  1-  0-  0/  1,0.0%,100.0%,100.0%,0,190,0.0,2.0着,3.0人気,4.7,,190,0,0.0%,100.0%,0.0%,72.10,12.02,59.92
438,エスポワールシチー,  0-  1-  0-  0/  1,0.0%,100.0%,100.0%,0,540,0.0,2.0着,9.0人気,40.2,,540,0,0.0%,100.0%,0.0%,72.30,12.05,59.75
439,ヴイテイージ,  0-  1-  0-  0/  1,0.0%,100.0%,100.0%,0,940,0.0,2.0着,10.0人気,48.4,,940,0,0.0%,100.0%,0.0%,70.80,11.80,61.02
440,"Law Society",  0-  1-  0-  0/  1,0.0%,100.0%,100.0%,0,270,0.0,2.0着,3.0人気,5.2,,270,0,0.0%,100.0%,0.0%,70.80,11.80,61.02
441,Cuvee,  0-  1-  0-  0/  1,0.0%,100.0%,100.0%,0,170,0.0,2.0着,4.0人気,6.7,,170,0,0.0%,100.0%,0.0%,69.80,11.63,61.89
442,Baillamont,  0-  1-  0-  0/  1,0.0%,100.0%,100.0%,0,160,0.0,2.0着,2.0人気,4.3,,160,0,0.0%,100.0%,0.0%,72.40,12.07,59.67
443,トロメオ,  0-  0-  4- 10/ 14,0.0%,0.0%,28.6%,0,57,0.0,7.6着,8.9人気,56.8,,800,0,0.0%,0.0%,28.6%,71.96,11.99,60.03
444,Concern,  0-  0-  2-  9/ 11,0.0%,0.0%,18.2%,0,180,0.0,6.6着,8.8人気,48.4,,995,0,0.0%,0.0%,18.2%,70.51,11.75,61.27
445,アドマイヤジャパン,  0-  0-  2- 11/ 13,0.0%,0.0%,15.4%,0,33,0.0,8.0着,7.0人気,38.9,,215,0,0.0%,0.0%,15.4%,70.42,11.74,61.34
446,"Forty Niner",  0-  0-  2-  4/  6,0.0%,0.0%,33.3%,0,198,0.0,6.0着,7.8人気,38.5,,595,0,0.0%,0.0%,33.3%,70.85,11.81,60.97
447,メイショウドトウ,  0-  0-  2- 12/ 14,0.0%,0.0%,14.3%,0,65,0.0,6.9着,7.0人気,39.6,,460,0,0.0%,0.0%,14.3%,71.84,11.97,60.14
448,Kaldoun,  0-  0-  2-  2/  4,0.0%,0.0%,50.0%,0,67,0.0,3.8着,2.8人気,5.2,,135,0,0.0%,0.0%,50.0%,70.05,11.68,61.67
449,ストラヴィンスキー,  0-  0-  2- 17/ 19,0.0%,0.0%,10.5%,0,25,0.0,9.8着,9.1人気,68.9,,245,0,0.0%,0.0%,10.5%,71.27,11.88,60.62
450,ヤマニンスキー,  0-  0-  2-  6/  8,0.0%,0.0%,25.0%,0,77,0.0,6.3着,6.1人気,26.1,,310,0,0.0%,0.0%,25.0%,72.46,12.08,59.62
451,ダンスオブライフ,  0-  0-  2-  4/  6,0.0%,0.0%,33.3%,0,155,0.0,7.8着,9.2人気,92.6,,465,0,0.0%,0.0%,33.3%,72.18,12.03,59.85
452,ハイライズ,  0-  0-  2-  3/  5,0.0%,0.0%,40.0%,0,664,0.0,4.6着,6.6人気,45.5,,1660,0,0.0%,0.0%,40.0%,71.76,11.96,60.20
453,トウシヨウイレブン,  0-  0-  2-  1/  3,0.0%,0.0%,66.7%,0,220,0.0,3.3着,6.0人気,19.0,,330,0,0.0%,0.0%,66.7%,70.60,11.77,61.19
454,ローエングリン,  0-  0-  2-  5/  7,0.0%,0.0%,28.6%,0,62,0.0,6.4着,8.1人気,56.0,,220,0,0.0%,0.0%,28.6%,70.56,11.76,61.23
455,スズカマンボ,  0-  0-  2-  7/  9,0.0%,0.0%,22.2%,0,35,0.0,8.9着,9.6人気,84.2,,160,0,0.0%,0.0%,22.2%,71.87,11.98,60.11
456,アルカセット,  0-  0-  2-  3/  5,0.0%,0.0%,40.0%,0,62,0.0,8.0着,8.2人気,82.3,,155,0,0.0%,0.0%,40.0%,71.00,11.83,60.85
457,Swain,  0-  0-  2-  1/  3,0.0%,0.0%,66.7%,0,93,0.0,6.7着,3.3人気,6.7,,140,0,0.0%,0.0%,66.7%,71.23,11.87,60.65
458,"Broad Brush",  0-  0-  2-  0/  2,0.0%,0.0%,100.0%,0,515,0.0,3.0着,4.5人気,11.5,,515,0,0.0%,0.0%,100.0%,70.50,11.75,61.28
459,マツリダゴッホ,  0-  0-  1- 31/ 32,0.0%,0.0%,3.1%,0,23,0.0,8.7着,8.2人気,39.5,,740,0,0.0%,0.0%,3.1%,70.34,11.72,61.42
460,ティンバーカントリー,  0-  0-  1- 21/ 22,0.0%,0.0%,4.5%,0,26,0.0,8.2着,7.6人気,78.2,,580,0,0.0%,0.0%,4.5%,72.08,12.01,59.94
461,タイトスポット,  0-  0-  1- 14/ 15,0.0%,0.0%,6.7%,0,96,0.0,7.6着,9.7人気,70.8,,1440,0,0.0%,0.0%,6.7%,72.01,12.00,59.99
462,ティッカネン,  0-  0-  1- 17/ 18,0.0%,0.0%,5.6%,0,107,0.0,10.1着,10.2人気,79.0,,1940,0,0.0%,0.0%,5.6%,71.80,11.97,60.17
463,"West by West",  0-  0-  1-  2/  3,0.0%,0.0%,33.3%,0,86,0.0,3.7着,5.0人気,14.7,,260,0,0.0%,0.0%,33.3%,70.80,11.80,61.02
464,"Fuji Kiseki",  0-  0-  1-  2/  3,0.0%,0.0%,33.3%,0,40,0.0,3.7着,3.0人気,9.4,,120,0,0.0%,0.0%,33.3%,70.37,11.73,61.39
465,ダハール,  0-  0-  1- 12/ 13,0.0%,0.0%,7.7%,0,30,0.0,10.5着,12.1人気,132.3,,390,0,0.0%,0.0%,7.7%,72.54,12.09,59.55
466,マリエンバード,  0-  0-  1- 11/ 12,0.0%,0.0%,8.3%,0,53,0.0,8.5着,9.3人気,59.8,,640,0,0.0%,0.0%,8.3%,71.44,11.91,60.47
467,スイフトスワロー,  0-  0-  1-  9/ 10,0.0%,0.0%,10.0%,0,14,0.0,8.4着,7.7人気,42.5,,140,0,0.0%,0.0%,10.0%,72.30,12.05,59.75
468,バンブービギン,  0-  0-  1-  7/  8,0.0%,0.0%,12.5%,0,41,0.0,9.0着,10.3人気,60.9,,330,0,0.0%,0.0%,12.5%,71.63,11.94,60.31
469,アルデバラン2,  0-  0-  1-  6/  7,0.0%,0.0%,14.3%,0,30,0.0,8.6着,8.9人気,40.6,,210,0,0.0%,0.0%,14.3%,70.89,11.81,60.94
470,Theatrical,  0-  0-  1-  6/  7,0.0%,0.0%,14.3%,0,21,0.0,7.1着,5.3人気,40.6,,150,0,0.0%,0.0%,14.3%,71.56,11.93,60.37
471,ピルサドスキー,  0-  0-  1-  8/  9,0.0%,0.0%,11.1%,0,97,0.0,8.6着,8.7人気,77.7,,880,0,0.0%,0.0%,11.1%,72.18,12.03,59.85
472,"Devil's Bag",  0-  0-  1-  4/  5,0.0%,0.0%,20.0%,0,20,0.0,10.2着,7.0人気,57.6,,100,0,0.0%,0.0%,20.0%,71.60,11.93,60.34
473,ノーパスノーセール,  0-  0-  1-  3/  4,0.0%,0.0%,25.0%,0,95,0.0,5.8着,7.8人気,55.3,,380,0,0.0%,0.0%,25.0%,71.30,11.88,60.59
474,アウザール,  0-  0-  1-  3/  4,0.0%,0.0%,25.0%,0,272,0.0,6.3着,10.0人気,88.3,,1090,0,0.0%,0.0%,25.0%,71.65,11.94,60.29
475,Aldebaran,  0-  0-  1-  3/  4,0.0%,0.0%,25.0%,0,87,0.0,7.0着,4.5人気,21.3,,350,0,0.0%,0.0%,25.0%,70.35,11.73,61.41
476,ノノアルコ,  0-  0-  1-  2/  3,0.0%,0.0%,33.3%,0,0,0.0,6.0着,4.3人気,9.4,,,0,0.0%,0.0%,33.3%,70.83,11.81,60.99
477,"Put It Back",  0-  0-  1-  2/  3,0.0%,0.0%,33.3%,0,313,0.0,7.7着,7.3人気,18.2,,940,0,0.0%,0.0%,33.3%,69.20,11.53,62.43
478,Lycius,  0-  0-  1-  2/  3,0.0%,0.0%,33.3%,0,33,0.0,5.7着,3.0人気,10.1,,100,0,0.0%,0.0%,33.3%,72.03,12.01,59.97
479,ニシノスキー,  0-  0-  1-  1/  2,0.0%,0.0%,50.0%,0,130,0.0,3.5着,5.5人気,10.7,,260,0,0.0%,0.0%,50.0%,71.10,11.85,60.76
480,ナトルーン,  0-  0-  1-  1/  2,0.0%,0.0%,50.0%,0,455,0.0,3.5着,7.0人気,21.6,,910,0,0.0%,0.0%,50.0%,71.20,11.87,60.67
481,Vettori,  0-  0-  1-  1/  2,0.0%,0.0%,50.0%,0,140,0.0,3.5着,4.5人気,11.3,,280,0,0.0%,0.0%,50.0%,71.80,11.97,60.17
482,"Slew City Slew",  0-  0-  1-  1/  2,0.0%,0.0%,50.0%,0,0,0.0,3.5着,5.0人気,17.7,,,0,0.0%,0.0%,50.0%,72.25,12.04,59.79
483,ゼンノエルシド,  0-  0-  1-  9/ 10,0.0%,0.0%,10.0%,0,170,0.0,10.0着,10.2人気,74.1,,1700,0,0.0%,0.0%,10.0%,71.03,11.84,60.82
484,ベリフア,  0-  0-  1-  7/  8,0.0%,0.0%,12.5%,0,131,0.0,9.5着,8.5人気,52.0,,1050,0,0.0%,0.0%,12.5%,72.25,12.04,59.79
485,ミホノブルボン,  0-  0-  1-  6/  7,0.0%,0.0%,14.3%,0,32,0.0,9.7着,9.3人気,73.2,,230,0,0.0%,0.0%,14.3%,72.21,12.04,59.82
486,ジユニアス,  0-  0-  1-  6/  7,0.0%,0.0%,14.3%,0,34,0.0,8.1着,8.9人気,57.1,,240,0,0.0%,0.0%,14.3%,71.06,11.84,60.80
487,アイネスフウジン,  0-  0-  1-  5/  6,0.0%,0.0%,16.7%,0,71,0.0,8.3着,7.7人気,65.8,,430,0,0.0%,0.0%,16.7%,71.07,11.84,60.79
488,"Lear Fan",  0-  0-  1-  4/  5,0.0%,0.0%,20.0%,0,486,0.0,10.0着,10.4人気,114.5,,2430,0,0.0%,0.0%,20.0%,71.18,11.86,60.69
489,フサイチリシャール,  0-  0-  1-  3/  4,0.0%,0.0%,25.0%,0,80,0.0,8.8着,7.3人気,24.5,,320,0,0.0%,0.0%,25.0%,70.53,11.75,61.25
490,キャプテントゥーレ,  0-  0-  1-  3/  4,0.0%,0.0%,25.0%,0,27,0.0,7.8着,5.3人気,24.3,,110,0,0.0%,0.0%,25.0%,71.28,11.88,60.61
491,Riverman,  0-  0-  1-  3/  4,0.0%,0.0%,25.0%,0,387,0.0,9.0着,8.3人気,42.2,,1550,0,0.0%,0.0%,25.0%,71.45,11.91,60.46
492,ムーンマツドネス,  0-  0-  1-  2/  3,0.0%,0.0%,33.3%,0,163,0.0,5.7着,4.0人気,16.2,,490,0,0.0%,0.0%,33.3%,73.10,12.18,59.10
493,ベルマン,  0-  0-  1-  1/  2,0.0%,0.0%,50.0%,0,95,0.0,4.0着,3.0人気,4.4,,190,0,0.0%,0.0%,50.0%,72.10,12.02,59.92
494,Selkirk,  0-  0-  1-  1/  2,0.0%,0.0%,50.0%,0,165,0.0,4.0着,5.0人気,9.9,,330,0,0.0%,0.0%,50.0%,70.30,11.72,61.45
495,"Danehill Dancer",  0-  0-  1-  1/  2,0.0%,0.0%,50.0%,0,120,0.0,4.0着,6.0人気,13.4,,240,0,0.0%,0.0%,50.0%,71.10,11.85,60.76
496,マイニング,  0-  0-  1-  8/  9,0.0%,0.0%,11.1%,0,21,0.0,8.8着,8.2人気,71.4,,190,0,0.0%,0.0%,11.1%,72.83,12.14,59.31
497,"Deputy Minister",  0-  0-  1-  7/  8,0.0%,0.0%,12.5%,0,25,0.0,9.5着,9.4人気,36.4,,200,0,0.0%,0.0%,12.5%,71.03,11.84,60.82
498,メイショウサムソン,  0-  0-  1-  6/  7,0.0%,0.0%,14.3%,0,275,0.0,9.7着,11.7人気,107.0,,1930,0,0.0%,0.0%,14.3%,70.70,11.78,61.10
499,マジックマイルズ,  0-  0-  1-  6/  7,0.0%,0.0%,14.3%,0,21,0.0,7.9着,8.0人気,71.0,,150,0,0.0%,0.0%,14.3%,71.44,11.91,60.47
500,トーセンダンス,  0-  0-  1-  6/  7,0.0%,0.0%,14.3%,0,38,0.0,7.9着,9.4人気,83.3,,270,0,0.0%,0.0%,14.3%,70.71,11.79,61.09
501,ミュージックタイム,  0-  0-  1-  5/  6,0.0%,0.0%,16.7%,0,141,0.0,9.3着,11.3人気,103.6,,850,0,0.0%,0.0%,16.7%,72.08,12.01,59.93
502,スタチューオブリバティ,  0-  0-  1-  5/  6,0.0%,0.0%,16.7%,0,40,0.0,10.5着,9.0人気,65.4,,240,0,0.0%,0.0%,16.7%,70.30,11.72,61.45
503,ギヤロツプダイナ,  0-  0-  1-  5/  6,0.0%,0.0%,16.7%,0,78,0.0,7.3着,8.0人気,39.2,,470,0,0.0%,0.0%,16.7%,72.02,12.00,59.99
504,ダイタクリーヴァ,  0-  0-  1-  4/  5,0.0%,0.0%,20.0%,0,206,0.0,10.2着,11.6人気,92.6,,1030,0,0.0%,0.0%,20.0%,71.24,11.87,60.64
505,ワークフォース,  0-  0-  1-  3/  4,0.0%,0.0%,25.0%,0,35,0.0,7.8着,6.5人気,49.5,,140,0,0.0%,0.0%,25.0%,70.88,11.81,60.95
506,ライラリツジ,  0-  0-  1-  3/  4,0.0%,0.0%,25.0%,0,575,0.0,7.3着,11.3人気,129.7,,2300,0,0.0%,0.0%,25.0%,71.78,11.96,60.19
507,ディープブリランテ,  0-  0-  1-  3/  4,0.0%,0.0%,25.0%,0,40,0.0,9.3着,5.8人気,90.7,,160,0,0.0%,0.0%,25.0%,71.23,11.87,60.65
508,Meadowlake,  0-  0-  1-  3/  4,0.0%,0.0%,25.0%,0,62,0.0,9.3着,7.5人気,43.1,,250,0,0.0%,0.0%,25.0%,71.93,11.99,60.06
509,ハイアーゲーム,  0-  0-  1-  2/  3,0.0%,0.0%,33.3%,0,190,0.0,7.3着,9.0人気,57.0,,570,0,0.0%,0.0%,33.3%,71.33,11.89,60.56
510,ドウカンヤシマ,  0-  0-  1-  2/  3,0.0%,0.0%,33.3%,0,136,0.0,9.0着,8.7人気,55.1,,410,0,0.0%,0.0%,33.3%,72.70,12.12,59.42
511,セイウンスカイ,  0-  0-  1-  2/  3,0.0%,0.0%,33.3%,0,80,0.0,8.3着,8.3人気,28.3,,240,0,0.0%,0.0%,33.3%,71.77,11.96,60.20
512,サニーシプレー,  0-  0-  1-  2/  3,0.0%,0.0%,33.3%,0,63,0.0,6.3着,8.0人気,28.3,,190,0,0.0%,0.0%,33.3%,70.53,11.76,61.25
513,サクラケイザンオー,  0-  0-  1-  2/  3,0.0%,0.0%,33.3%,0,203,0.0,7.0着,9.7人気,59.4,,610,0,0.0%,0.0%,33.3%,71.30,11.88,60.59
514,サクライツトー,  0-  0-  1-  2/  3,0.0%,0.0%,33.3%,0,186,0.0,5.0着,7.3人気,50.7,,560,0,0.0%,0.0%,33.3%,72.63,12.11,59.48
515,ヴィクトワールピサ,  0-  0-  1-  2/  3,0.0%,0.0%,33.3%,0,373,0.0,7.0着,9.0人気,27.7,,1120,0,0.0%,0.0%,33.3%,69.97,11.66,61.74
516,アッミラーレ,  0-  0-  1-  2/  3,0.0%,0.0%,33.3%,0,90,0.0,9.3着,10.3人気,83.0,,270,0,0.0%,0.0%,33.3%,70.33,11.72,61.42
517,"Desert Prince",  0-  0-  1-  2/  3,0.0%,0.0%,33.3%,0,80,0.0,7.7着,5.7人気,16.9,,240,0,0.0%,0.0%,33.3%,70.83,11.81,60.99
518,ミスターシクレノン,  0-  0-  1-  1/  2,0.0%,0.0%,50.0%,0,220,0.0,5.0着,6.0人気,23.7,,440,0,0.0%,0.0%,50.0%,72.00,12.00,60.00
519,マツチレススピード,  0-  0-  1-  1/  2,0.0%,0.0%,50.0%,0,415,0.0,6.5着,8.5人気,32.6,,830,0,0.0%,0.0%,50.0%,71.95,11.99,60.04
520,ホツトスパーク,  0-  0-  1-  1/  2,0.0%,0.0%,50.0%,0,260,0.0,6.5着,7.0人気,31.4,,520,0,0.0%,0.0%,50.0%,72.55,12.09,59.55
521,ビコーペガサス,  0-  0-  1-  1/  2,0.0%,0.0%,50.0%,0,150,0.0,4.5着,4.5人気,8.7,,300,0,0.0%,0.0%,50.0%,71.20,11.87,60.67
522,ニチドウタロー,  0-  0-  1-  1/  2,0.0%,0.0%,50.0%,0,235,0.0,5.0着,5.0人気,15.3,,470,0,0.0%,0.0%,50.0%,73.15,12.19,59.06
523,ゴールドマサユキ,  0-  0-  1-  1/  2,0.0%,0.0%,50.0%,0,190,0.0,5.0着,8.5人気,39.0,,380,0,0.0%,0.0%,50.0%,71.00,11.83,60.85
524,"Sadler's Wells",  0-  0-  1-  1/  2,0.0%,0.0%,50.0%,0,55,0.0,4.5着,1.5人気,2.3,,110,0,0.0%,0.0%,50.0%,72.75,12.13,59.38
525,"El Gran Senor",  0-  0-  1-  1/  2,0.0%,0.0%,50.0%,0,95,0.0,6.0着,4.5人気,6.1,,190,0,0.0%,0.0%,50.0%,71.15,11.86,60.72
526,"Afternoon Deelites",  0-  0-  1-  1/  2,0.0%,0.0%,50.0%,0,135,0.0,8.0着,4.5人気,15.8,,270,0,0.0%,0.0%,50.0%,70.85,11.81,60.97
527,ロジンスキー,  0-  0-  1-  0/  1,0.0%,0.0%,100.0%,0,260,0.0,3.0着,6.0人気,11.1,,260,0,0.0%,0.0%,100.0%,69.40,11.57,62.25
528,ヤマニンケイ,  0-  0-  1-  0/  1,0.0%,0.0%,100.0%,0,390,0.0,3.0着,8.0人気,27.6,,390,0,0.0%,0.0%,100.0%,72.80,12.13,59.34
529,ペンシルプツシヤー,  0-  0-  1-  0/  1,0.0%,0.0%,100.0%,0,230,0.0,3.0着,4.0人気,6.5,,230,0,0.0%,0.0%,100.0%,71.80,11.97,60.17
530,プライマリー2,  0-  0-  1-  0/  1,0.0%,0.0%,100.0%,0,220,0.0,3.0着,4.0人気,10.2,,220,0,0.0%,0.0%,100.0%,71.90,11.98,60.08
531,フジノフウウン,  0-  0-  1-  0/  1,0.0%,0.0%,100.0%,0,140,0.0,3.0着,2.0人気,5.4,,140,0,0.0%,0.0%,100.0%,71.70,11.95,60.25
532,フィールドアスカ,  0-  0-  1-  0/  1,0.0%,0.0%,100.0%,0,8320,0.0,3.0着,14.0人気,223.5,,8320,0,0.0%,0.0%,100.0%,71.10,11.85,60.76
533,トウショウマリオ,  0-  0-  1-  0/  1,0.0%,0.0%,100.0%,0,0,0.0,3.0着,3.0人気,6.6,,,0,0.0%,0.0%,100.0%,71.80,11.97,60.17
534,シリウスシンボリ,  0-  0-  1-  0/  1,0.0%,0.0%,100.0%,0,640,0.0,3.0着,11.0人気,38.6,,640,0,0.0%,0.0%,100.0%,71.00,11.83,60.85
535,シーホーク,  0-  0-  1-  0/  1,0.0%,0.0%,100.0%,0,510,0.0,3.0着,8.0人気,21.3,,510,0,0.0%,0.0%,100.0%,70.10,11.68,61.63
536,クラウンドプリンス,  0-  0-  1-  0/  1,0.0%,0.0%,100.0%,0,270,0.0,3.0着,6.0人気,8.0,,270,0,0.0%,0.0%,100.0%,70.70,11.78,61.10
537,カンパニー,  0-  0-  1-  0/  1,0.0%,0.0%,100.0%,0,440,0.0,3.0着,9.0人気,20.6,,440,0,0.0%,0.0%,100.0%,70.20,11.70,61.54
538,アグネスカミカゼ,  0-  0-  1-  0/  1,0.0%,0.0%,100.0%,0,790,0.0,3.0着,7.0人気,39.1,,790,0,0.0%,0.0%,100.0%,70.90,11.82,60.93
539,"Time for a Change",  0-  0-  1-  0/  1,0.0%,0.0%,100.0%,0,100,0.0,3.0着,1.0人気,2.0,,100,0,0.0%,0.0%,100.0%,72.50,12.08,59.59
540,Omnicorp,  0-  0-  1-  0/  1,0.0%,0.0%,100.0%,0,350,0.0,3.0着,8.0人気,17.9,,350,0,0.0%,0.0%,100.0%,69.90,11.65,61.80
541,Motivator,  0-  0-  1-  0/  1,0.0%,0.0%,100.0%,0,180,0.0,3.0着,2.0人気,6.6,,180,0,0.0%,0.0%,100.0%,70.60,11.77,61.19
542,Buckaroo,  0-  0-  1-  0/  1,0.0%,0.0%,100.0%,0,0,0.0,3.0着,2.0人気,3.0,,,0,0.0%,0.0%,100.0%,70.30,11.72,61.45
543,テイエムオペラオー,  0-  0-  0- 10/ 10,0.0%,0.0%,0.0%,0,0,0.0,7.1着,8.6人気,68.4,,,0,0.0%,0.0%,0.0%,71.11,11.85,60.75
544,テンパレートシル,  0-  0-  0- 11/ 11,0.0%,0.0%,0.0%,0,0,0.0,7.2着,7.0人気,32.1,,,0,0.0%,0.0%,0.0%,72.53,12.09,59.56
545,シニスターミニスター,  0-  0-  0-  9/  9,0.0%,0.0%,0.0%,0,0,0.0,7.1着,9.7人気,49.9,,,0,0.0%,0.0%,0.0%,70.66,11.78,61.14
546,マラキム,  0-  0-  0-  7/  7,0.0%,0.0%,0.0%,0,0,0.0,7.6着,7.0人気,33.3,,,0,0.0%,0.0%,0.0%,71.84,11.97,60.13
547,リーフグレイド,  0-  0-  0-  4/  4,0.0%,0.0%,0.0%,0,0,0.0,5.0着,3.0人気,6.2,,,0,0.0%,0.0%,0.0%,70.28,11.71,61.47
548,Hussonet,  0-  0-  0-  4/  4,0.0%,0.0%,0.0%,0,0,0.0,6.0着,8.0人気,33.7,,,0,0.0%,0.0%,0.0%,70.03,11.67,61.69
549,ミスターシービー,  0-  0-  0-  8/  8,0.0%,0.0%,0.0%,0,0,0.0,7.3着,8.6人気,68.1,,,0,0.0%,0.0%,0.0%,72.89,12.15,59.27
550,アーミジャー,  0-  0-  0-  7/  7,0.0%,0.0%,0.0%,0,0,0.0,7.1着,5.9人気,17.2,,,0,0.0%,0.0%,0.0%,71.59,11.93,60.35
551,タツプオンウツド,  0-  0-  0-  5/  5,0.0%,0.0%,0.0%,0,0,0.0,6.4着,6.2人気,26.7,,,0,0.0%,0.0%,0.0%,70.76,11.79,61.05
552,"Polish Precedent",  0-  0-  0-  2/  2,0.0%,0.0%,0.0%,0,0,0.0,4.0着,2.0人気,5.8,,,0,0.0%,0.0%,0.0%,72.60,12.10,59.50
553,ナリタブライアン,  0-  0-  0-  9/  9,0.0%,0.0%,0.0%,0,0,0.0,9.6着,8.7人気,51.5,,,0,0.0%,0.0%,0.0%,71.46,11.91,60.46
