RA720030505200305030401011230000中ノ岳特別　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　NAKANODAKE TOKUBETSU                                                                                                                                                                                                                                                                                                                                                    中ノ岳特別　　　　　中ノ岳特別　中ノ岳0000E 14A002000000005010005　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　180000001200B   0010500000042000000260000001600000010500000000000000000000000000000000000000000000000000000000000000553000001580000007900000000000000000000000000000000000000000161000001616161101281151171211241181161101170000000000000000000000000000000000000000000000000000360481343461311,13,11(6,9,14)(10,16)(7,12)(8,15)=(3,5)-4,2                          411,13,11(9,14,16)(6,10,12)(7,15)8=(3,5)-(2,4)                          00                                                                      00                                                                      0
RA720030505200305040401020120000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        　　　　　　　　　　　　　　　　　　　0000  120033000703000000703　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　180000002300    0005100000020000000130000000770000005100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000095500001010101011331191371391351271281251290000000000000000000000000000000000000000000000000000389528382509118(4,9)7(1,5)3,6,2-10                                                  218(4,9)(1,7)5,3-6,2,10                                                 318,9(4,7)(1,3)(5,2)10-6                                                418(9,7)(4,3)(1,2)5,10-6                                                0
RA720030505200305040401020220000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        　　　　　　　　　　　　　　　　　　　0000  120033000703000000703　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　180000001200B   0005100000020000000130000000770000005100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102000001010101101321211251261371321201081130000000000000000000000000000000000000000000000000000378504341473319,10(6,7,8)(4,3)(2,5)1                                                419(10,8)(6,7)(4,3)1(2,5)                                               00                                                                      00                                                                      0
RA720030505200305040401020320000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        　　　　　　　　　　　　　　　　　　　0000  120033000703000000703　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　180000002300    000510000002000000013000000077000000510000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010450000121111101130112131142138130132131128000000000000000000000000000000000000000000000000000037351539152111(*1,2)-3,12(4,8)-(5,11,9)-7,6   10                                    211,2(3,12)(4,8)(11,9)5,7-6   10                                        31(*1,2)(3,12,8)4,11(5,7,9)-6   10                                      411(2,12)(3,8)4,11,5(7,9)-6   10                                        0
RA720030505200305040401020420000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        　　　　　　　　　　　　　　　　　　　0000  12A033000703000000703　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    00051000000200000001300000007700000051000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110000015151510112311311612612612700000000000000000000000000000000000000000000000000000000000003524783794953112(6,11)(1,5)(7,14)(8,13)10-(2,9)-4-15=3                              4112,11(6,5)1(7,14)8,13-10,9,2=4=15=3                                   00                                                                      00                                                                      0
RA720030505200305040401020520000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        　　　　　　　　　　　　　　　　　　　0000  12A033000703000000703　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000001100B   0005100000020000000130000000770000005100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000113500001414141101221071081201231241250000000000000000000000000000000000000000000000000000000000337457372492318(7,9)(3,4)2(5,11)(6,10,12)(1,14)-13                                  41(*8,7,9)(3,4)(5,2,11)6(10,12)(1,14)-13                                00                                                                      00                                                                      0
RA720030505200305040401020620000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        　　　　　　　　　　　　　　　　　　　0000  140232000000005010005　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　180000002300    000750000003000000019000000110000000750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012350000141414101125117128135129127132131130000000000000000000000000000000000000000000000000000037050539352011(*10,2,8)(1,4)3(6,7,13)5(9,14)(11,12)                                 2110,2,8(1,4)(3,7,13)6-(5,14)9(11,12)                                   31(*10,2,8)(1,4,13)(3,7,6)14-9,5-12-11                                  41(*10,2,8,13)(1,4,6,14)(3,7)9-5-12=11                                  0
RA720030505200305040401020720000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        　　　　　　　　　　　　　　　　　　　0000  140032000000005010005　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　220000001100B   0007500000030000000190000001100000007500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000130500001616161101251161221301281291261231201211150000000000000000000000000000000000000000000000363493356479116(5,2,11)(1,3,12)8(7,10)-9(14,15)16-4-13                              216-(5,2,11)(3,12)(1,8)(7,10)-14(16,9,15)-(13,4)                        316,2(5,11)(1,3)(8,10,12)16,7-(14,15)=(13,4)9                           416,2(5,11)(1,3,10)8(7,16,12)-(14,15)=(13,4)-9                          0
RA720030505200305040401020820000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　                                                                                                                                                                                                                                                                                                                                                                        　　　　　　　　　　　　　　　　　　　0000  14A032000000005010005　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    000750000003000000019000000110000000750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013350000151515101122109115124121130000000000000000000000000000000000000000000000000000000000000034647037549031(10,*13)14,1(9,15)(2,6)(11,12)(7,5)8(3,4)                             4113(10,14)-(1,15)(2,6,9)-12(7,5,11)3,4,8                               00                                                                      00                                                                      0
RA720030505200305040401020920000こけもも賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　KOKEMOMO SHO                                                                                                                                                                                                                                                                                                                                                            こけもも賞　　　　　こけもも賞　こけも0000E 12A043000005000000005　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　200000001200B   0010000000040000000250000001500000010000000000000000000000000000000000000000000000000000000000000000238000000680000003400000000000000000000000000000000000000000141000000808081101261131211281301321261171101150000000000000000000000000000000000000000000000000360488342468311,8,3,4(5,6)(2,7)                                                     411(3,8)(5,4)6(2,7)                                                     00                                                                      00                                                                      0
