SEB2005063020050515M00000090110000000000MOUNT STREET                        00310005000000ラクソン000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　570000000000000000ワデル　　　　　00502    01111000000T        0000000000000000000000000000000000000000000000000000MUMMIFY                             0000000000　　　　　　　　　　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000000000000000
SEB2005063020050515M00000090120000000000TERFEL                              00310006000000マーフィ000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　570000000000000000パンパ　　　　　00461    00606000000134      0000000000000000000000000000000000000000000000000000MUMMIFY                             0000000000　　　　　　　　　　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000000000000000
SEB2005063020050515M00000090130000000000ALEXANDER GOLDRUN                   00210004000000ボルジャ000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　555000000000000000マニング　　　　00420    00303000000234      0000000000000000000000000000000000000000000000000000MUMMIFY                             0000000000　　　　　　　　　　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000000000000000
SEB2005063020050515M00000090140000000000SAMANDO                             00210005000000ドゥーメ000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　555000000000000000ルグリ　　　　　00403    00909000000314      0000000000000000000000000000000000000000000000000000MUMMIFY                             0000000000　　　　　　　　　　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000000000000000
SEB2005063020050515M00000090150000000000SHAGGADELIC                         00110004000000ショー　000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　545000000000000000デュプレ　　　　00481    01313000000 34      0000000000000000000000000000000000000000000000000000MUMMIFY                             0000000000　　　　　　　　　　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000000000000000
SEB2005063020050618A60000030010000000000AUTONIUS PIUS                       00110004000000オブライ000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　590000000000000000ファロン　　　　00       01515000000K        0000000000000000000000000000000000000000001998190012ケープオブグッドホープ　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000000000000000
SEB2005063020050618A60000030020000000000BAHAMIAN PIRATE                     00310010000000ニコルス000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　590000000000000000ヒューズ　　　　00       10000000000         0000000000000000000000000000000000000009991998190012ケープオブグッドホープ　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　9999000000000000000000
SEB2005063020050618A60000030030000000000BALMONT                             00110004000000ノジーダ000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　590000000000000000スミヨン　　　　00       00303000000112      0000000000000000000000000000000000000000001998190012ケープオブグッドホープ　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000000000000000
SEB2005063020050618A60000030040000000000BYRON                               00110004000000スルール000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　590000000000000000マカヴォ　　　　00       00606000000 34      0000000000000000000000000000000000000000001998190012ケープオブグッドホープ　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000000000000000
SEB2005063020050618A60000030051998190012ケープオブグッドホープ　　　　　　　00310107005513オートン573008Ｊ．カステアズ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　590000000000000000キネーンロビンソ00       00101001085         0000000000000000000000000000000000000000000000000000GALEOTA                             0000000000　　　　　　　　　　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000000000000000
SEB2005063020050618A60000030061999110175キーンランドスワン　　　　　　　　　06110106200427森秀行　951005平井　豊光　　　　　　　　　　　　　　　　　　　　　　　　　　　赤，黒縦縞，黒袖　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　590000000000000000スボリッ　　　　00       010100000002        0000000000000000000000000000000000000000001998190012ケープオブグッドホープ　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000000000000000
