RAA20150507201505063002021160000ローズキングダム賞【北海優駿ＴＲ】　条件　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD OP)                                                                                                                                                                                                                                                                                                                                            ローズキングダム賞【ローズキングローズ0000E 120004000000000000000サラ系３歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　170000002400    000050000000100000000750000005000000025000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080808201000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(2,3),4,(1,6),8,5,7                                                   202,3,4,1,6,8,5,7                                                       30(2,3,4),(1,6),(5,8),7                                                 40(2,4),3,1,(5,6),8,7                                                   0
RAA20150522201505213003020170000トク旅北海道キャンペーン賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            トク旅北海道キャンペトク旅北海道トク旅0000  110004000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0000300000000600000004500000030000000150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707071030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000302,7,4,6,1,5,3                                                         402,7,(4,6),(1,5),3                                                     00                                                                      00                                                                      0
RAA20150529201505273003030860000フレッシュＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD NEWCOMER                                                                                                                                                                                                                                                                                                                                                   フレッシュＣｈ（中央フレッシュＣフレッ0000  110004000000000000000サラ系２歳　新馬　　　　　　　　　　　　　　　　　　　　　　120000002400    000150000000300000002250000015000000075000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100909101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(1,9),8,(2,3),(5,10),4,6                                              40(1,9),8,(2,3),(5,10),4,6                                              00                                                                      00                                                                      0
RAA20150529201505273003030960000アタックＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            アタックＣｈ（中央認アタックＣｈアタッ0000  110004000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　100000002400    0000800000001600000012000000080000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000301,(4,7),6,(5,9),10,(2,3),8                                            401,(4,7),6,(9,10),(2,5),3,8                                            00                                                                      00                                                                      0
RAA20150522201505213003020670000函館羽田線就航１０周年記念賞　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     函館羽田線就航１０周函館羽田線就函館羽0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0000200000000400000003000000020000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707071020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000305,(6,7),3,1,4,2                                                       405,7,6,3,1,2,4                                                         00                                                                      00                                                                      0
RAA20150521201505203003010560000フレッシュＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD NEWCOMER                                                                                                                                                                                                                                                                                                                                                   フレッシュＣｈ（中央フレッシュＣフレッ0000  110004000000000000000サラ系２歳　新馬　　　　　　　　　　　　　　　　　　　　　　120000002400    000150000000300000002250000015000000075000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080808302000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(7,8),2,(5,6),(3,4),1                                                 407,8,2,(5,6),4,(1,3)                                                   00                                                                      00                                                                      0
RAA20150521201505203003010960000３歳条件１～４－１　条件　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          ３歳条件１～４－１　３歳条件１～３歳条0000  120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　170000002400    0000400000000800000006000000040000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,9,5,1,6,3,4,8,10,7                                                  202,5,9,1,6,3,4,8,10,7                                                  30(2,6,8,9),(3,5),(1,4),10,7                                            40(2,8),(6,9),3,5,1,4,10,7                                              0
RAA20150529201505283003040770000フレッシュＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD NEWCOMER                                                                                                                                                                                                                                                                                                                                                   フレッシュＣｈ（中央フレッシュＣフレッ0000  110004000000000000000サラ系２歳　新馬　　　　　　　　　　　　　　　　　　　　　　100000002400    000150000000300000002250000015000000075000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111201000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(2,3,8,10),(1,5),9,11,6,(4,7)                                         40(2,3,8,10),1,5,9,11,6,4,7                                             00                                                                      00                                                                      0
RAA20150514201505133002030460000フレッシュＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD NEWCOMER                                                                                                                                                                                                                                                                                                                                                   フレッシュＣｈ（中央フレッシュＣフレッ0000  110004000000000000000サラ系２歳　新馬　　　　　　　　　　　　　　　　　　　　　　120000002400    0001500000003000000022500000150000000750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001008081030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000305,(1,7),(4,8),(6,9),2                                                 405,(1,7),4,(6,8),9,2                                                   00                                                                      00                                                                      0
RAA20150522201505213003020570000ヒダカソウＣ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　HIDAKASOU CUP                                                                                                                                                                                                                                                                                                                                                           ヒダカソウＣ　　　　ヒダカソウＣヒダカ0000D 130002000000000000000サラ系３歳上　ＯＰ　　　　　　　　　　　　　　　　　　　　　160000002400    0005000000010000000075000000500000002500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,12,7,5,(2,10),9,11,(1,3),8,6                                        204,12,7,5,10,2,9,3,1,(8,11),6                                          304,12,7,2,10,5,3,8,(1,9),11,6                                          40(4,7,12),(2,10),(1,3,5),8,11,6,9                                      0
RAA20150515201505143002040470000フレッシュＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD NEWCOMER                                                                                                                                                                                                                                                                                                                                                   フレッシュＣｈ（中央フレッシュＣフレッ0000  110004000000000000000サラ系２歳　新馬　　　　　　　　　　　　　　　　　　　　　　120000002400    000150000000300000002250000015000000075000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080808103000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(3,4),2,7,5,8,1,6                                                     40(3,4),2,7,5,8,1,6                                                     00                                                                      00                                                                      0
