RAA20150501201504304201040670000ツインメイト特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               ツインメイト特別（中ツインメイトツイン0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0002000000006000000034000000260000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,7,8,5,10,6,9,1,3,4                                                  202,7,5,8,10,9,6,1,3,4                                                  307,2,5,8,10,9,1,3,6,4                                                  405,7,2,10,9,8,1,4,3,6                                                  0
RAA20150501201504304201041070000マルチスター特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          マルチスター特別（中マルチスターマルチ0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0004000000012000000068000000520000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,10,(5,8),7,3,2,4,6,1                                                209,10,8,5,7,3,2,6,1,4                                                  3010,8,7,5,(3,9),2,6,1,4                                                4010,8,3,5,2,7,6,9,1,4                                                  0
RAA20150429201504284201020450000サラ系一般　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３　　サラ系一般　サラ系0000  000001000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    00008000000024000000136000001040000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,4,(3,7),6,9,2,8,5,11,1                                             2010,7,6,4,9,3,8,2,5,11,1                                               307,8,10,9,6,3,4,2,5,1,11                                               407,8,9,3,1,10,6,4,2,5,11                                               0
RAA20150429201504284201021050000ダイヤモンド特別　Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ダイヤモンド特別　Ｃダイヤモンドダイヤ0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001600000004800000027200000208000001600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,8,10,9,2,11,(3,4),6,7                                               205,8,10,2,9,11,4,3,7,6                                                 305,10,2,9,11,8,7,4,3,6                                                 405,2,10,7,4,9,11,8,6,3                                                 0
RAA20150430201504294201031060000新緑特別　Ｃ１二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          新緑特別　Ｃ１二　　新緑特別　Ｃ新緑特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001800000005400000030600000234000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,10,8,5,3,6,9,7,11,1,2                                               204,10,8,5,3,6,9,7,11,1,2                                               304,10,8,5,6,9,3,7,11,1,2                                               404,(5,8),9,10,6,7,1,3,11,2                                             0
RAA20150501201504304201041170000卯月特別　Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          卯月特別　Ｂ１　　　卯月特別　Ｂ卯月特0000E 000001000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0002600000007800000044200000338000002600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,8,9,11,2,3,6,5,7,4,10                                               201,8,9,2,11,3,6,5,7,4,10                                               309,1,8,2,3,11,6,7,5,10,4                                               409,1,3,2,8,7,5,6,4,10,11                                               0
RAA20150429201504284201021250000木蓮特別　Ｂ３二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          木蓮特別　Ｂ３二　　木蓮特別　Ｂ木蓮特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0002000000006000000034000000260000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,4,10,5,6,9,3,8,2,1                                                  207,4,5,10,6,9,3,8,2,1                                                  307,4,5,10,6,9,3,8,1,2                                                  407,5,4,10,6,9,1,3,8,2                                                  0
