RAA20150604201506034404030760000サラ系一般　Ｃ２１４１５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２１４サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,6,7,10,(8,11),12,3,5,9,2,1                                          204,6,7,10,(8,11),12,3,9,5,2,1                                          304,7,10,12,6,(8,11),5,2,9,3,1                                          407,(4,10),12,8,11,6,5,2,3,1,9                                          0
RAA20150626201506254405041070000エルタニン特別　Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          エルタニン特別　Ｃ２エルタニン特エルタ0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    00017000000051000000340000002040000013600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016161610100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001015,16,6,12,(3,11),(2,4),14,1,8,10,5,9,7,13                            2015,16,12,(3,6),2,(4,11),14,(1,5,10),8,9,7,13                          30(15,16),12,3,2,14,5,(4,6),11,8,9,1,7,(10,13)                          4016,15,12,(2,3),14,5,4,6,8,11,9,(1,7),13,10                            0
RAA20150602201506014404011140000優駿スプリントＴｒ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD OP)                                                                                                                                                                                                                                                                                                                                            優駿スプリントＴｒ　優駿スプリン優駿ス0000E 120002000000000000000サラ系３歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　120000002400    00030000000090000000600000003600000024000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015151510100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003015,12,6,4,11,7,14,1,8,(2,10),3,5,9,13                                 4015,6,12,4,7,11,1,14,8,2,10,3,5,9,13                                   00                                                                      00                                                                      0
RAA20150623201506224405011140000サンスポ賞　Ｂ２三Ｂ３一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          サンスポ賞　Ｂ２三Ｂサンスポ賞　サンス0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0002700000008100000054000000324000002160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616162020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,6,15,(4,5),9,16,12,11,14,8,7,10,13,1                              202,3,6,(4,15),5,(9,16),12,(8,11),14,10,7,1,13                          30(3,6),15,14,4,5,9,11,(2,16),10,8,12,(1,7),13                          403,6,15,4,14,(5,9),11,10,1,8,16,2,7,12,13                              0
RAA20150605201506044404041270000若竹賞　Ｂ２Ｂ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               若竹賞　Ｂ２Ｂ３　　若竹賞　Ｂ２若竹賞0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    0003000000009000000060000000360000002400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,7,9,2,(3,10),5,8,6,4                                                201,7,9,2,3,10,8,5,6,4                                                  309,7,(1,10),8,3,5,2,4,6                                                409,7,10,8,3,5,4,2,6,1                                                  0
RAA20150627201506264405051180000ムーンビーチ賞　Ｂ１一Ｂ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ムーンビーチ賞　Ｂ１ムーンビーチムーン0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    0003200000009600000064000000384000002560000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616163020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,5,9,(11,16),2,7,15,6,13,12,14,3,8,10,1                              204,5,9,(2,11),16,7,6,15,12,14,13,8,3,10,1                              304,9,11,15,5,7,(12,16),2,14,6,3,8,13,10,1                              40(4,9),11,15,5,(7,12),2,3,14,6,16,10,13,8,1                            0
RAA20150606201506054404050880000サラ系一般　Ｃ１六Ｃ２四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１六Ｃサラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0001300000003900000023400000156000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313133020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000301,5,7,12,2,8,(6,13),9,11,4,10,3                                       405,7,1,12,2,8,(6,9),13,(4,11),3,10                                     00                                                                      00                                                                      0
RAA20150623201506224405010840000サラ系一般　Ｃ２四五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２四五サラ系一般　サラ系0000  000002000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    00010000000030000000180000001200000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014141420200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003013,14,12,1,2,3,4,7,6,(8,11),9,10,5                                    4013,14,12,1,2,3,(4,6,11),(7,9),(5,8),10                                00                                                                      00                                                                      0
RAA20150605201506044404041070000へび座特別　Ｃ２三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          へび座特別　Ｃ２三　へび座特別　へび座0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0001700000005100000034000000204000001360000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000304,12,6,11,8,3,9,1,5,10,2,7                                            404,12,11,6,8,9,3,1,10,5,2,7                                            00                                                                      00                                                                      0
RAA20150625201506244405030160000サラ系一般　Ｃ３四五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３四五サラ系一般　サラ系0000  000002000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306,7,1,14,2,9,8,4,12,11,10,13,3,5                                      406,(1,7),(9,14),2,4,8,(10,13),11,12,3,5                                00                                                                      00                                                                      0
RAA20150627201506264405050980000サラ系一般　Ｂ３四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｂ３四　サラ系一般　サラ系0000  000002000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0001600000004800000028800000192000001600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212123010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000201,12,2,7,11,3,8,9,6,5,10,4                                            301,12,(7,11),2,(3,9),8,6,10,4,5                                        4012,1,7,11,(3,9),(2,8),6,10,4,5                                        00                                                                      0
RAA20150606201506054404050580000サラ系一般　Ｃ３二三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３二三サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414143010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,13,5,14,7,11,2,3,1,12,(9,10),6,8                                    204,(13,14),5,7,11,2,(1,3),12,6,9,10,8                                  3014,4,5,13,11,2,1,7,3,12,9,6,10,8                                      4014,5,4,11,2,1,3,(7,12),(9,13),6,10,8                                  0
RAA20150627201506264405050880000サラ系一般　Ｃ２１２１３１４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２１２サラ系一般　サラ系0000  000002000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414143010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,8,(10,11),7,13,1,5,3,(9,14),4,6,12                                  202,8,10,11,7,13,1,3,5,9,14,4,6,12                                      302,8,(7,10),3,(11,13),1,(6,9),14,5,4,12                                402,8,7,10,3,1,13,11,9,6,(5,12),14,4                                    0
