RAA20151209201512084309021050000フェイスフルステッキ特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          フェイスフルステッキフェイスフルフェイ0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002300    0004000000012000000080000000480000003200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,5,4,10,2,8,1,13,7,14,9,11,6,12                                      203,5,4,10,2,8,1,13,7,14,9,12,11,6                                      30(3,5),4,10,(2,8),7,13,9,(1,14),12,11,6                                405,3,10,2,4,7,8,9,13,12,14,1,11,6                                      0
RAA20151210201512094309031160000クイーン賞（中央交流）　Ｊｐｎ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　QUEEN SHO                                                                                                                                                                                                                                                                                                                                                               クイーン賞（中央交流クイーン賞（クイー0000C 130001000000000000000サラ系３歳上　ＯＰ　　　　　　　　　　　　　　　　　　　　　180000002300    0021000000073500000420000002100000010500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,9,1,11,2,4,12,7,13,6,5,8,10,14                                      203,9,1,11,2,4,12,7,6,13,5,10,8,14                                      303,9,1,2,12,11,6,4,13,14,7,5,10,8                                      403,9,1,2,12,14,6,4,11,13,7,10,5,8                                      0
RAA20151212201512114309050780000サラ系一般　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２　　サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000202,6,1,4,8,9,5,7,3,10                                                  302,(4,6),1,8,5,9,7,3,10                                                402,6,8,4,1,5,7,9,3,10                                                  00                                                                      0
RAA20151212201512114309051080000柊特別　Ｂ１二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          柊特別　Ｂ１二　　　柊特別　Ｂ１柊特別0000E 000001000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    00027000000081000000540000003240000021600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014141420400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,4,14,8,3,5,12,2,1,13,9,7,11,6                                      2010,4,14,3,8,5,12,1,2,7,13,9,11,6                                      3010,4,14,3,2,8,5,12,1,7,13,9,11,6                                      4010,4,14,3,2,8,12,5,7,1,13,9,11,6                                      0
RAA20151210201512094309031060000楽天競馬賞　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     楽天競馬賞　Ｃ２　　楽天競馬賞　楽天競0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001100000003300000019800000132000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,5,10,6,1,7,4,9,2,3                                                  208,5,6,10,1,4,7,9,2,3                                                  308,7,5,4,6,1,9,2,3,10                                                  408,7,5,4,6,9,1,2,3,10                                                  0
RAA20151208201512074309010140000サラ系３歳　二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　二　　　サラ系３歳　サラ系0000  120000000000000000000１２８万上１５５万未満　　　　　　　　　　　　　　　　　　　160000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,6,11,2,7,9,1,8,10,5                                                 203,6,11,2,7,9,1,8,10,5                                                 303,(6,11),9,2,7,(1,5,10),8                                             4011,9,3,6,7,5,2,8,1,10                                                 0
RAA20151209201512084309020950000サラ系一般　Ｃ２五六　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２五六サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,5,6,10,1,9,3,11,8,7,2                                               204,5,6,10,1,9,3,8,11,2,7                                               304,5,(6,10),(1,2),3,9,(7,8),11                                         405,6,10,2,4,1,3,7,8,9,11                                               0
RAA20151209201512084309021250000烈風スプリント　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     烈風スプリント　Ｃ１烈風スプリン烈風ス0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　100000002300    0001200000003600000021600000144000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000304,7,(2,5,12),6,14,3,9,8,(1,10),(11,13)                                404,7,2,5,3,14,12,6,1,8,9,13,11,10                                      00                                                                      00                                                                      0
RAA20151210201512094309030960000疾風スプリント　Ｂ３Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          疾風スプリント　Ｂ３疾風スプリン疾風ス0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　120000002300    0002200000006600000044000000264000001760000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000208,6,10,1,2,9,4,5,7,11,3,12                                            308,6,10,9,1,(2,7),11,4,5,3,12                                          408,6,10,1,9,7,2,4,11,5,12,3                                            00                                                                      0
RAA20151211201512104309041170000ケンタウルス特別　Ｂ２二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ケンタウルス特別　Ｂケンタウルスケンタ0000E 000001000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0002400000007200000048000000288000001920000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,2,12,7,11,8,10,4,6,9,3,5                                            201,2,12,7,11,8,10,4,6,3,9,5                                            301,2,12,7,11,8,10,4,6,(3,9),5                                          401,12,7,11,2,4,8,10,6,9,5,3                                            0
RAA20151209201512084309020550000リバーサイドジュニア特別（中央認定）　一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(TWO-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                                 リバーサイドジュニアリバーサイドリバー0000E 110000000000000000000サラ系２歳　２００万上　　　　　　　　　　　　　　　　　　　160000002300    0002500000007500000050000000300000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,6,5,8,11,1,4,7,10,12,9                                            202,3,6,5,8,11,1,4,7,10,12,9                                            302,(3,6),5,8,11,4,1,7,10,12,9                                          402,6,5,3,4,8,1,11,12,10,7,9                                            0
RAA20151208201512074309011140000一陽賞　Ｂ３二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     一陽賞　Ｂ３二　　　一陽賞　Ｂ３一陽賞0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    00015000000045000000270000001800000015000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121210100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,1,2,12,3,7,4,5,6,8,11,9                                            2010,12,1,2,3,7,4,5,6,8,11,9                                            3010,1,12,3,2,(4,5),7,(6,11),8,9                                        4010,1,4,3,12,2,5,11,6,7,9,8                                            0
RAA20151212201512114309050580000サラ系一般　Ｃ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３　　サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0000900000002700000016200000108000000900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,10,2,4,7,9,1,5,3,6                                                  208,10,2,4,7,9,1,5,3,6                                                  30(8,10),2,7,4,9,5,1,3,6                                                4010,2,7,8,4,9,3,5,1,6                                                  0
RAA20151212201512114309051180000船橋ファイナル　Ｃ１Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     船橋ファイナル　Ｃ１船橋ファイナ船橋フ0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002300    00012000000036000000216000001440000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013131320400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,13,12,6,4,8,9,2,1,5,11,7,3                                         2010,12,13,6,4,8,9,2,1,5,11,7,3                                         30(10,12),13,6,(4,9),8,1,2,11,5,7,3                                     4012,13,6,9,8,4,1,11,10,5,2,7,3                                         0
RAA20151211201512104309041070000アクアライン特別　Ａ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          アクアライン特別　Ａアクアラインアクア0000E 000001000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　170000002300    0003500000010500000070000000420000002800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414142010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,10,13,2,5,12,4,1,6,8,7,11,14,3                                      209,10,13,12,5,2,6,1,4,8,7,11,14,3                                      309,10,13,12,6,8,1,5,11,4,14,7,2,3                                      409,10,6,1,13,8,12,11,4,5,14,7,3,2                                      0
