RAA20150827201508264409031060000フォーチュネイトほうせんか特別（中央交流　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               フォーチュネイトほうフォーチュネフォー0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    0002500000007500000050000000300000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414142040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,4,11,7,12,6,14,13,5,1,10,9,2,8                                      203,4,7,11,6,12,14,13,1,10,5,9,2,8                                      303,4,11,12,7,14,6,10,13,1,(5,9),8,2                                    403,11,12,4,7,14,6,10,(1,13),9,5,8,2                                    0
RAA20150829201508284409051180000東中スポ賞　Ａ２Ｂ１一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          東中スポ賞　Ａ２Ｂ１東中スポ賞　東中ス0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    000460000001380000009200000055200000368000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000161616203000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020(2,3,4,5,7),8,9,1,6,12,15,(10,13,14),11,16                            304,5,8,7,3,9,12,2,1,15,6,14,11,13,10,16                                40(4,7),(5,8),9,3,12,2,1,15,(6,11,14),(10,13,16)                        00                                                                      0
RAA20150813201508124408021260000新スタンド名称発表！斎藤工賞　Ｂ３四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          新スタンド名称発表！新スタンド名新スタ0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    00025000000075000000500000003000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013131310100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003011,(3,13),12,1,4,7,10,2,5,9,6,8                                       4011,(3,13),12,1,4,7,2,10,5,9,6,8                                       00                                                                      00                                                                      0
RAA20150812201508114408010550000サラ系一般　Ｃ３十１１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３十１サラ系一般　サラ系0000  000002000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,7,(3,9),1,5,2,6,4                                                   208,7,(3,9),1,2,5,4,6                                                   30(7,8),9,3,1,(2,5),4,6                                                 40(7,8),9,3,1,2,5,4,6                                                   0
RAA20150827201508264409030460000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　　　　　サラ系３歳　サラ系0000  120002000000000000000１５５万上１８０万未満　　　　　　　　　　　　　　　　　　　140000002400    000120000000360000002160000014400000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121212204000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020(1,4,6),7,10,2,5,3,9,11,8,12                                          304,(6,7),10,1,2,5,8,3,11,9,12                                          404,7,1,6,10,2,8,5,(3,11),9,12                                          00                                                                      0
RAA20150814201508134408030970000サラ系一般　Ｃ１六七八　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１六七サラ系一般　サラ系0000  000002000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0001300000003900000023400000156000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,4,3,5,7,8,1,(2,6)                                                   209,4,3,5,7,1,2,8,6                                                     309,3,4,(1,5),7,2,8,6                                                   409,3,1,5,4,7,2,8,6                                                     0
RAA20150826201508254409020750000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　　　　　サラ系３歳　サラ系0000  120002000000000000000７５万上１５５万未満　　　　　　　　　　　　　　　　　　　　150000002400    0001100000003300000019800000132000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,9,2,1,4,7,6,8,5                                                     203,9,2,1,4,7,6,8,5                                                     303,9,(2,4),5,7,1,8,6                                                   403,9,2,4,1,5,7,6,8                                                     0
RAA20150815201508144408041180000りょうくん特別　Ｂ２三Ｂ３一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          りょうくん特別　Ｂ２りょうくん特りょう0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0002700000008100000054000000324000002160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000606062020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,4,6,2,3,1                                                           205,4,6,2,3,1                                                           305,(4,6),2,3,1                                                         405,4,6,2,3,1                                                           0
RAA20150828201508274409041170000ペリドット賞　Ｂ３三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ペリドット賞　Ｂ３三ペリドット賞ペリド0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00025000000075000000500000003000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015151520400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002014,5,7,12,(2,8),4,9,3,11,(6,15),13,10,1                               30(5,14),12,8,7,2,9,4,3,6,11,15,13,1,10                                 405,14,12,2,8,7,9,3,4,6,13,11,15,(1,10)                                 00                                                                      0
RAA20150827201508264409030360000特選　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            特選　　　　　　　　特選　　　　特選　0000  110002000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0001900000006650000038000000285000001900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111102040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,6,10,4,11,8,5,9,2,7                                                 20(3,10),6,4,11,8,9,5,2,7                                               303,6,10,11,8,9,2,4,7,5                                                 403,6,(8,11),10,9,2,7,4,5                                               0
RAA20150812201508114408010850000サラ系一般　Ｃ２三四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２三四サラ系一般　サラ系0000  000002000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000303,2,11,7,(1,8),9,(4,6),5,10                                           403,2,11,(1,8),7,4,6,9,5,10                                             00                                                                      00                                                                      0
RAA20150825201508244409010840000サラ系一般　Ｃ２三四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２三四サラ系一般　サラ系0000  000002000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    000100000000300000001800000012000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101010101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(2,4),6,1,10,(5,9),3,8,7                                              402,4,6,1,10,(5,9),3,8,7                                                00                                                                      00                                                                      0
RAA20150825201508244409011240000初嵐特別　Ｃ１三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          初嵐特別　Ｃ１三　　初嵐特別　Ｃ初嵐特0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0002100000006300000042000000252000001680000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000301,3,8,5,10,2,(4,9),7,6,11                                             401,3,8,2,10,4,5,9,6,7,11                                               00                                                                      00                                                                      0
