RAA20151216201512155021010750000Ｃ２一（中央騎手騎乗）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２一（中央騎手騎乗Ｃ２一（中央Ｃ２一0000  130004000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000625000003000000020000000125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,2,10,1,7,12,5,3,4,8,11,6                                            209,2,10,1,7,(5,12),3,8,11,4,6                                          309,2,10,12,5,1,3,11,7,8,4,6                                            4010,2,12,5,9,1,3,11,4,7,8,6                                            0
RAA20151218201512175021030770000Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２一　　　　　　　Ｃ２一　　　Ｃ２一0000  130004000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00002500000006250000030000000200000001250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121210300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,1,7,2,11,9,6,5,8,3,4,12                                            2010,1,7,11,2,5,9,6,8,3,4,12                                            3010,1,7,11,2,(5,8),9,6,3,4,12                                          4010,1,7,11,2,8,6,5,9,3,4,12                                            0
RAA20151202201512015020010750000Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２一　　　　　　　Ｃ２一　　　Ｃ２一0000  130004000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000625000003000000020000000125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,5,1,10,(6,8),9,4,7,3                                                202,5,1,8,10,6,4,9,7,3                                                  305,2,8,10,1,6,4,3,(7,9)                                                405,2,10,8,6,1,4,3,9,7                                                  0
RAA20151202201512015020010850000Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          Ｃ２　　　　　　　　Ｃ２　　　　Ｃ２　0000E 130004000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000300000000750000003600000024000000150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,2,11,4,12,10,5,6,3,7,9,8                                            201,2,11,4,12,10,5,6,3,7,9,8                                            3012,1,4,2,11,5,10,6,9,7,3,8                                            401,12,4,2,5,11,9,10,6,3,7,8                                            0
RAA20151210201512095020050460000Ｃ２三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２三　　　　　　　Ｃ２三　　　Ｃ２三0000  130004000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000625000003000000020000000125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,9,7,8,2,10,4,5,3,1                                                  206,9,7,8,10,2,4,5,3,1                                                  306,9,3,(7,8),5,4,10,2,1                                                406,9,3,7,8,5,4,2,1,10                                                  0
RAA20151210201512095020051260000Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          Ｂ２　　　　　　　　Ｂ２　　　　Ｂ２　0000E 130004000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000600000001500000007200000048000000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,10,12,5,9,6,11,8,3,2,4,1                                            207,10,12,5,9,11,(6,8),3,2,4,1                                          307,12,10,8,(5,9),6,11,3,2,4,1                                          407,8,12,10,5,9,6,(2,3),11,4,1                                          0
RAA20151211201512105020060370000Ｃ２三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２三　　　　　　　Ｃ２三　　　Ｃ２三0000  130004000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000625000003000000020000000125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,7,10,3,9,4,5,1,2,8                                                  206,7,(3,10),4,9,1,5,2,8                                                303,6,7,5,(4,10),1,9,2,8                                                403,7,5,6,10,4,9,1,2,8                                                  0
RAA20151211201512105020060570000Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２一　　　　　　　Ｃ２一　　　Ｃ２一0000  130004000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000625000003000000020000000125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001009092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,7,9,3,8,6,(1,4),10                                                  205,7,9,(3,8),6,1,4,10                                                  306,7,5,8,9,3,1,10,4                                                    406,7,5,8,9,3,1,4,10                                                    0
RAA20151216201512155021010850000ファイティングＪ賞Ｃ２（中央騎手招待）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ファイティングＪ賞Ｃファイティンファイ0000E 130002000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　123000002400    0000500000001250000006000000040000000250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212123030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,11,4,12,6,9,7,(2,8),1,10,3                                          205,11,4,12,6,9,7,8,2,1,10,3                                            305,11,12,6,4,9,8,7,1,2,10,3                                            405,11,(6,12),4,9,8,7,1,2,10,3                                          0
RAA20151217201512165021020860000Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ２一　　　　　　　Ｃ２一　　　Ｃ２一0000  130004000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000625000003000000020000000125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,7,10,1,11,4,2,12,9,3,5,8                                            206,7,10,1,4,11,2,12,3,9,5,8                                            306,10,1,7,9,5,11,4,12,2,3,8                                            406,1,10,(4,5),9,2,(7,12),11,3,8                                        0
