RAA20150505201505044803011040000かきつばた記念（中央交流）　Ｊｐｎ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　KAKITSUBATA KINEN                                                                                                                                                                                                                                                                                                                                                       かきつばた記念（中央かきつばた記かきつ0000C 140002000000000000000サラ系４歳上　ＯＰ　　　　　　　　　　　　　　　　　　　　　140000002400    0021000000054600000273000001260000010500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001211114030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,9,8,3,1,2,12,11,6,10,7                                              204,9,8,3,1,12,11,2,6,10,7                                              304,9,1,8,3,2,12,7,11,10,6                                              404,9,1,8,3,7,11,2,6,12,10                                              0
RAA20150507201505064803031060000ＡＧＩ名古屋城Ｃ　Ｂ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ＡＧＩ名古屋城Ｃ　ＢＡＧＩ名古屋ＡＧＩ0000E 130004000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　180000002400    0000800000001840000006400000040000000320000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,4,2,6,10,1,8,9,12,7,11,5                                            203,4,2,6,10,1,7,9,8,11,12,5                                            303,4,2,10,1,6,9,7,11,12,8,5                                            402,10,3,6,9,7,1,12,11,4,5,8                                            0
RAA20150521201505204804020960000名古屋ＣＣメロン賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               名古屋ＣＣメロン賞（名古屋ＣＣメ名古屋0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000370000000920000003700000022000000140000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,5,10,3,8,6,9,2,7,1                                                  205,10,4,8,3,9,7,6,2,1                                                  305,10,8,4,3,7,9,2,6,1                                                  405,10,4,8,2,3,6,7,9,1                                                  0
RAA20150505201505044803010940000新緑特別　Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          新緑特別　Ｂ２　　　新緑特別　Ｂ新緑特0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000220000000400000001500000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010104030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,10,6,9,7,5,1,4,8                                                  202,3,10,6,9,7,1,5,4,8                                                  302,3,10,9,6,7,5,1,4,8                                                  4010,2,9,5,3,6,4,7,1,8                                                  0
RAA20150506201505054803020550000真一☆５５歳「青春によろしく」　Ｃ１４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     真一☆５５歳「青春に真一☆５５歳真一☆0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000145000000260000001000000007000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,7,9,8,1,10,6,2,4,5                                                  203,7,9,8,1,10,6,(2,4),5                                                303,9,8,7,10,1,6,4,2,5                                                  403,9,8,7,10,4,2,6,1,5                                                  0
RAA20150521201505204804020560000寿敏行☆里美ご結婚おめでとう　Ｃ１３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     寿敏行☆里美ご結婚お寿敏行☆里美寿敏行0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000145000000260000001000000007000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,6,3,4,2,7,1,5                                                       208,3,4,6,2,5,1,7                                                       308,6,4,3,2,7,5,1                                                       408,4,6,3,2,5,7,1                                                       0
RAA20150520201505194804011050000うしかい座特別　Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          うしかい座特別　Ｂ１うしかい座特うしか0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　080000002400    0000280000000500000002000000014000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000302,1,8,9,10,6,3,7,4,5                                                  402,8,9,6,10,4,1,5,3,7                                                  00                                                                      00                                                                      0
RAA20150522201505214804030970000大鷲特別　１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               大鷲特別　１　　　　大鷲特別　１大鷲特0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　080000002400    0000380000000690000002700000019000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000908081020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000304,9,1,6,8,5,2,7                                                       404,9,6,1,8,5,2,7                                                       00                                                                      00                                                                      0
RAA20150523201505224804041180000エメラルドオープン　Ａ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          エメラルドオープン　エメラルドオエメラ0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　080000002400    0001000000001800000007000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000305,6,9,8,3,10,4,7,1,2                                                  406,9,5,8,10,3,4,7,1,2                                                  00                                                                      00                                                                      0
RAA20150506201505054803020950000ニリンソウ特別　Ｃ１３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ニリンソウ特別　Ｃ１ニリンソウ特ニリン0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000185000000330000001300000009000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,2,3,5,10,1,8,9,7,4                                                  206,2,3,5,1,10,8,9,4,7                                                  306,2,3,5,1,8,4,10,9,7                                                  406,3,2,5,1,8,4,9,10,7                                                  0
RAA20150509201505084803040180000サラＣ６組　Ｃ６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ６組　Ｃ６　　サラＣ６組　サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　080000002400    0000145000000260000001000000007000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000303,5,8,4,7,1,2,6                                                       405,3,8,4,1,6,7,2                                                       00                                                                      00                                                                      0
RAA20150506201505054803020250000雄哉・貴子協賛景品山分け　Ｃ１７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     雄哉・貴子協賛景品山雄哉・貴子協雄哉・0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000145000000260000001000000007000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,6,2,3,8,9,5,1,7                                                     204,6,8,2,3,9,5,1,7                                                     304,6,2,8,3,1,9,5,7                                                     404,8,2,6,3,1,9,5,7                                                     0
RAA20150521201505204804020160000サラＣ１５組　Ｃ１５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ１５組　Ｃ１５サラＣ１５組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000145000000260000001000000007000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,4,8,1,7,6,5,2                                                       203,4,8,(1,6,7),2,5                                                     302,4,3,8,7,1,5,6                                                       40(2,4),8,5,1,3,7,6                                                     0
RAA20150506201505054803020350000祝☆千葉謙一誕生日記念　Ｃ１６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     祝☆千葉謙一誕生日記祝☆千葉謙一祝☆千0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000145000000260000001000000007000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,8,9,5,3,1,7,2,4                                                     206,8,9,5,3,1,(2,7),4                                                   30(6,8,9),5,2,1,7,3,4                                                   408,5,9,6,2,1,7,4,3                                                     0
RAA20150521201505204804020260000サラＣ１４組　Ｃ１４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ１４組　Ｃ１４サラＣ１４組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000145000000260000001000000007000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,8,6,7,1,3,5,4                                                       202,8,6,7,1,5,3,4                                                       30(2,8),6,5,7,4,1,3                                                     402,8,6,5,7,4,3,1                                                       0
RAA20150521201505204804020760000サラＢ４組　Ｂ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＢ４組　Ｂ４　　サラＢ４組　サラＢ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000155000000280000001100000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,7,1,9,2,6,4,8,5                                                     203,7,1,9,2,6,4,8,5                                                     303,7,9,2,1,6,4,8,5                                                     403,7,9,2,1,6,4,8,5                                                     0
RAA20150506201505054803020450000深津英人とあいかわらずなボクら　Ｃ１５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     深津英人とあいかわら深津英人とあ深津英0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000145000000260000001000000007000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,9,6,4,1,3,2,7,5                                                     208,6,9,4,1,3,2,7,5                                                     308,6,1,9,4,3,7,2,5                                                     408,6,1,9,3,4,7,2,5                                                     0
RAA20150509201505084803040980000しょうぶ特別　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          しょうぶ特別　Ｃ１　しょうぶ特別しょう0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000215000000390000001500000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,10,7,3,9,1,5,4,6,2                                                  208,10,7,3,9,1,4,5,6,2                                                  308,10,7,3,9,4,1,5,2,6                                                  408,10,7,3,9,4,1,6,2,5                                                  0
RAA20150520201505194804010850000サラＣ１７組　Ｃ１７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ１７組　Ｃ１７サラＣ１７組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000145000000260000001000000007000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,9,3,5,4,8,2,7,6                                                     209,3,5,1,4,8,2,7,6                                                     309,3,5,4,1,7,8,2,6                                                     409,3,4,5,1,2,7,6,8                                                     0
RAA20150521201505204804021160000つつじ特別　Ｃ１１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          つつじ特別　Ｃ１１　つつじ特別　つつじ0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000185000000330000001300000009000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,6,8,2,4,3,1,7,5                                                     209,6,8,2,4,3,1,7,5                                                     309,6,8,2,4,3,1,7,5                                                     409,6,8,3,2,4,1,7,5                                                     0
RAA20150507201505064803030460000紀平洋子誕生日記念　Ｃ１１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     紀平洋子誕生日記念　紀平洋子誕生紀平洋0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000145000000260000001000000007000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,5,1,(6,7,9),8,4                                                   202,3,5,1,(6,7,9),8,4                                                   302,3,5,1,9,6,7,8,4                                                     402,5,3,1,9,6,7,8,4                                                     0
