RAA20150305201503044721020860000つくし賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          つくし賞（中央交流）つくし賞（中つくし0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000370000000930000003700000023000000150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,10,4,7,3,1,9,8,5,2                                                  206,10,7,4,3,9,1,8,5,2                                                  307,9,6,10,3,(1,4),8,2,5                                                407,9,6,10,3,1,(4,8),2,5                                                0
RAA20150304201503034721011050000早春特別　Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          早春特別　Ｂ１　　　早春特別　Ｂ早春特0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000500000002500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,3,2,8,6,5,1,4,7                                                     203,9,2,6,8,5,1,4,7                                                     303,(2,5),9,8,4,7,6,1                                                   40(2,3,5),9,8,(4,7),1,6                                                 0
RAA20150304201503034721010350000サラ系３歳４組　４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳４組　４　サラ系３歳４サラ系0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000180000000360000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,8,5,3,4,1,6,7                                                       202,8,5,3,4,1,6,7                                                       302,8,5,3,(1,4),6,7                                                     40(2,8),5,3,(1,4),6,7                                                   0
RAA20150319201503184722030960000盛春賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          盛春賞（中央交流）　盛春賞（中央盛春賞0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000370000000930000003700000023000000150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,5,7,1,6,9,2,3,8                                                     204,5,7,1,9,6,2,8,3                                                     305,7,(1,4,6),9,2,3,8                                                   405,7,1,2,6,4,9,3,8                                                     0
RAA20150305201503044721020360000サラ系Ｃ７組　Ｃ７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ７組　Ｃ７　サラ系Ｃ７組サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,10,3,8,5,9,1,4,6,2                                                  207,10,3,5,9,8,1,4,2,6                                                  3010,3,7,1,9,5,4,8,2,6                                                  4010,3,1,9,7,5,4,2,6,8                                                  0
RAA20150305201503044721020260000サラ系Ｃ８組　Ｃ８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ８組　Ｃ８　サラ系Ｃ８組サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,8,4,9,3,6,7,2,5                                                     201,8,4,3,9,7,6,2,5                                                     301,8,4,3,9,5,7,2,6                                                     401,(4,8),(3,9),5,2,7,6                                                 0
RAA20150317201503164722010940000十六銀行Ｊ－ダイレクト杯　Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     十六銀行Ｊ－ダイレク十六銀行Ｊ－十六銀0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000150000000300000001500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,7,1,9,3,8,10,5,2,6                                                  204,7,1,9,3,8,10,5,2,6                                                  304,7,1,9,8,3,5,10,2,6                                                  409,7,4,(1,8),5,2,10,3,6                                                0
RAA20150318201503174722021050000春暖特別　Ａ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          春暖特別　Ａ３　　　春暖特別　Ａ春暖特0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000300000000600000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,3,8,2,9,6,7,10,5,4                                                  201,3,8,2,9,6,7,10,5,4                                                  301,3,8,9,2,7,6,10,5,4                                                  401,3,9,2,8,7,6,10,5,4                                                  0
RAA20150305201503044721021060000春蘭特別　Ａ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          春蘭特別　Ａ３　　　春蘭特別　Ａ春蘭特0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000300000000600000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001009091040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,3,5,10,6,9,1,7,4                                                    208,5,6,10,3,9,1,4,7                                                    308,5,10,6,3,1,9,7,4                                                    4010,5,8,3,6,1,9,7,4                                                    0
RAA20150307201503064721040480000サラ系Ｃ１４・１７組　Ｃ１４１７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ１４・１７組サラ系Ｃ１４サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,6,7,10,3,2,4,9,1,8                                                  205,6,3,7,10,9,4,2,1,8                                                  305,6,7,3,10,9,4,2,1,8                                                  405,(6,7),(3,10),9,4,2,8,1                                              0
RAA20150318201503174722020950000マックル賞　Ａ４Ｂ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     マックル賞　Ａ４Ｂ３マックル賞　マック0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000180000000360000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,7,6,1,4,5,3,8,9                                                     202,7,6,1,4,5,3,8,9                                                     302,6,7,4,3,1,5,8,9                                                     40(2,6),3,7,4,(1,5),9,8                                                 0
RAA20150319201503184722030860000サラ系Ｃ１７組　Ｃ１７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ１７組　Ｃ１サラ系Ｃ１７サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000130000000260000001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,6,4,1,7,3,5,8                                                       202,6,4,1,7,5,3,8                                                       302,6,4,1,5,3,7,8                                                       406,2,4,1,3,5,7,8                                                       0
RAA20150305201503044721020760000サラ系Ａ４・Ｂ３組特選　Ａ４Ｂ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ａ４・Ｂ３組特サラ系Ａ４・サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000180000000360000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,6,1,5,3,8,7,9,2                                                     204,6,1,5,8,3,7,9,2                                                     304,(1,6,7),5,8,3,9,2                                                   404,6,(1,7),5,8,9,3,2                                                   0
