RAA20151007201510064814010750000サラ３歳３組　３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ３歳３組　３　　サラ３歳３組サラ３0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000410000001600000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,2,7,6,1,5,3,8,4                                                     209,7,2,1,6,5,3,8,4                                                     309,1,7,5,2,3,6,8,4                                                     409,1,7,5,3,2,6,8,4                                                     0
RAA20151007201510064814010950000キツツキ特別　１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               キツツキ特別　１　　キツツキ特別キツツ0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000390000000700000002700000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,1,7,3,9,4,6,5,2                                                     208,1,7,3,4,9,6,5,2                                                     308,1,7,3,4,6,5,9,2                                                     408,1,4,3,7,6,5,9,2                                                     0
RAA20151008201510074814020460000牧野恵多・岡本直子御結婚記念　７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          牧野恵多・岡本直子御牧野恵多・岡牧野恵0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000410000001600000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,8,4,6,5,3,1,7,9                                                     202,8,4,6,3,5,1,7,9                                                     302,6,8,3,4,7,5,1,9                                                     402,6,8,3,4,7,1,5,9                                                     0
RAA20151022201510214815020560000サラ３歳５組　５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ３歳５組　５　　サラ３歳５組サラ３0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000410000001600000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,8,10,1,4,7,6,5,2,3                                                  209,10,4,8,1,6,7,2,5,3                                                  309,4,10,1,7,8,6,5,2,3                                                  409,4,10,1,7,6,5,8,2,3                                                  0
RAA20151008201510074814020660000サラ３歳６組　６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ３歳６組　６　　サラ３歳６組サラ３0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000410000001600000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,8,7,9,1,2,4,5,3                                                     206,8,7,9,2,1,5,4,3                                                     306,8,9,7,5,4,2,1,3                                                     406,9,5,7,8,2,4,1,3                                                     0
RAA20151022201510214815020460000サラ３歳６組　６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ３歳６組　６　　サラ３歳６組サラ３0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000410000001600000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,9,7,2,8,1,4,6,3                                                     205,9,7,2,1,8,4,6,3                                                     305,9,8,7,1,2,4,3,6                                                     405,8,1,9,7,2,4,3,6                                                     0
RAA20151024201510234815040480000サラ３歳１７組　１７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ３歳１７組　１７サラ３歳１７サラ３0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000410000001600000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,9,3,5,8,2,1,6,7                                                     204,9,3,5,8,2,1,6,7                                                     304,9,5,2,3,8,6,7,1                                                     404,9,2,3,8,5,6,7,1                                                     0
RAA20151023201510224815030170000サラ３歳１３組　１３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ３歳１３組　１３サラ３歳１３サラ３0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000410000001600000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,6,7,2,8,4,1,3                                                       205,6,7,2,4,8,3,1                                                       305,6,2,7,4,8,3,1                                                       405,6,2,4,7,8,3,1                                                       0
RAA20151009201510084814030470000サラ３歳１１組　１１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ３歳１１組　１１サラ３歳１１サラ３0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000410000001600000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000908081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,2,8,3,5,1,6,4                                                       207,2,8,3,5,1,6,4                                                       307,2,8,3,5,1,4,6                                                       407,2,8,3,5,1,6,4                                                       0
RAA20151010201510094814040380000サラ３歳１６組　１６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ３歳１６組　１６サラ３歳１６サラ３0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000410000001600000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,8,2,1,7,3,5,4                                                       206,8,1,2,7,3,5,4                                                       306,8,2,1,7,3,4,5                                                       406,8,2,7,3,1,4,5                                                       0
