RAA20151030201510294207041070000マルチメモリー特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          マルチメモリー特別（マルチメモリマルチ0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0004000000012000000068000000520000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,1,2,4,6,11,5,8,7,9,12,10                                            203,1,2,4,6,8,5,11,7,9,12,10                                            303,8,1,4,6,9,5,2,11,7,12,10                                            403,8,4,9,1,6,5,10,7,12,11,2                                            0
RAA20151028201510274207020950000花のまちこうのす賞　Ｃ１六　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     花のまちこうのす賞　花のまちこう花のま0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001100000003300000018700000143000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,8,2,1,3,11,9,5,4,6,10,12                                            207,8,1,2,9,3,11,4,5,10,12,6                                            307,8,2,9,3,1,4,11,5,10,12,6                                            407,9,2,4,3,1,5,8,12,10,11,6                                            0
RAA20151029201510284207030860000かえで賞　Ｃ２三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     かえで賞　Ｃ２三　　かえで賞　Ｃかえで0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001100000003300000018700000143000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,8,12,7,3,2,11,6,1,5,9,10                                            204,8,12,7,3,11,2,6,1,5,9,10                                            304,8,12,3,7,6,11,2,9,5,1,10                                            404,6,3,8,2,7,12,11,9,5,10,1                                            0
RAA20151027201510264207011040000錦秋特別　Ｂ２Ｂ３一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          錦秋特別　Ｂ２Ｂ３一錦秋特別　Ｂ錦秋特0000E 000001000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0002400000007200000040800000312000002400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,6,1,9,11,3,2,8,7,5,10                                               204,6,1,9,11,3,2,8,7,5,10                                               304,6,11,1,7,3,9,2,8,5,10                                               404,3,1,11,2,7,5,6,9,8,10                                               0
RAA20151030201510294207040670000白秋賞　Ｃ３一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     白秋賞　Ｃ３一　　　白秋賞　Ｃ３白秋賞0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0000900000002700000015300000117000000900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,3,6,8,9,7,10,4,5,2                                                  201,3,6,8,9,7,10,4,5,2                                                  301,3,6,9,10,8,5,7,2,4                                                  401,6,3,10,5,7,9,2,8,4                                                  0
RAA20151028201510274207020850000川越藩のお蔵米記念　Ｃ２七八　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     川越藩のお蔵米記念　川越藩のお蔵川越藩0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001000000003000000017000000130000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,6,7,9,4,5,8,1,12,10,2,11                                            203,6,7,4,9,5,1,8,2,10,12,11                                            303,6,9,7,8,4,5,1,2,10,12,11                                            409,8,7,3,5,4,1,6,10,2,11,12                                            0
RAA20151030201510294207040470000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　　　　　サラ系３歳　サラ系0000  120000000000000000000１００万上１０１万未満　　　　　　　　　　　　　　　　　　　140000002300    00010000000030000000170000001300000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121220100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001012,5,1,9,10,6,11,4,3,8,2,7                                            2012,5,9,1,10,6,4,11,3,2,7,8                                            3012,9,10,5,6,11,2,4,3,7,8,1                                            4012,10,11,5,6,2,9,3,4,7,1,8                                            0
RAA20151030201510294207041270000秋陽特別　Ｃ１二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          秋陽特別　Ｃ１二　　秋陽特別　Ｃ秋陽特0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001800000005400000030600000234000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,1,6,7,5,10,9,4,3,2,11,12                                            208,1,6,5,10,7,4,9,3,2,12,11                                            308,1,10,5,7,3,6,9,4,2,12,11                                            401,3,10,2,7,9,8,5,4,12,6,11                                            0
RAA20151030201510294207041170000神無月特別　Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          神無月特別　Ｂ１　　神無月特別　神無月0000E 000001000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0002600000007800000044200000338000002600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,9,4,8,10,11,1,7,6,5                                               202,3,9,4,8,10,11,7,1,6,5                                               302,3,9,4,8,10,11,7,5,1,6                                               402,3,9,4,10,11,8,5,7,1,6                                               0
RAA20151028201510274207021150000武州賞　Ａ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          武州賞　Ａ２　　　　武州賞　Ａ２武州賞0000E 000001000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0005000000015000000085000000650000005000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,7,8,1,3,9,4,6,5                                                     202,8,7,1,9,4,3,5,6                                                     302,8,1,7,9,4,3,6,5                                                     402,1,9,8,4,7,3,5,6                                                     0
